transcript_BGM_M len_BGM_M n_var_BGM_M
TRINITY_DN13095_c0_g1_i4 3757 6
TRINITY_DN13098_c0_g1_i1 964 39
TRINITY_DN130991_c0_g1_i7 481 23
TRINITY_DN130_c0_g2_i2 1489 2
TRINITY_DN13100_c0_g1_i3 1732 5
TRINITY_DN13101_c0_g1_i8 562 13
TRINITY_DN131044_c0_g1_i1 406 8
TRINITY_DN13108_c0_g1_i9 430 22
TRINITY_DN131094_c0_g1_i2 394 1
TRINITY_DN1310_c0_g1_i3 1633 14
TRINITY_DN13116_c0_g2_i3 1093 35
TRINITY_DN13124_c0_g1_i15 2863 8
TRINITY_DN13124_c0_g3_i1 907 1
TRINITY_DN1312_c12_g1_i1 1330 5
TRINITY_DN13135_c2_g1_i2 466 12
TRINITY_DN13136_c0_g2_i1 412 9
TRINITY_DN13136_c1_g1_i7 3316 82
TRINITY_DN131385_c0_g1_i4 1063 1
TRINITY_DN13138_c0_g1_i4 829 8
TRINITY_DN1313_c0_g2_i1 1888 1
TRINITY_DN131405_c0_g1_i4 322 14
TRINITY_DN131462_c0_g1_i5 310 8
TRINITY_DN13152_c0_g4_i1 487 2
TRINITY_DN13156_c0_g1_i11 1108 30
TRINITY_DN131599_c0_g1_i5 499 20
TRINITY_DN1315_c0_g3_i1 316 6
TRINITY_DN13164_c0_g1_i8 385 11
TRINITY_DN13164_c0_g2_i2 2137 4
TRINITY_DN13164_c0_g3_i1 2308 1
TRINITY_DN13166_c0_g1_i7 1651 8
TRINITY_DN1316_c0_g1_i7 2443 80
TRINITY_DN1316_c2_g1_i1 1840 1
TRINITY_DN1316_c3_g1_i1 2092 9
TRINITY_DN1316_c4_g2_i4 916 2
TRINITY_DN1316_c5_g1_i1 2260 2
TRINITY_DN131725_c0_g1_i2 619 27
TRINITY_DN131726_c0_g2_i1 313 7
TRINITY_DN13173_c0_g1_i5 5230 93
TRINITY_DN131762_c0_g1_i5 358 2
TRINITY_DN13181_c0_g2_i15 619 11
TRINITY_DN131851_c0_g1_i6 358 1
TRINITY_DN13188_c1_g1_i2 538 13
TRINITY_DN13191_c0_g1_i1 370 14
TRINITY_DN13194_c0_g1_i4 301 13
TRINITY_DN13194_c4_g1_i1 316 21
TRINITY_DN131_c0_g1_i2 2347 1
TRINITY_DN13209_c0_g1_i17 1084 51
TRINITY_DN1320_c0_g3_i2 1087 1
TRINITY_DN13212_c0_g2_i1 1252 1
TRINITY_DN13217_c1_g1_i5 916 5
TRINITY_DN132183_c0_g2_i3 433 3
TRINITY_DN1321_c0_g1_i3 1606 63
TRINITY_DN1321_c3_g1_i2 1147 15
TRINITY_DN1321_c5_g1_i9 1468 50
TRINITY_DN132201_c0_g1_i3 316 13
TRINITY_DN132228_c0_g2_i1 751 4
TRINITY_DN13223_c0_g1_i2 1339 17
TRINITY_DN132276_c0_g3_i2 304 13
TRINITY_DN132281_c0_g1_i2 2710 1
TRINITY_DN13228_c0_g1_i2 3508 1
TRINITY_DN1322_c0_g1_i2 970 1
TRINITY_DN1322_c2_g1_i1 1144 47
TRINITY_DN13230_c0_g1_i12 1297 13
TRINITY_DN13231_c1_g2_i2 583 2
TRINITY_DN13235_c0_g1_i9 718 30
TRINITY_DN132371_c0_g1_i4 853 18
TRINITY_DN132373_c0_g1_i4 322 6
TRINITY_DN132387_c0_g2_i1 361 18
TRINITY_DN1323_c7_g1_i1 709 1
TRINITY_DN13242_c0_g1_i4 982 29
TRINITY_DN13243_c1_g1_i1 469 1
TRINITY_DN13244_c0_g1_i10 940 1
TRINITY_DN132490_c0_g1_i2 361 12
TRINITY_DN13249_c0_g1_i12 3130 6
TRINITY_DN13250_c2_g1_i3 451 14
TRINITY_DN132534_c0_g1_i4 310 13
TRINITY_DN132544_c0_g5_i3 403 11
TRINITY_DN132591_c0_g1_i1 499 2
TRINITY_DN132598_c0_g1_i5 316 2
TRINITY_DN132599_c0_g1_i1 457 18
TRINITY_DN1325_c0_g1_i3 802 1
TRINITY_DN13264_c0_g1_i7 316 7
TRINITY_DN13266_c0_g1_i9 1393 8
TRINITY_DN13268_c0_g1_i6 670 2
TRINITY_DN1326_c0_g1_i1 1588 9
TRINITY_DN1326_c0_g2_i3 1213 2
TRINITY_DN1326_c2_g1_i3 499 1
TRINITY_DN1326_c3_g1_i5 2284 1
TRINITY_DN1327_c0_g1_i19 2698 2
TRINITY_DN132824_c0_g1_i1 307 3
TRINITY_DN132842_c0_g1_i3 340 11
TRINITY_DN132850_c0_g1_i4 547 7
TRINITY_DN132891_c0_g1_i4 685 15
TRINITY_DN1328_c0_g1_i2 2695 125
TRINITY_DN132934_c0_g1_i6 487 1
TRINITY_DN132975_c0_g1_i5 316 3
TRINITY_DN132983_c0_g1_i4 400 3
TRINITY_DN1329_c0_g1_i4 1432 1
TRINITY_DN1329_c1_g1_i2 3337 12
TRINITY_DN132_c0_g1_i13 799 2
TRINITY_DN133028_c0_g1_i1 310 14
TRINITY_DN133048_c0_g3_i1 424 1
TRINITY_DN13308_c0_g2_i3 1246 6
TRINITY_DN1330_c19_g1_i1 418 10
TRINITY_DN1330_c1_g1_i2 1489 55
TRINITY_DN1330_c1_g3_i1 4555 2
TRINITY_DN1330_c3_g2_i9 1075 2
TRINITY_DN133105_c0_g1_i5 556 27
TRINITY_DN13314_c0_g1_i3 349 2
TRINITY_DN133159_c0_g1_i3 1591 1
TRINITY_DN1331_c0_g1_i3 496 1
TRINITY_DN1331_c1_g1_i5 1276 40
TRINITY_DN1331_c3_g1_i2 604 1
TRINITY_DN133237_c0_g2_i1 580 14
TRINITY_DN133291_c0_g1_i11 388 4
TRINITY_DN1332_c0_g1_i7 730 7
TRINITY_DN1332_c0_g2_i3 1480 3
TRINITY_DN1332_c3_g1_i1 3094 1
TRINITY_DN13333_c0_g1_i19 595 28
TRINITY_DN13333_c0_g2_i2 451 20
TRINITY_DN13337_c0_g1_i10 2194 1
TRINITY_DN1333_c0_g1_i7 2581 7
TRINITY_DN13343_c0_g1_i8 823 26
TRINITY_DN13344_c0_g1_i11 1789 69
TRINITY_DN13344_c2_g1_i1 988 8
TRINITY_DN13345_c0_g1_i5 934 10
TRINITY_DN133469_c0_g1_i1 418 19
TRINITY_DN13347_c0_g2_i1 451 23
TRINITY_DN1334_c0_g1_i9 2503 5
TRINITY_DN1334_c1_g1_i1 1417 4
TRINITY_DN13354_c0_g1_i5 1642 9
TRINITY_DN133571_c0_g2_i1 412 1
TRINITY_DN133579_c0_g1_i3 385 3
TRINITY_DN1335_c0_g1_i3 910 2
TRINITY_DN1335_c0_g3_i3 742 9
TRINITY_DN1335_c1_g1_i7 1600 33
TRINITY_DN1335_c2_g1_i11 1429 38
TRINITY_DN133613_c0_g1_i2 385 6
TRINITY_DN13364_c0_g1_i11 673 13
TRINITY_DN13368_c0_g1_i9 1603 1
TRINITY_DN1336_c0_g3_i2 1729 84
TRINITY_DN13370_c0_g2_i1 364 12
TRINITY_DN13370_c0_g3_i1 607 31
TRINITY_DN133757_c0_g7_i1 511 5
TRINITY_DN13375_c0_g2_i7 544 1
TRINITY_DN13376_c0_g1_i1 871 20
TRINITY_DN1337_c0_g1_i6 5788 11
TRINITY_DN13380_c0_g2_i5 454 1
TRINITY_DN1338_c1_g1_i2 2608 9
TRINITY_DN1338_c2_g2_i5 1342 4
TRINITY_DN1338_c3_g1_i4 967 5
TRINITY_DN13390_c0_g1_i1 778 7
TRINITY_DN13390_c0_g2_i12 922 21
TRINITY_DN13393_c0_g1_i4 1306 2
TRINITY_DN1339_c0_g1_i9 3049 1
TRINITY_DN1339_c0_g2_i1 439 1
TRINITY_DN1339_c10_g1_i4 4219 13
TRINITY_DN133_c6_g2_i7 3949 4
TRINITY_DN13401_c0_g1_i14 4960 4
TRINITY_DN134027_c0_g1_i4 331 1
TRINITY_DN134102_c0_g1_i4 316 7
TRINITY_DN13413_c0_g1_i7 1495 1
TRINITY_DN13422_c0_g1_i4 682 6
TRINITY_DN134243_c0_g1_i1 1780 22
TRINITY_DN134257_c0_g1_i5 694 1
TRINITY_DN13429_c0_g1_i2 430 7
TRINITY_DN1342_c0_g1_i3 2041 5
TRINITY_DN1342_c1_g3_i2 1027 2
TRINITY_DN13434_c0_g1_i3 859 2
TRINITY_DN1343_c0_g1_i17 1441 3
TRINITY_DN1343_c0_g2_i3 652 4
TRINITY_DN134417_c0_g1_i2 1147 1
TRINITY_DN134475_c2_g1_i2 304 10
TRINITY_DN134493_c0_g1_i5 496 18
TRINITY_DN13449_c0_g1_i1 364 6
TRINITY_DN134547_c2_g2_i2 367 1
TRINITY_DN13458_c0_g1_i4 3355 10
TRINITY_DN1345_c0_g1_i1 1771 48
TRINITY_DN13469_c0_g1_i1 358 5
TRINITY_DN1346_c0_g2_i9 1090 1
TRINITY_DN13480_c0_g2_i1 1108 61
TRINITY_DN13481_c0_g1_i4 598 5
TRINITY_DN134831_c0_g2_i1 1999 5
TRINITY_DN134843_c0_g1_i4 376 1
TRINITY_DN13485_c0_g1_i6 1879 13
TRINITY_DN134861_c0_g1_i1 355 1
TRINITY_DN13487_c0_g2_i3 967 3
TRINITY_DN134916_c0_g1_i2 1597 1
TRINITY_DN134961_c0_g1_i1 313 9
TRINITY_DN1349_c0_g1_i5 337 5
TRINITY_DN134_c0_g2_i4 1954 6
TRINITY_DN134_c0_g3_i1 2122 3
TRINITY_DN134_c11_g1_i2 784 24
TRINITY_DN134_c13_g1_i3 769 20
TRINITY_DN134_c2_g3_i1 1987 1
TRINITY_DN134_c3_g1_i8 2011 20
TRINITY_DN134_c6_g1_i1 970 1
TRINITY_DN134_c8_g2_i1 574 1
TRINITY_DN134_c9_g1_i5 307 6
TRINITY_DN135051_c0_g1_i2 310 3
TRINITY_DN13509_c0_g1_i14 1030 21
TRINITY_DN1351_c0_g1_i4 1669 62
TRINITY_DN1352_c0_g1_i35 7792 19
TRINITY_DN1352_c1_g1_i5 1873 34
TRINITY_DN13532_c2_g2_i2 667 1
TRINITY_DN135335_c0_g1_i4 358 15
TRINITY_DN135397_c0_g1_i4 3325 5
TRINITY_DN13542_c0_g1_i6 1258 7
TRINITY_DN135438_c0_g1_i4 496 18
TRINITY_DN13543_c3_g1_i2 409 3
TRINITY_DN13544_c0_g1_i1 1255 20
TRINITY_DN13544_c1_g1_i3 430 4
TRINITY_DN13551_c0_g1_i5 754 3
TRINITY_DN13557_c0_g1_i1 394 15
TRINITY_DN13558_c0_g1_i2 1120 48
TRINITY_DN1355_c0_g1_i8 1060 2
TRINITY_DN135628_c0_g1_i4 301 11
TRINITY_DN13562_c0_g1_i2 370 1
TRINITY_DN13565_c0_g1_i3 538 16
TRINITY_DN1356_c0_g1_i10 1771 2
TRINITY_DN1356_c0_g3_i2 1366 26
TRINITY_DN1356_c1_g2_i1 1438 4
TRINITY_DN1356_c2_g1_i4 970 31
TRINITY_DN1356_c4_g2_i1 1534 2
TRINITY_DN135759_c0_g1_i4 430 12
TRINITY_DN13576_c0_g1_i4 895 9
TRINITY_DN135783_c0_g1_i1 331 9
TRINITY_DN13579_c0_g1_i9 796 1
TRINITY_DN13583_c0_g1_i9 895 2
TRINITY_DN135848_c0_g1_i1 340 10
TRINITY_DN13585_c0_g1_i3 1306 1
TRINITY_DN135869_c0_g1_i5 322 15
TRINITY_DN1358_c2_g2_i3 1132 2
TRINITY_DN1358_c5_g1_i1 7189 32
TRINITY_DN1358_c7_g1_i2 1909 1
TRINITY_DN135913_c0_g1_i10 2131 7
TRINITY_DN135936_c0_g2_i8 1192 2
TRINITY_DN13597_c0_g1_i11 2125 2
TRINITY_DN1359_c2_g1_i1 1138 2
TRINITY_DN135_c1_g1_i3 796 31
TRINITY_DN136071_c0_g2_i1 1138 5
TRINITY_DN1360_c1_g2_i1 778 2
TRINITY_DN13610_c0_g1_i1 7153 7
TRINITY_DN13617_c0_g1_i9 406 3
TRINITY_DN13618_c0_g2_i2 3046 6
TRINITY_DN136194_c0_g1_i1 607 13
TRINITY_DN13619_c0_g1_i10 1858 6
TRINITY_DN136209_c0_g1_i1 649 1
TRINITY_DN13621_c0_g1_i13 367 3
TRINITY_DN13626_c0_g2_i3 322 3
TRINITY_DN136286_c0_g1_i4 517 21
TRINITY_DN1362_c0_g1_i3 631 1
TRINITY_DN1362_c1_g1_i8 1135 58
TRINITY_DN1362_c2_g1_i2 1141 61
TRINITY_DN1362_c3_g1_i3 1636 77
TRINITY_DN136305_c0_g1_i4 397 10
TRINITY_DN136343_c0_g1_i4 301 6
TRINITY_DN1363_c2_g1_i10 3100 11
TRINITY_DN136462_c0_g1_i1 349 15
TRINITY_DN136488_c0_g1_i1 550 7
TRINITY_DN136488_c0_g3_i1 451 1
TRINITY_DN1364_c0_g1_i5 1807 12
TRINITY_DN1364_c5_g1_i1 2440 3
TRINITY_DN13652_c0_g1_i4 577 9
TRINITY_DN1365_c0_g2_i8 1891 3
TRINITY_DN13662_c1_g1_i3 355 10
TRINITY_DN136633_c0_g1_i1 397 14
TRINITY_DN136665_c0_g1_i2 1258 4
TRINITY_DN136673_c0_g1_i2 439 17
TRINITY_DN136694_c0_g1_i1 298 13
TRINITY_DN1366_c0_g1_i5 2107 6
TRINITY_DN136731_c0_g3_i3 979 2
TRINITY_DN136760_c0_g1_i1 769 34
TRINITY_DN1367_c23_g1_i1 3247 1
TRINITY_DN1367_c4_g1_i7 8218 11
TRINITY_DN13684_c0_g1_i4 331 3
TRINITY_DN13687_c0_g1_i2 688 2
TRINITY_DN136881_c0_g1_i1 361 17
TRINITY_DN136936_c0_g1_i1 688 2
TRINITY_DN13697_c0_g1_i5 433 10
TRINITY_DN1369_c0_g1_i5 1501 1
TRINITY_DN136_c0_g1_i1 361 2
TRINITY_DN136_c0_g2_i3 1828 59
TRINITY_DN136_c0_g3_i3 1465 1
TRINITY_DN136_c0_g4_i1 1552 1
TRINITY_DN136_c20_g1_i2 658 11
TRINITY_DN13700_c0_g1_i6 397 16
TRINITY_DN137029_c0_g3_i1 2044 1
TRINITY_DN13707_c1_g2_i3 463 2
TRINITY_DN13709_c0_g1_i11 8044 7
TRINITY_DN13719_c0_g2_i7 1390 1
TRINITY_DN137222_c0_g1_i2 328 8
TRINITY_DN13724_c0_g1_i3 577 7
TRINITY_DN13728_c0_g1_i6 1288 11
TRINITY_DN13730_c0_g1_i9 1081 1
TRINITY_DN13732_c0_g1_i5 430 10
TRINITY_DN137376_c0_g1_i1 400 18
TRINITY_DN1373_c0_g1_i2 1546 1
TRINITY_DN1374_c1_g1_i2 3250 4
TRINITY_DN1374_c3_g1_i8 1675 46
TRINITY_DN1374_c4_g1_i1 778 2
TRINITY_DN13752_c0_g4_i1 301 3
TRINITY_DN13753_c0_g1_i3 598 1
TRINITY_DN137542_c0_g1_i1 394 10
TRINITY_DN1375_c0_g1_i3 571 29
TRINITY_DN13765_c0_g1_i3 1102 3
TRINITY_DN137661_c0_g1_i2 346 6
TRINITY_DN137669_c0_g1_i1 370 10
TRINITY_DN137696_c0_g1_i5 337 10
TRINITY_DN137696_c0_g3_i1 328 1
TRINITY_DN13776_c0_g1_i2 385 1
TRINITY_DN1377_c0_g1_i4 1594 1
TRINITY_DN1377_c3_g1_i1 1594 11
TRINITY_DN13785_c0_g1_i14 2041 6
TRINITY_DN13787_c2_g1_i7 859 3
TRINITY_DN1378_c0_g1_i9 706 17
TRINITY_DN1378_c0_g2_i9 1453 6
TRINITY_DN1379_c0_g2_i5 2554 6
TRINITY_DN137_c0_g1_i6 2743 7
TRINITY_DN137_c1_g1_i2 2197 5
TRINITY_DN138028_c0_g1_i3 325 12
TRINITY_DN138055_c0_g2_i1 430 1
TRINITY_DN1381_c0_g1_i1 1711 5
TRINITY_DN13821_c0_g1_i16 1690 3
TRINITY_DN13824_c0_g1_i17 862 1
TRINITY_DN138268_c0_g1_i2 403 1
TRINITY_DN138363_c0_g1_i1 430 18
TRINITY_DN138404_c0_g1_i1 325 3
TRINITY_DN138408_c0_g3_i1 298 5
TRINITY_DN13849_c2_g4_i1 379 2
TRINITY_DN1384_c3_g1_i9 778 20
TRINITY_DN13850_c0_g2_i4 1651 2
TRINITY_DN138524_c0_g3_i1 322 4
TRINITY_DN13854_c0_g1_i6 421 3
TRINITY_DN138554_c0_g1_i2 304 12
TRINITY_DN1385_c0_g1_i1 2494 7
TRINITY_DN13866_c0_g2_i5 514 1
TRINITY_DN13867_c0_g2_i1 1066 3
TRINITY_DN1386_c0_g1_i5 592 2
TRINITY_DN13873_c2_g2_i4 1435 4
TRINITY_DN138740_c0_g1_i1 367 10
TRINITY_DN13875_c0_g1_i2 1324 4
TRINITY_DN1387_c0_g1_i3 2503 14
TRINITY_DN1387_c0_g2_i3 1801 1
TRINITY_DN1387_c1_g1_i6 2053 3
TRINITY_DN13882_c0_g1_i7 1255 11
TRINITY_DN13885_c0_g1_i6 361 2
TRINITY_DN1388_c2_g1_i1 1054 12
TRINITY_DN138911_c0_g1_i1 595 6
TRINITY_DN13892_c0_g3_i1 412 25
TRINITY_DN13892_c0_g4_i1 319 13
TRINITY_DN13896_c0_g1_i13 1957 2
TRINITY_DN138_c1_g1_i3 1321 64
TRINITY_DN139002_c0_g1_i1 403 13
TRINITY_DN13903_c0_g1_i2 2107 1
TRINITY_DN13909_c0_g1_i3 682 1
TRINITY_DN1390_c0_g1_i9 4156 51
TRINITY_DN1390_c3_g2_i1 448 3
TRINITY_DN13911_c0_g1_i9 994 23
TRINITY_DN13916_c0_g1_i15 2014 4
TRINITY_DN1391_c13_g1_i2 1384 2
TRINITY_DN1391_c2_g2_i1 2074 2
TRINITY_DN139258_c0_g1_i2 388 11
TRINITY_DN1392_c0_g1_i2 2494 1
TRINITY_DN1392_c1_g1_i11 1813 5
TRINITY_DN139333_c0_g1_i5 442 23
TRINITY_DN13936_c0_g1_i12 631 16
TRINITY_DN13940_c0_g1_i21 2305 2
TRINITY_DN139438_c0_g2_i2 316 9
TRINITY_DN13945_c0_g2_i3 1615 11
TRINITY_DN1394_c0_g1_i3 1648 1
TRINITY_DN13952_c1_g1_i3 322 5
TRINITY_DN139595_c0_g1_i2 1528 12
TRINITY_DN1395_c0_g2_i7 2026 1
TRINITY_DN139669_c0_g1_i13 355 1
TRINITY_DN1396_c0_g1_i2 1381 3
TRINITY_DN1396_c0_g2_i1 1351 2
TRINITY_DN139701_c0_g1_i1 5428 4
TRINITY_DN13971_c0_g1_i12 1405 9
TRINITY_DN139871_c0_g1_i1 745 1
TRINITY_DN1398_c1_g3_i1 1774 3
TRINITY_DN13997_c0_g2_i3 2200 3
TRINITY_DN1399_c0_g1_i1 3766 14
TRINITY_DN139_c3_g1_i1 1897 2
TRINITY_DN13_c0_g1_i5 616 2
TRINITY_DN14000_c0_g2_i4 1600 2
TRINITY_DN14004_c0_g1_i3 1348 3
TRINITY_DN140052_c0_g1_i2 1576 5
TRINITY_DN1400_c0_g1_i5 2764 10
TRINITY_DN14012_c0_g1_i4 3913 1
TRINITY_DN1401_c0_g2_i3 2680 10
TRINITY_DN140225_c0_g1_i12 343 17
TRINITY_DN14026_c0_g1_i6 1345 4
TRINITY_DN140291_c0_g1_i5 418 11
TRINITY_DN1402_c0_g1_i1 2959 11
TRINITY_DN140388_c0_g1_i4 346 14
TRINITY_DN1403_c0_g1_i2 3961 10
TRINITY_DN14040_c0_g1_i7 529 13
TRINITY_DN140424_c0_g1_i2 595 1
TRINITY_DN1404_c0_g1_i10 1375 3
TRINITY_DN140542_c0_g1_i1 457 18
TRINITY_DN14055_c0_g1_i5 1756 27
TRINITY_DN1405_c1_g1_i9 3376 4
TRINITY_DN14065_c0_g1_i5 526 30
TRINITY_DN140727_c0_g1_i3 2053 8
TRINITY_DN14075_c0_g1_i4 955 37
TRINITY_DN14079_c0_g1_i7 346 1
TRINITY_DN14089_c0_g1_i9 529 5
TRINITY_DN1408_c0_g1_i2 1438 7
TRINITY_DN1408_c0_g2_i1 346 2
TRINITY_DN1408_c1_g1_i1 10729 45
TRINITY_DN14091_c0_g1_i3 1180 1
TRINITY_DN140920_c0_g2_i2 580 1
TRINITY_DN140974_c0_g1_i6 376 11
TRINITY_DN14097_c0_g1_i13 3595 74
TRINITY_DN1409_c0_g1_i12 3760 3
TRINITY_DN140_c0_g1_i1 328 2
TRINITY_DN1410_c0_g1_i5 4204 2
TRINITY_DN1410_c1_g1_i4 1669 42
TRINITY_DN14112_c0_g1_i4 559 32
TRINITY_DN141158_c0_g1_i1 373 1
TRINITY_DN14116_c3_g1_i1 766 1
TRINITY_DN14127_c0_g1_i16 1666 6
TRINITY_DN14127_c0_g2_i5 2482 2
TRINITY_DN1412_c0_g2_i11 604 6
TRINITY_DN1412_c1_g1_i5 1183 5
TRINITY_DN1412_c3_g1_i1 499 19
TRINITY_DN141385_c0_g1_i2 322 2
TRINITY_DN1413_c0_g2_i5 5125 5
TRINITY_DN1413_c1_g1_i6 2530 29
TRINITY_DN141443_c0_g1_i1 340 6
TRINITY_DN14144_c2_g1_i1 2248 1
TRINITY_DN1414_c0_g1_i5 1369 5
TRINITY_DN1414_c1_g1_i5 310 4
TRINITY_DN14154_c0_g1_i2 883 3
TRINITY_DN14160_c0_g1_i27 685 10
TRINITY_DN141632_c0_g1_i6 334 7
TRINITY_DN14163_c0_g2_i6 2050 1
TRINITY_DN1416_c0_g1_i4 1690 3
TRINITY_DN141703_c0_g1_i1 640 2
TRINITY_DN1419_c6_g1_i3 1234 2
TRINITY_DN141_c1_g1_i1 655 10
TRINITY_DN141_c4_g1_i1 403 2
TRINITY_DN141_c7_g1_i2 388 1
TRINITY_DN141_c7_g2_i1 661 2
TRINITY_DN14203_c0_g1_i5 1255 4
TRINITY_DN14204_c0_g1_i3 2059 7
TRINITY_DN14204_c1_g1_i1 880 2
TRINITY_DN1420_c0_g1_i1 1786 13
TRINITY_DN1420_c1_g1_i2 1204 1
TRINITY_DN14210_c0_g1_i1 322 11
TRINITY_DN14212_c0_g1_i2 976 44
TRINITY_DN142189_c0_g1_i2 583 18
TRINITY_DN14219_c0_g1_i4 1024 39
TRINITY_DN1421_c1_g2_i2 2950 8
TRINITY_DN14221_c0_g3_i1 2557 6
TRINITY_DN14231_c0_g1_i2 337 4
TRINITY_DN142380_c0_g1_i1 316 14
TRINITY_DN142386_c0_g1_i1 409 11
TRINITY_DN14242_c0_g1_i12 814 27
TRINITY_DN142456_c0_g1_i4 424 18
TRINITY_DN142463_c0_g1_i1 430 3
TRINITY_DN14246_c0_g1_i4 556 5
TRINITY_DN142485_c0_g1_i3 589 6
TRINITY_DN1424_c0_g1_i7 382 12
TRINITY_DN14253_c1_g1_i3 1447 1
TRINITY_DN14258_c1_g1_i6 367 1
TRINITY_DN1425_c0_g1_i1 2362 38
TRINITY_DN1425_c1_g1_i6 952 46
TRINITY_DN14261_c2_g1_i2 1546 1
TRINITY_DN142630_c0_g2_i3 1621 17
TRINITY_DN1426_c0_g1_i3 1528 8
TRINITY_DN14270_c0_g1_i1 376 1
TRINITY_DN14272_c0_g1_i3 946 5
TRINITY_DN14279_c0_g1_i3 466 5
TRINITY_DN14279_c0_g3_i1 841 10
TRINITY_DN1427_c0_g1_i4 2434 57
TRINITY_DN14283_c0_g1_i1 310 12
TRINITY_DN14287_c0_g1_i5 1453 29
TRINITY_DN1428_c5_g1_i1 1165 1
TRINITY_DN14305_c0_g1_i3 772 1
TRINITY_DN1430_c0_g4_i2 2146 6
TRINITY_DN1430_c1_g1_i3 1417 15
TRINITY_DN14311_c0_g1_i9 424 9
TRINITY_DN14312_c0_g2_i5 2875 11
TRINITY_DN1431_c0_g1_i14 2632 5
TRINITY_DN143234_c2_g2_i2 1399 2
TRINITY_DN143266_c0_g1_i1 298 7
TRINITY_DN1433_c0_g2_i16 4543 13
TRINITY_DN14345_c0_g2_i3 388 1
TRINITY_DN14348_c0_g1_i13 721 2
TRINITY_DN1434_c0_g1_i7 2947 7
TRINITY_DN1434_c1_g1_i5 1864 36
TRINITY_DN1434_c2_g1_i2 652 10
TRINITY_DN14362_c0_g2_i1 2182 3
TRINITY_DN14362_c1_g5_i1 313 2
TRINITY_DN143632_c0_g1_i2 304 11
TRINITY_DN14363_c0_g1_i5 487 13
TRINITY_DN14367_c1_g3_i2 367 1
TRINITY_DN143722_c0_g1_i4 523 12
TRINITY_DN14375_c0_g1_i4 421 6
TRINITY_DN1437_c0_g1_i14 2416 4
TRINITY_DN14389_c0_g1_i11 3130 26
TRINITY_DN1438_c0_g2_i2 538 1
TRINITY_DN1438_c1_g1_i5 3052 4
TRINITY_DN1438_c3_g1_i1 1015 1
TRINITY_DN1438_c7_g1_i7 1138 2
TRINITY_DN143962_c0_g1_i1 352 2
TRINITY_DN14398_c0_g1_i2 1240 2
TRINITY_DN1439_c0_g1_i2 496 6
TRINITY_DN143_c1_g1_i7 11464 5
TRINITY_DN144038_c0_g1_i1 319 3
TRINITY_DN14404_c0_g4_i1 670 3
TRINITY_DN144082_c0_g1_i4 517 21
TRINITY_DN1440_c0_g1_i6 979 4
TRINITY_DN14414_c0_g1_i1 568 27
TRINITY_DN144196_c0_g2_i1 826 4
TRINITY_DN14424_c0_g2_i4 1693 2
TRINITY_DN14425_c0_g1_i8 667 4
TRINITY_DN14429_c0_g2_i6 421 15
TRINITY_DN1442_c0_g1_i28 2146 4
TRINITY_DN144301_c0_g1_i1 337 2
TRINITY_DN14435_c0_g1_i3 1414 8
TRINITY_DN14438_c0_g1_i11 1264 9
TRINITY_DN1443_c1_g1_i1 3511 10
TRINITY_DN14444_c0_g1_i25 9379 12
TRINITY_DN14449_c0_g1_i9 2215 2
TRINITY_DN144591_c0_g2_i1 766 20
TRINITY_DN14459_c0_g1_i2 1129 3
TRINITY_DN14459_c1_g1_i4 487 4
TRINITY_DN14464_c0_g1_i13 880 3
TRINITY_DN14467_c0_g1_i6 1372 1
TRINITY_DN144705_c0_g1_i2 406 4
TRINITY_DN144708_c0_g1_i3 298 15
TRINITY_DN144735_c0_g1_i4 436 3
TRINITY_DN144752_c0_g1_i4 466 1
TRINITY_DN144858_c0_g1_i6 304 17
TRINITY_DN14488_c0_g1_i3 424 2
TRINITY_DN1448_c0_g1_i6 10054 8
TRINITY_DN144909_c0_g1_i5 340 5
TRINITY_DN1449_c2_g1_i3 592 2
TRINITY_DN144_c0_g2_i1 319 1
TRINITY_DN14502_c0_g1_i8 310 3
TRINITY_DN14503_c0_g1_i5 1279 12
TRINITY_DN145044_c0_g1_i1 340 1
TRINITY_DN14505_c1_g1_i1 1942 14
TRINITY_DN145092_c0_g1_i1 313 4
TRINITY_DN145095_c0_g1_i1 424 13
TRINITY_DN14509_c0_g1_i14 3988 7
TRINITY_DN1450_c2_g1_i1 2527 23
TRINITY_DN145125_c3_g1_i1 721 2
TRINITY_DN145128_c0_g1_i1 349 2
TRINITY_DN145135_c0_g1_i6 349 8
TRINITY_DN14513_c0_g1_i5 811 1
TRINITY_DN14516_c0_g1_i1 640 2
TRINITY_DN145212_c0_g1_i2 598 5
TRINITY_DN145213_c1_g1_i1 388 1
TRINITY_DN145265_c0_g1_i2 346 7
TRINITY_DN145265_c1_g1_i3 328 3
TRINITY_DN14527_c0_g1_i3 1582 8
TRINITY_DN14527_c1_g1_i3 910 1
TRINITY_DN1452_c0_g1_i4 1210 53
TRINITY_DN145371_c0_g1_i1 1090 6
TRINITY_DN14538_c1_g2_i1 319 12
TRINITY_DN145390_c0_g2_i1 541 3
TRINITY_DN1453_c0_g1_i11 862 33
TRINITY_DN145471_c0_g1_i3 538 4
TRINITY_DN145516_c0_g1_i2 655 7
TRINITY_DN145516_c0_g4_i2 592 16
TRINITY_DN145557_c0_g5_i1 1243 1
TRINITY_DN14558_c0_g1_i4 1216 4
TRINITY_DN1455_c1_g1_i4 1678 1
