transcript_BGM_F len_BGM_F n_var_BGM_F
TRINITY_DN17575_c3_g1_i3 967 1
TRINITY_DN1757_c0_g2_i1 634 2
TRINITY_DN17580_c0_g1_i5 1759 1
TRINITY_DN17581_c0_g1_i6 2707 64
TRINITY_DN17582_c0_g1_i4 409 1
TRINITY_DN175830_c0_g1_i2 523 6
TRINITY_DN175899_c0_g1_i4 343 13
TRINITY_DN1758_c0_g1_i17 1351 29
TRINITY_DN1759_c0_g1_i6 1852 79
TRINITY_DN1759_c1_g1_i5 1396 33
TRINITY_DN175_c1_g1_i4 1285 3
TRINITY_DN17604_c0_g1_i3 352 19
TRINITY_DN176139_c0_g3_i2 313 13
TRINITY_DN176143_c0_g1_i1 448 21
TRINITY_DN176147_c0_g1_i2 340 6
TRINITY_DN1761_c0_g1_i3 391 9
TRINITY_DN1761_c0_g3_i5 808 4
TRINITY_DN17620_c0_g1_i9 706 1
TRINITY_DN176265_c1_g1_i1 397 5
TRINITY_DN1762_c0_g1_i4 4798 3
TRINITY_DN17631_c0_g2_i2 1003 2
TRINITY_DN17634_c0_g1_i13 1684 17
TRINITY_DN17645_c0_g1_i6 1144 6
TRINITY_DN1764_c0_g1_i2 721 7
TRINITY_DN176556_c0_g1_i2 349 12
TRINITY_DN17659_c0_g2_i2 796 3
TRINITY_DN1765_c0_g1_i8 1726 61
TRINITY_DN17662_c0_g1_i1 556 6
TRINITY_DN17669_c0_g2_i3 961 4
TRINITY_DN1766_c2_g1_i1 1753 2
TRINITY_DN1766_c2_g2_i1 1294 1
TRINITY_DN1766_c3_g1_i7 1933 39
TRINITY_DN176753_c0_g1_i20 463 25
TRINITY_DN17675_c0_g1_i1 4486 15
TRINITY_DN17676_c0_g1_i4 1165 2
TRINITY_DN1767_c0_g1_i4 2401 5
TRINITY_DN1767_c1_g1_i1 1120 5
TRINITY_DN1767_c4_g1_i10 4525 5
TRINITY_DN17696_c0_g2_i6 1699 1
TRINITY_DN176973_c0_g1_i2 754 12
TRINITY_DN1769_c0_g1_i7 877 38
TRINITY_DN1769_c1_g1_i1 2803 2
TRINITY_DN176_c2_g1_i1 1246 1
TRINITY_DN17701_c0_g1_i6 916 38
TRINITY_DN17703_c0_g3_i1 1306 1
TRINITY_DN17708_c0_g1_i1 3439 5
TRINITY_DN177095_c0_g1_i1 310 9
TRINITY_DN1770_c2_g1_i17 4003 4
TRINITY_DN177122_c0_g1_i1 334 3
TRINITY_DN17712_c0_g2_i1 490 4
TRINITY_DN177131_c0_g1_i3 499 3
TRINITY_DN177136_c0_g1_i1 325 8
TRINITY_DN1771_c13_g1_i1 748 2
TRINITY_DN1771_c3_g1_i2 1039 2
TRINITY_DN1771_c4_g1_i4 1699 3
TRINITY_DN177215_c0_g1_i2 1546 3
TRINITY_DN177224_c0_g1_i8 304 8
TRINITY_DN17733_c0_g2_i1 2467 2
TRINITY_DN177344_c0_g1_i1 322 7
TRINITY_DN17739_c0_g1_i9 508 3
TRINITY_DN17741_c2_g2_i16 439 1
TRINITY_DN17749_c0_g1_i4 361 12
TRINITY_DN1775_c0_g1_i7 2089 13
TRINITY_DN17760_c0_g2_i5 2092 26
TRINITY_DN177661_c0_g2_i6 2785 1
TRINITY_DN177822_c0_g1_i3 358 7
TRINITY_DN1778_c0_g1_i6 2443 6
TRINITY_DN177904_c0_g1_i2 349 19
TRINITY_DN17791_c2_g1_i1 1336 3
TRINITY_DN177924_c0_g1_i1 1837 2
TRINITY_DN17792_c0_g1_i1 496 2
TRINITY_DN17792_c0_g2_i8 1042 2
TRINITY_DN17797_c0_g2_i4 721 4
TRINITY_DN17799_c0_g1_i3 466 18
TRINITY_DN177_c2_g2_i1 802 1
TRINITY_DN178070_c0_g1_i1 328 2
TRINITY_DN17813_c0_g1_i5 2074 1
TRINITY_DN178150_c0_g2_i1 328 11
TRINITY_DN17828_c0_g1_i5 379 6
TRINITY_DN1782_c11_g1_i1 2449 4
TRINITY_DN1782_c1_g1_i1 580 2
TRINITY_DN1782_c1_g2_i3 1945 21
TRINITY_DN1782_c1_g4_i1 382 3
TRINITY_DN1782_c2_g1_i12 5398 25
TRINITY_DN1782_c4_g1_i1 451 3
TRINITY_DN178333_c0_g1_i6 388 19
TRINITY_DN178366_c0_g1_i1 772 11
TRINITY_DN17850_c1_g1_i3 3091 6
TRINITY_DN17851_c1_g1_i1 1546 1
TRINITY_DN17852_c1_g1_i5 352 2
TRINITY_DN17855_c0_g1_i5 1414 2
TRINITY_DN17867_c0_g1_i4 484 6
TRINITY_DN1786_c0_g1_i2 352 2
TRINITY_DN17871_c0_g1_i2 958 2
TRINITY_DN178726_c0_g1_i2 397 6
TRINITY_DN178726_c0_g2_i1 403 14
TRINITY_DN178750_c0_g1_i2 313 4
TRINITY_DN17875_c0_g1_i1 505 15
TRINITY_DN17878_c0_g1_i7 3913 3
TRINITY_DN178817_c0_g1_i4 394 2
TRINITY_DN178845_c0_g1_i1 343 13
TRINITY_DN17888_c0_g4_i1 454 2
TRINITY_DN1788_c1_g2_i2 817 1
TRINITY_DN17893_c0_g1_i7 382 11
TRINITY_DN1789_c2_g1_i1 1003 1
TRINITY_DN178_c0_g2_i8 1888 5
TRINITY_DN178_c2_g1_i5 4645 12
TRINITY_DN1790_c0_g1_i17 2329 6
TRINITY_DN1790_c0_g2_i4 2068 1
TRINITY_DN179194_c0_g1_i4 391 18
TRINITY_DN1791_c0_g1_i3 364 9
TRINITY_DN17920_c0_g1_i6 445 9
TRINITY_DN17920_c0_g2_i3 400 13
TRINITY_DN179220_c0_g1_i9 556 4
TRINITY_DN17944_c0_g1_i8 541 4
TRINITY_DN179455_c0_g1_i1 334 12
TRINITY_DN17947_c0_g1_i3 418 17
TRINITY_DN1794_c0_g1_i6 466 3
TRINITY_DN179582_c0_g1_i1 298 5
TRINITY_DN1795_c0_g1_i3 628 1
TRINITY_DN17961_c0_g1_i6 352 4
TRINITY_DN179636_c0_g1_i3 349 6
TRINITY_DN179652_c2_g1_i14 328 14
TRINITY_DN17969_c1_g1_i2 1960 1
TRINITY_DN1796_c0_g1_i1 2002 1
TRINITY_DN179706_c1_g2_i1 1429 19
TRINITY_DN17970_c0_g1_i4 439 14
TRINITY_DN17972_c0_g1_i1 325 22
TRINITY_DN17979_c0_g3_i5 2191 1
TRINITY_DN1797_c2_g1_i14 2107 12
TRINITY_DN1797_c4_g1_i1 358 17
TRINITY_DN179841_c0_g1_i1 418 2
TRINITY_DN17989_c0_g1_i17 928 1
TRINITY_DN1798_c0_g1_i5 895 25
TRINITY_DN1798_c0_g2_i1 457 15
TRINITY_DN1798_c1_g1_i4 352 9
TRINITY_DN17990_c0_g2_i1 406 9
TRINITY_DN179951_c0_g1_i5 469 4
TRINITY_DN179953_c0_g1_i4 481 1
TRINITY_DN179988_c0_g2_i4 334 3
TRINITY_DN1799_c0_g1_i6 1999 1
TRINITY_DN179_c3_g2_i1 970 1
TRINITY_DN17_c0_g3_i3 790 2
TRINITY_DN18000_c0_g3_i1 343 1
TRINITY_DN180018_c0_g1_i7 328 7
TRINITY_DN180085_c0_g1_i11 316 17
TRINITY_DN180085_c1_g1_i2 391 11
TRINITY_DN1800_c0_g1_i8 3361 5
TRINITY_DN1800_c1_g1_i2 589 3
TRINITY_DN180154_c1_g1_i1 397 1
TRINITY_DN18023_c1_g1_i1 1147 1
TRINITY_DN18025_c0_g1_i4 1672 4
TRINITY_DN1802_c0_g1_i2 2497 1
TRINITY_DN1802_c0_g3_i3 340 4
TRINITY_DN1802_c4_g1_i2 1525 4
TRINITY_DN180337_c0_g3_i2 520 1
TRINITY_DN180348_c0_g1_i8 373 13
TRINITY_DN1803_c0_g1_i5 409 6
TRINITY_DN180454_c0_g1_i4 625 17
TRINITY_DN18047_c0_g1_i11 592 1
TRINITY_DN180569_c0_g3_i1 715 6
TRINITY_DN18068_c0_g1_i3 892 9
TRINITY_DN180748_c0_g1_i2 3487 2
TRINITY_DN180776_c0_g1_i1 706 1
TRINITY_DN1807_c0_g1_i11 427 1
TRINITY_DN180874_c0_g1_i1 559 5
TRINITY_DN180878_c0_g1_i1 1066 1
TRINITY_DN180883_c0_g1_i2 862 2
TRINITY_DN1808_c0_g1_i4 1489 1
TRINITY_DN1808_c0_g2_i2 694 5
TRINITY_DN18090_c0_g1_i3 640 1
TRINITY_DN180927_c1_g1_i4 424 14
TRINITY_DN180927_c2_g1_i1 439 20
TRINITY_DN180949_c0_g1_i1 661 1
TRINITY_DN180974_c0_g1_i5 304 8
TRINITY_DN180996_c0_g1_i2 817 2
TRINITY_DN1809_c0_g1_i5 571 8
TRINITY_DN1809_c0_g2_i1 415 7
TRINITY_DN180_c0_g1_i2 1171 2
TRINITY_DN18101_c0_g2_i1 334 16
TRINITY_DN18103_c0_g1_i4 793 4
TRINITY_DN18108_c0_g1_i4 904 2
TRINITY_DN1810_c0_g1_i1 2596 32
TRINITY_DN1810_c0_g2_i9 2596 26
TRINITY_DN1810_c2_g1_i8 592 16
TRINITY_DN1810_c3_g3_i1 2542 3
TRINITY_DN1810_c5_g1_i1 1498 3
TRINITY_DN181112_c0_g1_i3 466 2
TRINITY_DN18118_c0_g1_i3 424 2
TRINITY_DN1811_c0_g2_i3 3415 4
TRINITY_DN1811_c4_g1_i8 325 17
TRINITY_DN18128_c0_g1_i12 973 15
TRINITY_DN18129_c0_g1_i1 814 2
TRINITY_DN18134_c0_g1_i9 3505 1
TRINITY_DN18134_c1_g1_i1 2182 4
TRINITY_DN18136_c0_g1_i2 385 1
TRINITY_DN181492_c0_g1_i1 304 4
TRINITY_DN18153_c0_g1_i11 6472 9
TRINITY_DN18158_c0_g3_i1 811 2
TRINITY_DN1815_c0_g1_i5 337 6
TRINITY_DN1816_c0_g1_i15 3187 9
TRINITY_DN1816_c0_g2_i3 1387 2
TRINITY_DN18176_c1_g1_i1 865 1
TRINITY_DN181831_c0_g1_i1 484 1
TRINITY_DN1818_c0_g2_i2 1324 1
TRINITY_DN1818_c1_g1_i2 3157 15
TRINITY_DN1818_c2_g2_i6 2896 1
TRINITY_DN181934_c1_g1_i1 415 2
TRINITY_DN18199_c1_g1_i1 349 4
TRINITY_DN182181_c0_g1_i1 325 5
TRINITY_DN1821_c0_g1_i13 2428 1
TRINITY_DN1821_c1_g1_i5 1255 3
TRINITY_DN182365_c0_g1_i2 319 15
TRINITY_DN18236_c1_g1_i5 571 1
TRINITY_DN1823_c0_g1_i2 9340 6
TRINITY_DN1823_c1_g2_i2 3223 5
TRINITY_DN1823_c2_g1_i3 649 1
TRINITY_DN1823_c3_g1_i3 445 1
TRINITY_DN1823_c4_g1_i1 1669 43
TRINITY_DN18249_c0_g1_i6 529 6
TRINITY_DN1824_c0_g1_i9 733 18
TRINITY_DN182526_c0_g1_i1 313 4
TRINITY_DN18266_c0_g1_i1 304 5
TRINITY_DN1826_c0_g2_i8 1807 10
TRINITY_DN18270_c0_g4_i1 430 7
TRINITY_DN18273_c2_g3_i1 565 1
TRINITY_DN182827_c0_g1_i1 367 1
TRINITY_DN1829_c1_g1_i5 5035 22
TRINITY_DN1829_c2_g1_i2 382 18
TRINITY_DN182_c5_g1_i1 1390 2
TRINITY_DN182_c7_g1_i1 2788 7
TRINITY_DN182_c9_g1_i1 1129 1
TRINITY_DN183011_c0_g1_i1 466 1
TRINITY_DN18305_c0_g1_i4 304 4
TRINITY_DN1830_c0_g2_i2 1801 60
TRINITY_DN18310_c0_g1_i5 2563 1
TRINITY_DN18312_c0_g2_i1 349 14
TRINITY_DN1831_c0_g1_i4 763 15
TRINITY_DN1832_c0_g2_i4 649 1
TRINITY_DN1832_c2_g1_i4 913 2
TRINITY_DN1833_c0_g1_i5 2236 5
TRINITY_DN183424_c0_g1_i1 463 3
TRINITY_DN18343_c0_g1_i5 3073 2
TRINITY_DN18345_c0_g1_i2 352 8
TRINITY_DN18345_c0_g2_i6 325 18
TRINITY_DN18359_c0_g1_i7 1477 1
TRINITY_DN183630_c1_g4_i1 373 1
TRINITY_DN18367_c0_g1_i1 340 7
TRINITY_DN1836_c0_g1_i21 1270 2
TRINITY_DN18375_c0_g1_i10 2362 8
TRINITY_DN1837_c0_g2_i1 331 1
TRINITY_DN183863_c0_g1_i11 430 9
TRINITY_DN183_c7_g1_i1 886 2
TRINITY_DN18403_c0_g1_i7 388 16
TRINITY_DN1840_c0_g2_i3 1996 3
TRINITY_DN1841_c0_g1_i3 2623 1
TRINITY_DN18428_c0_g1_i8 2377 48
TRINITY_DN1842_c0_g2_i5 2122 6
TRINITY_DN18438_c0_g1_i3 682 11
TRINITY_DN1843_c0_g1_i33 871 2
TRINITY_DN1843_c2_g1_i2 1444 12
TRINITY_DN1843_c6_g1_i1 667 2
TRINITY_DN1844_c0_g2_i3 2950 3
TRINITY_DN1844_c1_g1_i8 2176 3
TRINITY_DN1844_c3_g1_i4 3850 84
TRINITY_DN18450_c0_g1_i2 4627 28
TRINITY_DN1845_c0_g2_i5 1681 5
TRINITY_DN1845_c0_g3_i1 1876 7
TRINITY_DN1845_c0_g4_i2 2752 4
TRINITY_DN1845_c1_g1_i12 424 1
TRINITY_DN184734_c0_g1_i1 316 6
TRINITY_DN18475_c0_g1_i1 1765 14
TRINITY_DN1847_c0_g1_i4 400 4
TRINITY_DN1847_c1_g1_i1 313 4
TRINITY_DN1847_c1_g2_i1 805 10
TRINITY_DN18493_c0_g1_i5 721 21
TRINITY_DN18499_c0_g1_i1 1471 5
TRINITY_DN1849_c0_g1_i11 1432 4
TRINITY_DN184_c0_g1_i1 8050 7
TRINITY_DN184_c1_g1_i3 1300 3
TRINITY_DN184_c1_g2_i3 1324 1
TRINITY_DN184_c5_g1_i5 1024 3
TRINITY_DN18506_c0_g1_i1 319 3
TRINITY_DN185109_c0_g1_i1 700 1
TRINITY_DN185181_c0_g1_i3 316 16
TRINITY_DN185181_c0_g2_i1 316 17
TRINITY_DN1851_c0_g1_i2 421 13
TRINITY_DN1851_c1_g1_i2 1051 26
TRINITY_DN185241_c0_g1_i2 979 9
TRINITY_DN18526_c0_g4_i1 937 5
TRINITY_DN1852_c0_g1_i2 979 5
TRINITY_DN1852_c1_g1_i3 514 2
TRINITY_DN18530_c0_g1_i1 346 1
TRINITY_DN18539_c0_g1_i6 775 2
TRINITY_DN1853_c0_g1_i9 3667 35
TRINITY_DN18549_c1_g1_i15 514 3
TRINITY_DN18555_c0_g1_i5 1201 4
TRINITY_DN18558_c0_g3_i1 343 5
TRINITY_DN185590_c0_g1_i11 529 14
TRINITY_DN1855_c1_g1_i1 430 9
TRINITY_DN18560_c0_g1_i7 694 6
TRINITY_DN18567_c0_g1_i4 1207 1
TRINITY_DN18567_c0_g4_i1 316 1
TRINITY_DN18573_c0_g1_i4 730 2
TRINITY_DN18587_c0_g4_i1 814 2
TRINITY_DN185893_c2_g1_i1 328 14
TRINITY_DN1858_c0_g3_i2 793 3
TRINITY_DN1858_c0_g4_i1 418 1
TRINITY_DN18596_c0_g1_i4 1141 4
TRINITY_DN18596_c0_g2_i8 3532 3
TRINITY_DN1859_c0_g1_i11 4456 1
TRINITY_DN18611_c0_g1_i7 1048 24
TRINITY_DN1861_c0_g1_i14 3571 5
TRINITY_DN1861_c1_g1_i8 757 1
TRINITY_DN18625_c0_g2_i4 4294 13
TRINITY_DN186287_c0_g1_i1 304 1
TRINITY_DN1862_c0_g1_i17 2890 4
TRINITY_DN18631_c1_g1_i6 2908 1
TRINITY_DN18635_c0_g1_i1 322 1
TRINITY_DN18636_c0_g1_i4 982 5
TRINITY_DN18637_c0_g1_i6 3298 12
TRINITY_DN1863_c0_g1_i16 2509 55
TRINITY_DN186436_c0_g1_i5 400 5
TRINITY_DN1864_c0_g1_i5 2287 1
TRINITY_DN1864_c1_g1_i15 1555 1
TRINITY_DN18656_c0_g1_i5 1003 2
TRINITY_DN18658_c0_g1_i12 835 1
TRINITY_DN18662_c1_g1_i1 1051 24
TRINITY_DN1866_c1_g1_i2 394 3
TRINITY_DN186719_c0_g1_i1 325 5
TRINITY_DN18673_c0_g1_i1 364 3
TRINITY_DN1867_c0_g1_i12 847 3
TRINITY_DN186962_c0_g1_i2 697 9
TRINITY_DN1869_c0_g1_i12 2452 6
TRINITY_DN186_c0_g1_i1 1435 1
TRINITY_DN18704_c0_g1_i3 439 4
TRINITY_DN1870_c0_g1_i7 1771 67
TRINITY_DN1870_c1_g1_i5 1486 9
TRINITY_DN187160_c1_g1_i1 307 10
TRINITY_DN18720_c0_g1_i1 535 1
TRINITY_DN18737_c0_g1_i6 3886 9
TRINITY_DN1873_c0_g1_i16 1141 36
TRINITY_DN187456_c0_g1_i1 301 10
TRINITY_DN187464_c0_g1_i5 307 1
TRINITY_DN18753_c0_g4_i1 1423 3
TRINITY_DN18753_c1_g1_i2 3109 1
TRINITY_DN18758_c0_g1_i2 2233 4
TRINITY_DN1876_c0_g1_i8 916 2
TRINITY_DN18775_c0_g1_i3 574 1
TRINITY_DN1877_c0_g1_i1 1879 1
TRINITY_DN1878_c0_g1_i1 634 14
TRINITY_DN18797_c0_g1_i1 439 18
TRINITY_DN18802_c0_g1_i7 379 12
TRINITY_DN188064_c0_g1_i1 262 11
TRINITY_DN1880_c1_g1_i1 3043 8
TRINITY_DN18812_c0_g1_i6 550 3
TRINITY_DN18812_c1_g1_i3 787 1
TRINITY_DN188251_c0_g1_i2 364 13
TRINITY_DN18827_c0_g1_i8 1951 18
TRINITY_DN18828_c0_g2_i3 3052 1
TRINITY_DN1882_c0_g1_i3 1804 13
TRINITY_DN1882_c1_g1_i4 985 3
TRINITY_DN18833_c0_g1_i4 421 11
TRINITY_DN18834_c0_g2_i4 1855 3
TRINITY_DN1883_c2_g1_i4 7795 20
TRINITY_DN188473_c0_g1_i1 430 8
TRINITY_DN18852_c0_g1_i1 709 3
TRINITY_DN1886_c0_g1_i4 421 1
TRINITY_DN18877_c0_g1_i5 397 2
TRINITY_DN18879_c0_g1_i4 403 19
TRINITY_DN188851_c0_g1_i1 322 2
TRINITY_DN188864_c0_g1_i2 355 18
TRINITY_DN1889_c0_g1_i16 14386 7
TRINITY_DN188_c0_g1_i17 3229 9
TRINITY_DN189006_c0_g1_i2 355 18
TRINITY_DN189061_c0_g1_i1 304 1
TRINITY_DN1890_c0_g4_i1 409 4
TRINITY_DN18915_c0_g1_i7 523 33
TRINITY_DN18915_c1_g1_i1 343 5
TRINITY_DN18916_c0_g2_i3 2143 6
TRINITY_DN189254_c0_g1_i1 358 2
TRINITY_DN189396_c0_g1_i1 412 6
TRINITY_DN1893_c0_g1_i3 2878 28
TRINITY_DN1893_c1_g1_i1 448 7
TRINITY_DN18948_c1_g1_i3 1078 1
TRINITY_DN18949_c0_g2_i1 520 1
TRINITY_DN1894_c0_g1_i3 433 12
TRINITY_DN189505_c0_g1_i5 316 1
TRINITY_DN189542_c1_g1_i1 322 11
TRINITY_DN18962_c0_g1_i6 823 19
TRINITY_DN18979_c0_g5_i1 328 10
TRINITY_DN189850_c0_g2_i1 397 11
TRINITY_DN18985_c0_g3_i7 3517 5
TRINITY_DN189867_c0_g1_i1 556 1
TRINITY_DN1898_c0_g1_i4 340 1
TRINITY_DN189943_c0_g1_i1 313 12
TRINITY_DN189972_c0_g1_i2 358 11
TRINITY_DN189_c0_g1_i2 1183 1
TRINITY_DN189_c0_g2_i1 1264 12
TRINITY_DN189_c1_g1_i2 772 6
TRINITY_DN189_c2_g1_i6 1537 3
TRINITY_DN189_c4_g1_i1 973 2
TRINITY_DN18_c1_g1_i2 505 2
TRINITY_DN19003_c1_g1_i5 2239 2
TRINITY_DN190064_c0_g1_i6 313 14
TRINITY_DN190076_c0_g1_i1 2941 4
TRINITY_DN19007_c0_g1_i1 598 2
TRINITY_DN19014_c0_g1_i4 343 10
TRINITY_DN19016_c1_g1_i1 490 1
TRINITY_DN1902_c1_g2_i3 1144 9
TRINITY_DN1903_c0_g1_i5 1327 67
TRINITY_DN1904_c0_g1_i9 877 4
TRINITY_DN19052_c0_g2_i3 1807 7
TRINITY_DN19056_c1_g1_i2 430 16
TRINITY_DN190571_c0_g1_i5 319 8
TRINITY_DN1905_c0_g1_i3 487 14
TRINITY_DN19072_c0_g1_i1 895 32
TRINITY_DN190780_c0_g1_i2 355 19
TRINITY_DN1907_c0_g1_i3 1048 2
TRINITY_DN1907_c0_g3_i1 388 4
TRINITY_DN191003_c0_g1_i1 301 6
TRINITY_DN191026_c0_g1_i3 604 1
TRINITY_DN19117_c0_g1_i1 409 4
TRINITY_DN19118_c0_g1_i1 739 17
TRINITY_DN191373_c0_g1_i1 847 2
TRINITY_DN19138_c0_g1_i3 1024 3
TRINITY_DN1913_c0_g1_i4 1156 1
TRINITY_DN1913_c2_g1_i10 6373 32
TRINITY_DN1913_c4_g1_i3 7510 18
TRINITY_DN1913_c7_g1_i8 541 9
TRINITY_DN191527_c0_g1_i1 322 1
TRINITY_DN19154_c0_g1_i1 304 9
TRINITY_DN191555_c0_g1_i2 331 6
TRINITY_DN191580_c0_g5_i3 1429 8
TRINITY_DN191622_c0_g1_i1 301 12
TRINITY_DN19163_c0_g1_i5 511 18
TRINITY_DN19165_c0_g1_i3 763 20
TRINITY_DN19166_c0_g1_i5 382 23
TRINITY_DN1916_c0_g1_i2 1105 1
TRINITY_DN1916_c11_g1_i1 976 2
TRINITY_DN1916_c12_g1_i10 658 12
TRINITY_DN1916_c1_g1_i10 667 16
TRINITY_DN1916_c3_g1_i3 346 15
TRINITY_DN1916_c5_g1_i8 892 1
TRINITY_DN1918_c0_g1_i4 1117 63
TRINITY_DN19191_c0_g1_i9 2008 73
TRINITY_DN19192_c0_g1_i12 1234 3
TRINITY_DN19197_c0_g1_i1 1045 3
TRINITY_DN1919_c0_g1_i3 2209 2
TRINITY_DN1919_c1_g2_i1 2392 4
TRINITY_DN1919_c3_g1_i4 1438 7
TRINITY_DN191_c1_g1_i2 1246 1
TRINITY_DN19202_c0_g2_i3 448 13
TRINITY_DN192031_c0_g1_i4 370 14
TRINITY_DN192031_c0_g2_i1 328 23
TRINITY_DN1920_c0_g1_i8 1456 1
TRINITY_DN1921_c0_g1_i1 427 26
TRINITY_DN19228_c0_g1_i3 796 30
TRINITY_DN192348_c0_g1_i1 544 1
TRINITY_DN1924_c0_g1_i3 1732 74
TRINITY_DN1925_c0_g1_i2 1738 1
TRINITY_DN19264_c2_g1_i1 1402 4
TRINITY_DN1926_c6_g2_i1 640 1
TRINITY_DN192749_c0_g1_i2 1228 2
TRINITY_DN19277_c0_g1_i6 1126 1
TRINITY_DN19284_c0_g1_i5 4897 19
TRINITY_DN192861_c0_g1_i1 1354 4
TRINITY_DN192885_c0_g1_i5 820 4
TRINITY_DN192937_c0_g1_i2 334 8
TRINITY_DN1929_c0_g1_i2 1150 2
TRINITY_DN1929_c0_g2_i11 778 3
TRINITY_DN192_c0_g1_i4 916 3
TRINITY_DN192_c0_g2_i2 1294 9
TRINITY_DN192_c18_g1_i2 1150 5
TRINITY_DN192_c3_g1_i2 601 13
TRINITY_DN192_c3_g2_i2 781 32
TRINITY_DN192_c7_g1_i5 1039 33
TRINITY_DN19300_c0_g1_i4 355 1
TRINITY_DN19303_c0_g2_i3 277 11
TRINITY_DN1930_c0_g1_i13 919 3
TRINITY_DN1932_c0_g1_i10 1162 2
TRINITY_DN19342_c0_g1_i2 310 9
TRINITY_DN19344_c0_g1_i4 343 6
TRINITY_DN1934_c0_g1_i5 322 3
TRINITY_DN1934_c0_g2_i3 517 1
TRINITY_DN1935_c2_g1_i4 736 1
TRINITY_DN1935_c5_g1_i1 3448 22
TRINITY_DN19363_c0_g1_i1 2959 5
TRINITY_DN19364_c0_g1_i3 3163 2
TRINITY_DN1936_c0_g2_i8 697 17
TRINITY_DN1937_c0_g1_i5 1156 45
TRINITY_DN193_c0_g1_i9 1870 3
TRINITY_DN193_c2_g2_i1 1063 1
TRINITY_DN193_c2_g3_i2 3376 9
TRINITY_DN19407_c0_g1_i4 448 13
TRINITY_DN1940_c0_g2_i1 2086 1
TRINITY_DN19412_c1_g1_i1 892 21
TRINITY_DN19429_c0_g2_i2 1537 10
TRINITY_DN194330_c1_g1_i1 349 14
TRINITY_DN19437_c0_g1_i3 1093 2
TRINITY_DN19437_c0_g2_i1 445 3
TRINITY_DN19440_c0_g1_i2 5983 12
TRINITY_DN19442_c0_g4_i1 304 10
TRINITY_DN19446_c0_g1_i3 709 3
TRINITY_DN1944_c0_g1_i3 2467 3
TRINITY_DN19455_c1_g1_i1 4588 2
TRINITY_DN19456_c0_g2_i1 1774 4
TRINITY_DN1945_c0_g1_i1 424 3
TRINITY_DN194622_c0_g1_i2 337 10
TRINITY_DN194626_c0_g1_i1 310 10
TRINITY_DN19467_c0_g1_i8 481 2
TRINITY_DN1946_c0_g1_i8 3922 128
TRINITY_DN1946_c1_g1_i3 646 21
TRINITY_DN19471_c0_g1_i11 418 30
TRINITY_DN19471_c1_g1_i5 445 15
TRINITY_DN19480_c0_g1_i3 2176 5
TRINITY_DN194862_c0_g1_i1 346 1
TRINITY_DN1948_c0_g1_i10 1768 2
TRINITY_DN1948_c0_g2_i1 1768 2
TRINITY_DN19493_c0_g1_i1 583 1
TRINITY_DN19495_c1_g1_i1 376 1
TRINITY_DN1949_c2_g1_i1 1447 4
TRINITY_DN194_c0_g1_i18 5602 5
TRINITY_DN194_c11_g1_i7 1111 2
TRINITY_DN194_c2_g1_i4 1258 4
TRINITY_DN195042_c0_g1_i5 499 10
TRINITY_DN19504_c0_g1_i4 2275 3
TRINITY_DN1950_c1_g1_i1 2794 7
TRINITY_DN1950_c2_g2_i2 1438 1
TRINITY_DN195127_c0_g1_i4 358 12
TRINITY_DN19513_c0_g1_i3 304 2
TRINITY_DN19514_c1_g1_i9 5182 1
TRINITY_DN1951_c1_g1_i3 688 1
TRINITY_DN19535_c0_g1_i2 421 2
TRINITY_DN19535_c1_g1_i1 307 10
TRINITY_DN1955_c0_g1_i6 1876 3
TRINITY_DN19561_c0_g1_i6 1120 5
TRINITY_DN19563_c0_g1_i7 1429 3
TRINITY_DN19568_c0_g2_i4 2242 1
TRINITY_DN19586_c1_g1_i3 2941 2
TRINITY_DN195882_c0_g1_i1 364 1
TRINITY_DN195888_c0_g1_i3 313 7
TRINITY_DN195895_c0_g1_i2 397 2
TRINITY_DN1958_c0_g1_i6 5158 9
TRINITY_DN19595_c0_g1_i8 2068 5
TRINITY_DN1959_c0_g1_i1 2350 129
TRINITY_DN195_c0_g1_i9 910 21
TRINITY_DN195_c1_g1_i8 829 6
TRINITY_DN196063_c0_g1_i1 547 4
TRINITY_DN19611_c0_g2_i7 325 4
TRINITY_DN1961_c0_g2_i1 346 18
TRINITY_DN1962_c15_g1_i1 457 2
TRINITY_DN1962_c1_g1_i5 2458 9
TRINITY_DN1962_c3_g1_i11 10936 21
TRINITY_DN19630_c0_g1_i11 829 14
TRINITY_DN1963_c0_g1_i13 613 21
TRINITY_DN1963_c0_g2_i9 3406 113
TRINITY_DN19644_c0_g1_i33 4216 4
TRINITY_DN19645_c0_g1_i16 2695 3
TRINITY_DN19648_c0_g1_i10 568 6
TRINITY_DN196542_c0_g1_i1 337 2
TRINITY_DN1965_c0_g1_i4 928 2
TRINITY_DN1965_c1_g1_i1 667 1
TRINITY_DN1965_c3_g1_i1 316 1
TRINITY_DN19662_c0_g2_i8 688 8
TRINITY_DN196718_c0_g1_i1 517 1
TRINITY_DN19675_c1_g1_i1 2791 13
TRINITY_DN1967_c0_g1_i5 2509 4
TRINITY_DN1967_c1_g1_i14 379 8
TRINITY_DN1968_c0_g1_i5 1432 3
TRINITY_DN1969_c0_g1_i1 754 6
TRINITY_DN1969_c0_g2_i3 1768 1
TRINITY_DN1969_c5_g1_i1 1324 1
TRINITY_DN196_c0_g1_i4 1036 2
