transcript_BRO_F len_BRO_F n_var_BRO_F
TRINITY_DN17387_c0_g1_i1 1666 19
TRINITY_DN173884_c0_g1_i2 1468 0
TRINITY_DN1738_c1_g1_i1 3304 12
TRINITY_DN173_c2_g1_i3 1534 4
TRINITY_DN1742_c0_g1_i3 373 12
TRINITY_DN17440_c0_g1_i4 397 0
TRINITY_DN1744_c0_g1_i1 724 16
TRINITY_DN174514_c0_g1_i4 403 0
TRINITY_DN17457_c0_g1_i12 721 20
TRINITY_DN17465_c0_g2_i1 436 1
TRINITY_DN17468_c0_g1_i1 373 0
TRINITY_DN17471_c0_g1_i8 3076 0
TRINITY_DN17486_c0_g1_i6 391 12
TRINITY_DN174935_c0_g1_i1 310 5
TRINITY_DN174935_c1_g1_i5 391 17
TRINITY_DN175057_c0_g1_i1 301 1
TRINITY_DN17505_c0_g3_i1 394 0
TRINITY_DN1750_c1_g1_i7 1489 66
TRINITY_DN175250_c0_g1_i2 970 0
TRINITY_DN175268_c0_g1_i4 1330 0
TRINITY_DN17533_c0_g1_i4 436 14
TRINITY_DN1755_c0_g1_i8 11242 1
TRINITY_DN1756_c0_g1_i6 1063 0
TRINITY_DN17579_c0_g1_i2 508 8
TRINITY_DN1759_c0_g1_i3 1423 2
TRINITY_DN175_c0_g1_i3 4726 9
TRINITY_DN17626_c0_g1_i8 2110 1
TRINITY_DN17632_c0_g1_i1 2101 88
TRINITY_DN17634_c0_g1_i1 442 0
TRINITY_DN17635_c0_g1_i8 391 0
TRINITY_DN176522_c0_g2_i3 523 0
TRINITY_DN17654_c0_g1_i3 478 14
TRINITY_DN1765_c0_g1_i1 460 1
TRINITY_DN17668_c0_g1_i5 661 0
TRINITY_DN1767_c1_g3_i1 334 0
TRINITY_DN1767_c1_g5_i1 1123 8
TRINITY_DN1768_c0_g1_i7 2116 86
TRINITY_DN1768_c1_g2_i2 421 5
TRINITY_DN177171_c0_g2_i1 376 0
TRINITY_DN17717_c0_g1_i7 301 13
TRINITY_DN17717_c0_g2_i1 379 5
TRINITY_DN1771_c1_g1_i1 406 9
TRINITY_DN1772_c0_g1_i3 1945 2
TRINITY_DN1773_c8_g1_i3 847 0
TRINITY_DN17749_c1_g1_i10 355 0
TRINITY_DN1774_c0_g2_i1 499 4
TRINITY_DN1775_c1_g1_i1 1309 0
TRINITY_DN17760_c0_g2_i3 328 0
TRINITY_DN1777_c2_g1_i2 487 0
TRINITY_DN1778_c0_g1_i10 3874 0
TRINITY_DN1778_c0_g2_i7 844 32
TRINITY_DN17794_c0_g1_i3 310 5
TRINITY_DN1780_c1_g1_i5 3181 9
TRINITY_DN1782_c0_g1_i4 1048 26
TRINITY_DN178416_c0_g1_i3 376 0
TRINITY_DN178438_c0_g1_i2 466 0
TRINITY_DN17847_c0_g1_i17 379 8
TRINITY_DN17857_c0_g1_i1 1180 8
TRINITY_DN1785_c0_g2_i1 1204 4
TRINITY_DN178686_c0_g1_i2 322 0
TRINITY_DN178686_c1_g1_i1 427 0
TRINITY_DN178741_c0_g2_i10 1429 0
TRINITY_DN178947_c0_g1_i4 349 2
TRINITY_DN17899_c0_g1_i1 1555 0
TRINITY_DN178_c5_g1_i2 580 1
TRINITY_DN179095_c0_g4_i1 370 0
TRINITY_DN17931_c0_g2_i8 1174 33
TRINITY_DN17934_c0_g1_i10 544 8
TRINITY_DN179376_c0_g1_i2 982 12
TRINITY_DN17946_c0_g1_i3 301 17
TRINITY_DN17969_c0_g1_i4 703 15
TRINITY_DN1796_c0_g1_i7 1015 27
TRINITY_DN17979_c0_g1_i7 508 8
TRINITY_DN1798_c0_g1_i1 907 0
TRINITY_DN1799_c3_g1_i2 2977 0
TRINITY_DN17_c4_g1_i2 2617 1
TRINITY_DN18005_c1_g1_i5 1384 0
TRINITY_DN18005_c2_g1_i2 3463 0
TRINITY_DN18010_c0_g1_i2 571 22
TRINITY_DN18011_c0_g1_i1 310 0
TRINITY_DN180237_c0_g1_i1 307 8
TRINITY_DN1803_c0_g1_i5 2779 0
TRINITY_DN180413_c1_g1_i2 319 0
TRINITY_DN18044_c0_g1_i1 556 4
TRINITY_DN1804_c0_g1_i1 1150 45
TRINITY_DN18053_c0_g1_i1 454 18
TRINITY_DN18057_c0_g2_i1 589 0
TRINITY_DN18061_c0_g3_i4 580 8
TRINITY_DN18069_c0_g2_i2 1675 0
TRINITY_DN1806_c0_g2_i5 988 0
TRINITY_DN1806_c1_g1_i6 856 3
TRINITY_DN18082_c0_g2_i1 724 9
TRINITY_DN1808_c0_g1_i7 1507 1
TRINITY_DN180986_c0_g5_i1 388 0
TRINITY_DN1809_c1_g1_i9 763 1
TRINITY_DN180_c0_g1_i7 754 21
TRINITY_DN181040_c0_g1_i1 562 0
TRINITY_DN18104_c0_g1_i3 385 0
TRINITY_DN18104_c0_g2_i1 373 0
TRINITY_DN1811_c1_g2_i8 2962 0
TRINITY_DN1812_c3_g1_i6 2050 34
TRINITY_DN18141_c0_g1_i7 406 0
TRINITY_DN18145_c0_g1_i5 733 0
TRINITY_DN1818_c0_g1_i5 2674 20
TRINITY_DN18203_c0_g1_i1 349 0
TRINITY_DN18208_c0_g2_i4 1246 0
TRINITY_DN18216_c0_g1_i6 310 0
TRINITY_DN1823_c0_g1_i2 1702 4
TRINITY_DN18247_c0_g1_i1 865 15
TRINITY_DN1826_c0_g2_i1 349 0
TRINITY_DN18294_c0_g1_i1 658 4
TRINITY_DN182_c0_g1_i3 1570 0
TRINITY_DN1832_c0_g1_i2 382 9
TRINITY_DN18342_c0_g1_i4 400 13
TRINITY_DN1835_c0_g2_i3 718 2
TRINITY_DN1836_c0_g1_i5 508 17
TRINITY_DN18381_c2_g2_i9 1648 0
TRINITY_DN18382_c0_g2_i1 1357 0
TRINITY_DN18395_c0_g1_i1 322 12
TRINITY_DN1839_c0_g2_i11 637 12
TRINITY_DN183_c0_g1_i2 1546 2
TRINITY_DN1841_c0_g1_i6 4165 101
TRINITY_DN1841_c1_g1_i3 3823 1
TRINITY_DN1841_c3_g1_i7 5209 167
TRINITY_DN18420_c0_g1_i6 1873 54
TRINITY_DN18428_c0_g1_i1 541 8
TRINITY_DN18438_c0_g1_i3 502 11
TRINITY_DN18476_c0_g1_i2 646 1
TRINITY_DN18480_c0_g1_i8 1048 1
TRINITY_DN18481_c0_g1_i9 508 0
TRINITY_DN18492_c0_g1_i4 2017 0
TRINITY_DN18511_c0_g1_i7 511 3
TRINITY_DN1851_c0_g1_i8 2476 15
TRINITY_DN185314_c0_g1_i4 424 7
TRINITY_DN18531_c0_g1_i1 358 11
TRINITY_DN1854_c2_g1_i2 820 14
TRINITY_DN185816_c0_g1_i4 358 14
TRINITY_DN18581_c0_g1_i6 442 1
TRINITY_DN18592_c0_g1_i6 1081 0
TRINITY_DN185_c0_g2_i5 2542 0
TRINITY_DN18608_c0_g1_i1 622 0
TRINITY_DN18609_c0_g1_i3 517 0
TRINITY_DN18612_c1_g1_i1 772 0
TRINITY_DN1861_c0_g1_i11 12889 3
TRINITY_DN186393_c0_g2_i1 322 0
TRINITY_DN18645_c0_g1_i2 331 1
TRINITY_DN18649_c0_g1_i5 340 0
TRINITY_DN1865_c0_g1_i5 931 0
TRINITY_DN1866_c0_g1_i2 490 15
TRINITY_DN1868_c0_g1_i4 1555 6
TRINITY_DN1869_c0_g1_i2 1111 7
TRINITY_DN186_c0_g2_i1 727 1
TRINITY_DN186_c1_g1_i1 1621 0
TRINITY_DN186_c4_g1_i7 925 8
TRINITY_DN186_c5_g1_i3 1156 2
TRINITY_DN186_c5_g2_i1 700 8
TRINITY_DN18707_c0_g1_i1 958 0
TRINITY_DN1871_c0_g1_i3 619 0
TRINITY_DN1871_c1_g1_i4 370 0
TRINITY_DN18720_c1_g2_i1 1036 0
TRINITY_DN1872_c0_g2_i2 1318 0
TRINITY_DN1874_c0_g2_i3 688 13
TRINITY_DN18776_c0_g1_i2 331 0
TRINITY_DN1877_c1_g1_i14 1369 3
TRINITY_DN1877_c1_g2_i16 1900 4
TRINITY_DN187_c0_g1_i3 1528 0
TRINITY_DN187_c2_g1_i1 1624 1
TRINITY_DN1882_c0_g1_i4 301 12
TRINITY_DN1883_c1_g1_i3 3961 98
TRINITY_DN1883_c2_g1_i6 1765 0
TRINITY_DN1883_c4_g1_i2 1240 0
TRINITY_DN18847_c0_g1_i5 343 0
TRINITY_DN18855_c0_g1_i1 478 0
TRINITY_DN18858_c0_g1_i7 460 1
TRINITY_DN1885_c0_g1_i9 991 1
TRINITY_DN1885_c0_g2_i5 541 2
TRINITY_DN18860_c0_g4_i1 1198 0
TRINITY_DN18861_c0_g1_i9 616 24
TRINITY_DN18867_c0_g1_i1 865 8
TRINITY_DN18867_c0_g2_i1 853 13
TRINITY_DN18872_c0_g1_i2 805 6
TRINITY_DN1887_c0_g1_i2 487 6
TRINITY_DN1887_c2_g1_i11 4402 0
TRINITY_DN1887_c3_g1_i8 1159 25
TRINITY_DN1887_c4_g1_i3 1756 2
TRINITY_DN1887_c7_g1_i2 1567 0
TRINITY_DN18880_c0_g4_i1 922 1
TRINITY_DN18910_c0_g1_i2 625 0
TRINITY_DN18912_c0_g2_i1 1108 11
TRINITY_DN18922_c0_g1_i9 2671 0
TRINITY_DN18934_c0_g1_i4 907 0
TRINITY_DN18935_c0_g1_i2 340 0
TRINITY_DN18935_c0_g2_i2 727 0
TRINITY_DN18948_c0_g1_i1 505 8
TRINITY_DN1895_c0_g1_i5 1807 1
TRINITY_DN189691_c0_g1_i1 352 0
TRINITY_DN1896_c0_g1_i3 880 19
TRINITY_DN18980_c0_g1_i1 376 2
TRINITY_DN18982_c0_g1_i6 487 0
TRINITY_DN1898_c0_g1_i4 1207 4
TRINITY_DN18999_c2_g1_i3 352 0
TRINITY_DN1899_c0_g2_i2 490 1
TRINITY_DN1899_c1_g3_i2 589 16
TRINITY_DN18_c0_g2_i1 1786 3
TRINITY_DN19020_c0_g2_i1 583 0
TRINITY_DN19027_c0_g2_i2 505 1
TRINITY_DN19027_c1_g1_i2 343 0
TRINITY_DN19029_c0_g1_i2 472 0
TRINITY_DN19030_c0_g1_i9 565 26
TRINITY_DN19042_c0_g1_i3 301 0
TRINITY_DN1907_c5_g1_i1 304 0
TRINITY_DN19114_c0_g1_i4 769 0
TRINITY_DN191190_c0_g1_i1 2440 0
TRINITY_DN1911_c0_g1_i4 1555 0
TRINITY_DN19123_c0_g2_i3 313 0
TRINITY_DN19134_c0_g3_i1 718 2
TRINITY_DN191389_c0_g2_i1 751 0
TRINITY_DN1913_c0_g1_i4 1018 0
TRINITY_DN19165_c0_g2_i2 454 6
TRINITY_DN19172_c0_g1_i5 340 8
TRINITY_DN191749_c0_g2_i1 523 0
TRINITY_DN1918_c1_g1_i2 2071 3
TRINITY_DN19190_c0_g1_i4 469 0
TRINITY_DN19190_c1_g1_i1 463 0
TRINITY_DN191932_c0_g1_i1 334 0
TRINITY_DN191_c0_g1_i1 523 0
TRINITY_DN19214_c0_g2_i3 1258 0
TRINITY_DN1921_c0_g1_i7 886 38
TRINITY_DN19224_c0_g1_i5 1090 22
TRINITY_DN1924_c0_g1_i17 484 4
TRINITY_DN19255_c0_g2_i5 586 21
TRINITY_DN1925_c1_g2_i7 793 0
TRINITY_DN1925_c2_g1_i2 1852 48
TRINITY_DN19263_c0_g1_i1 517 0
TRINITY_DN19270_c0_g1_i13 376 0
TRINITY_DN1927_c0_g1_i3 1225 49
TRINITY_DN19280_c0_g1_i6 391 18
TRINITY_DN192_c1_g1_i1 979 0
TRINITY_DN19309_c0_g1_i7 388 5
TRINITY_DN193112_c0_g1_i2 328 0
TRINITY_DN193267_c0_g1_i1 391 0
TRINITY_DN19331_c0_g1_i5 1255 0
TRINITY_DN19350_c0_g1_i8 430 2
TRINITY_DN193551_c0_g1_i2 316 0
TRINITY_DN1935_c0_g1_i3 1231 0
TRINITY_DN19374_c0_g1_i1 307 1
TRINITY_DN19375_c0_g1_i9 910 2
TRINITY_DN193_c0_g2_i3 1573 2
TRINITY_DN19438_c0_g1_i1 376 6
TRINITY_DN1943_c0_g2_i13 643 3
TRINITY_DN1943_c0_g5_i2 520 1
TRINITY_DN19442_c0_g2_i1 451 0
TRINITY_DN19444_c0_g3_i2 307 9
TRINITY_DN19446_c0_g1_i2 1591 5
TRINITY_DN19448_c0_g1_i14 5536 0
TRINITY_DN19449_c1_g1_i4 433 0
TRINITY_DN1945_c0_g2_i1 385 0
TRINITY_DN19479_c0_g2_i2 301 6
TRINITY_DN1948_c1_g1_i6 391 0
TRINITY_DN19499_c0_g1_i3 1537 75
TRINITY_DN194_c0_g1_i2 3499 17
TRINITY_DN19531_c0_g1_i3 310 9
TRINITY_DN1953_c0_g1_i2 1285 1
TRINITY_DN19546_c0_g1_i1 310 3
TRINITY_DN19565_c0_g1_i1 2002 0
TRINITY_DN19573_c0_g1_i1 358 0
TRINITY_DN19589_c0_g2_i6 394 5
TRINITY_DN1959_c1_g1_i6 868 0
TRINITY_DN19604_c0_g2_i1 1144 0
TRINITY_DN19604_c1_g1_i1 1702 0
TRINITY_DN196231_c0_g1_i6 463 19
TRINITY_DN19628_c1_g1_i6 1186 45
TRINITY_DN19637_c0_g3_i1 550 2
TRINITY_DN19638_c0_g1_i5 442 17
TRINITY_DN196396_c0_g3_i1 346 0
TRINITY_DN1965_c1_g1_i1 550 0
TRINITY_DN19689_c0_g1_i9 529 11
TRINITY_DN19700_c0_g2_i3 388 17
TRINITY_DN19708_c1_g1_i4 466 0
TRINITY_DN1970_c1_g1_i3 2563 37
TRINITY_DN19710_c0_g1_i2 301 0
TRINITY_DN1971_c0_g1_i1 565 19
TRINITY_DN19723_c0_g1_i1 502 5
TRINITY_DN19725_c0_g1_i6 412 5
TRINITY_DN19733_c0_g1_i3 502 0
TRINITY_DN19736_c0_g1_i2 541 0
TRINITY_DN1973_c0_g1_i12 3664 0
TRINITY_DN197570_c0_g1_i1 307 0
TRINITY_DN1976_c0_g1_i2 1894 99
TRINITY_DN197808_c0_g1_i1 514 0
TRINITY_DN19781_c0_g1_i2 328 0
TRINITY_DN1978_c0_g2_i1 1267 27
TRINITY_DN197_c0_g1_i1 442 9
TRINITY_DN197_c0_g2_i1 1420 7
TRINITY_DN197_c3_g1_i9 370 18
TRINITY_DN197_c3_g2_i1 466 13
TRINITY_DN197_c4_g1_i6 583 25
TRINITY_DN1980_c1_g3_i1 685 7
TRINITY_DN1980_c3_g1_i3 2542 40
TRINITY_DN1981_c0_g1_i2 916 1
TRINITY_DN19830_c0_g1_i13 742 16
TRINITY_DN19857_c0_g1_i3 391 13
TRINITY_DN19859_c0_g1_i1 328 0
TRINITY_DN19885_c2_g1_i2 1342 0
TRINITY_DN1988_c0_g1_i11 1687 10
TRINITY_DN1988_c0_g2_i7 2023 13
TRINITY_DN19928_c0_g1_i12 622 16
TRINITY_DN19960_c0_g1_i3 2401 0
TRINITY_DN1999_c0_g1_i7 307 3
TRINITY_DN19_c2_g1_i1 1789 0
TRINITY_DN19_c5_g1_i10 1435 28
TRINITY_DN19_c6_g1_i5 919 35
TRINITY_DN1_c1_g1_i30 1315 19
TRINITY_DN20016_c0_g1_i4 538 0
TRINITY_DN20042_c2_g1_i1 334 9
TRINITY_DN20052_c0_g2_i1 1504 7
TRINITY_DN20079_c0_g1_i2 1171 0
TRINITY_DN20091_c0_g1_i1 2599 9
TRINITY_DN200_c0_g1_i1 6898 0
TRINITY_DN200_c7_g1_i1 2389 0
TRINITY_DN20131_c0_g2_i2 319 0
TRINITY_DN2014_c0_g1_i1 1960 37
TRINITY_DN2014_c1_g2_i6 790 17
TRINITY_DN20151_c0_g1_i1 382 3
TRINITY_DN201537_c0_g1_i1 625 6
TRINITY_DN20166_c0_g5_i4 394 1
TRINITY_DN2017_c0_g1_i10 1804 0
TRINITY_DN2018_c0_g2_i5 556 1
TRINITY_DN2019_c0_g2_i3 583 7
TRINITY_DN201_c0_g2_i2 1138 0
TRINITY_DN2020_c0_g1_i3 4402 1
TRINITY_DN2020_c0_g3_i2 1252 0
TRINITY_DN2020_c1_g1_i2 760 0
TRINITY_DN2020_c1_g2_i7 2314 43
TRINITY_DN20229_c0_g1_i7 4075 1
TRINITY_DN202493_c0_g1_i3 367 20
TRINITY_DN20259_c0_g1_i1 298 12
TRINITY_DN20268_c0_g1_i12 457 6
TRINITY_DN202696_c0_g1_i1 397 0
TRINITY_DN2026_c0_g1_i6 406 0
TRINITY_DN20271_c0_g1_i3 2050 0
TRINITY_DN20282_c0_g1_i1 460 0
TRINITY_DN202_c0_g1_i7 583 11
TRINITY_DN20316_c0_g2_i1 376 0
TRINITY_DN20326_c0_g1_i1 478 16
TRINITY_DN2034_c3_g1_i2 793 0
TRINITY_DN2037_c0_g1_i3 1132 32
TRINITY_DN20381_c0_g1_i1 415 0
TRINITY_DN2041_c0_g1_i3 1588 1
TRINITY_DN20437_c0_g1_i7 2305 1
TRINITY_DN20441_c0_g1_i1 379 4
TRINITY_DN20442_c0_g1_i5 580 0
TRINITY_DN20452_c0_g1_i1 385 17
TRINITY_DN204738_c0_g1_i1 385 0
TRINITY_DN20476_c0_g1_i1 673 0
TRINITY_DN20481_c0_g1_i1 358 0
TRINITY_DN20490_c0_g1_i4 340 0
TRINITY_DN20499_c0_g1_i4 1948 0
TRINITY_DN20500_c1_g1_i3 466 0
TRINITY_DN20513_c0_g1_i6 1792 43
TRINITY_DN20514_c0_g1_i7 1087 0
TRINITY_DN20521_c0_g1_i7 382 12
TRINITY_DN2053_c0_g1_i7 1588 73
TRINITY_DN205642_c0_g1_i2 430 0
TRINITY_DN20572_c1_g2_i1 460 7
TRINITY_DN205766_c0_g1_i1 358 0
TRINITY_DN2057_c0_g1_i1 2185 81
TRINITY_DN20581_c1_g1_i4 991 0
TRINITY_DN205834_c0_g1_i1 1441 0
TRINITY_DN2059_c0_g4_i4 1300 1
TRINITY_DN206040_c0_g1_i1 319 0
TRINITY_DN20616_c0_g1_i7 859 22
TRINITY_DN20621_c0_g1_i2 916 3
TRINITY_DN2062_c0_g1_i2 364 0
TRINITY_DN20632_c0_g1_i1 565 0
TRINITY_DN20637_c0_g1_i3 1294 0
TRINITY_DN20649_c0_g1_i4 2365 9
TRINITY_DN20649_c1_g1_i3 472 1
TRINITY_DN2065_c1_g1_i6 8443 1
TRINITY_DN206601_c0_g1_i1 337 9
TRINITY_DN20667_c0_g1_i3 871 0
TRINITY_DN20674_c1_g2_i1 394 4
TRINITY_DN20686_c0_g1_i4 1369 0
TRINITY_DN206935_c0_g1_i1 301 0
TRINITY_DN20697_c0_g1_i3 451 0
TRINITY_DN2069_c0_g2_i1 607 3
TRINITY_DN2070_c0_g1_i26 1969 1
TRINITY_DN207277_c0_g1_i3 1240 0
TRINITY_DN20750_c0_g2_i2 316 0
TRINITY_DN20764_c0_g1_i1 610 8
TRINITY_DN2076_c0_g1_i7 667 20
TRINITY_DN20778_c0_g1_i2 469 0
TRINITY_DN20780_c0_g1_i1 415 0
TRINITY_DN20787_c0_g1_i5 1252 8
TRINITY_DN2079_c0_g1_i20 2620 4
TRINITY_DN2079_c1_g1_i3 520 8
TRINITY_DN208233_c0_g1_i3 601 0
TRINITY_DN20835_c0_g1_i1 571 27
TRINITY_DN208405_c0_g1_i3 391 12
TRINITY_DN20882_c0_g3_i3 649 0
TRINITY_DN2088_c0_g1_i6 319 13
TRINITY_DN20910_c1_g1_i5 535 18
TRINITY_DN2091_c0_g1_i9 865 0
TRINITY_DN2092_c0_g2_i20 511 32
TRINITY_DN209399_c0_g1_i1 481 0
TRINITY_DN2095_c0_g5_i1 505 0
TRINITY_DN2096_c2_g1_i5 2551 9
TRINITY_DN2096_c2_g2_i2 2122 7
TRINITY_DN2096_c3_g1_i5 496 4
TRINITY_DN209771_c0_g2_i1 325 3
TRINITY_DN2098_c0_g3_i1 508 5
TRINITY_DN2098_c2_g2_i3 544 22
TRINITY_DN209_c13_g1_i2 352 0
TRINITY_DN20_c1_g1_i3 2542 0
TRINITY_DN2100_c0_g2_i1 2590 7
TRINITY_DN2100_c1_g1_i2 1444 2
TRINITY_DN21011_c0_g1_i10 631 15
TRINITY_DN21013_c0_g1_i2 640 0
TRINITY_DN2101_c0_g1_i10 4495 0
TRINITY_DN210220_c0_g1_i2 2113 6
TRINITY_DN21035_c0_g1_i1 349 2
TRINITY_DN2105_c1_g1_i3 1189 12
TRINITY_DN2105_c1_g2_i9 1834 11
TRINITY_DN2105_c3_g1_i17 1576 60
TRINITY_DN21068_c0_g1_i5 397 0
TRINITY_DN210758_c0_g1_i1 742 0
TRINITY_DN2107_c0_g2_i3 946 27
TRINITY_DN210977_c0_g1_i1 322 5
TRINITY_DN210_c0_g2_i1 817 6
TRINITY_DN21119_c0_g1_i9 457 3
TRINITY_DN211256_c0_g1_i1 415 0
TRINITY_DN2112_c0_g1_i2 3118 0
TRINITY_DN21133_c0_g1_i2 319 8
TRINITY_DN21145_c0_g1_i17 598 1
TRINITY_DN211576_c0_g1_i5 733 0
TRINITY_DN211576_c0_g2_i2 490 0
TRINITY_DN211740_c0_g2_i1 994 0
TRINITY_DN21179_c0_g1_i5 2215 0
TRINITY_DN21183_c0_g1_i7 331 7
TRINITY_DN211_c0_g1_i7 937 0
TRINITY_DN21214_c0_g1_i2 346 7
TRINITY_DN2122_c2_g1_i1 4897 0
TRINITY_DN2124_c0_g2_i1 1501 1
TRINITY_DN2127_c0_g2_i5 1546 0
TRINITY_DN2127_c0_g3_i4 1861 14
TRINITY_DN21287_c0_g1_i10 775 21
TRINITY_DN212956_c0_g1_i5 1741 0
TRINITY_DN21298_c0_g1_i1 964 0
TRINITY_DN21308_c0_g1_i2 331 0
TRINITY_DN21311_c0_g1_i7 577 7
TRINITY_DN2132_c1_g1_i12 466 6
TRINITY_DN21358_c0_g1_i1 415 1
TRINITY_DN21359_c0_g1_i2 892 11
TRINITY_DN213688_c0_g1_i1 508 0
TRINITY_DN2136_c0_g1_i16 1000 0
TRINITY_DN2137_c0_g1_i2 559 1
TRINITY_DN213_c0_g2_i2 1354 11
TRINITY_DN213_c0_g4_i1 2884 68
TRINITY_DN21408_c1_g1_i5 853 3
TRINITY_DN21414_c0_g1_i3 1117 0
TRINITY_DN21421_c0_g2_i2 439 0
TRINITY_DN21425_c0_g1_i3 364 13
TRINITY_DN2142_c2_g1_i11 559 16
TRINITY_DN2142_c2_g2_i1 400 0
TRINITY_DN21442_c0_g1_i7 505 0
TRINITY_DN21444_c0_g1_i2 373 11
TRINITY_DN2144_c0_g1_i6 901 25
TRINITY_DN21469_c0_g2_i1 1642 0
TRINITY_DN2148_c0_g1_i6 1111 21
TRINITY_DN214_c0_g3_i1 757 1
TRINITY_DN214_c9_g2_i1 1303 11
TRINITY_DN215036_c1_g2_i1 310 4
TRINITY_DN21506_c0_g1_i3 1468 4
TRINITY_DN21509_c0_g1_i1 1945 3
TRINITY_DN2151_c0_g1_i6 856 22
TRINITY_DN21521_c1_g1_i1 400 5
TRINITY_DN2152_c0_g1_i4 625 0
TRINITY_DN21533_c0_g1_i1 1351 8
TRINITY_DN21544_c0_g1_i8 559 11
TRINITY_DN215538_c0_g1_i3 334 0
TRINITY_DN21559_c0_g1_i7 436 1
TRINITY_DN21559_c0_g2_i1 2038 1
TRINITY_DN2155_c0_g1_i5 2170 0
TRINITY_DN2155_c2_g1_i4 370 1
TRINITY_DN21564_c0_g1_i1 433 0
TRINITY_DN21567_c0_g2_i5 442 0
TRINITY_DN21597_c0_g2_i7 508 0
TRINITY_DN215_c15_g1_i2 1726 1
TRINITY_DN215_c19_g1_i2 2104 14
TRINITY_DN215_c6_g1_i8 682 28
TRINITY_DN21600_c0_g2_i10 577 12
TRINITY_DN21611_c0_g1_i6 559 16
TRINITY_DN2161_c0_g4_i1 1993 12
TRINITY_DN21656_c1_g1_i1 910 1
TRINITY_DN216585_c0_g1_i1 325 0
TRINITY_DN216_c0_g2_i7 319 0
TRINITY_DN2170_c0_g1_i8 1765 93
TRINITY_DN21714_c0_g1_i2 604 0
TRINITY_DN2171_c0_g4_i3 406 4
TRINITY_DN21725_c0_g1_i2 361 6
TRINITY_DN21728_c0_g1_i4 325 14
TRINITY_DN2172_c0_g1_i5 760 0
TRINITY_DN21730_c0_g1_i21 1681 0
TRINITY_DN2175_c0_g2_i4 559 19
TRINITY_DN2175_c1_g1_i4 2356 61
TRINITY_DN21762_c0_g1_i2 862 20
TRINITY_DN2176_c0_g1_i9 1090 44
TRINITY_DN21793_c0_g1_i2 769 16
TRINITY_DN2179_c0_g1_i6 1690 40
TRINITY_DN2179_c0_g2_i1 373 0
TRINITY_DN217_c0_g3_i1 817 18
TRINITY_DN21818_c0_g1_i3 1201 0
TRINITY_DN2182_c0_g1_i9 622 1
TRINITY_DN2182_c0_g2_i8 1591 41
TRINITY_DN218402_c0_g1_i1 319 2
TRINITY_DN21844_c0_g1_i3 514 15
TRINITY_DN21869_c0_g2_i2 2269 2
TRINITY_DN21881_c0_g1_i3 325 4
TRINITY_DN21885_c0_g1_i5 1999 28
TRINITY_DN21888_c0_g1_i1 517 17
TRINITY_DN218_c0_g1_i3 1144 0
TRINITY_DN218_c0_g2_i3 316 0
TRINITY_DN218_c2_g1_i14 3745 0
TRINITY_DN2191_c1_g1_i1 328 0
TRINITY_DN21932_c0_g1_i1 304 9
TRINITY_DN21960_c0_g2_i4 631 0
TRINITY_DN2196_c0_g1_i4 1519 9
TRINITY_DN2197_c0_g1_i5 400 2
TRINITY_DN21981_c0_g2_i1 1456 3
TRINITY_DN2198_c0_g5_i2 1402 0
TRINITY_DN21992_c0_g1_i7 466 0
TRINITY_DN21_c0_g1_i6 2095 109
TRINITY_DN22030_c0_g1_i2 571 0
TRINITY_DN22033_c5_g1_i2 790 4
TRINITY_DN22047_c0_g1_i13 1420 29
TRINITY_DN2205_c0_g1_i1 586 12
TRINITY_DN22061_c0_g1_i6 364 17
TRINITY_DN22101_c0_g2_i1 1231 0
TRINITY_DN22102_c0_g1_i5 817 32
TRINITY_DN2210_c0_g1_i1 2614 0
TRINITY_DN22113_c1_g1_i3 3184 0
TRINITY_DN22114_c0_g1_i8 2443 0
TRINITY_DN2211_c1_g1_i2 661 20
TRINITY_DN22144_c0_g1_i2 565 0
TRINITY_DN22153_c0_g1_i2 595 0
TRINITY_DN221560_c0_g1_i3 1408 0
TRINITY_DN2215_c0_g1_i3 367 0
TRINITY_DN22181_c0_g1_i1 343 5
TRINITY_DN2218_c0_g1_i1 649 33
TRINITY_DN22198_c0_g2_i3 316 16
TRINITY_DN22205_c0_g1_i3 421 0
TRINITY_DN22211_c0_g1_i7 2215 0
TRINITY_DN222385_c0_g1_i2 436 0
TRINITY_DN22242_c0_g1_i1 448 0
TRINITY_DN2225_c0_g1_i1 1333 0
TRINITY_DN22263_c0_g1_i4 466 6
TRINITY_DN22267_c0_g1_i9 364 1
TRINITY_DN2228_c0_g1_i6 952 20
TRINITY_DN22290_c0_g1_i1 313 2
TRINITY_DN22299_c0_g2_i6 1300 0
TRINITY_DN2229_c0_g1_i2 1948 9
TRINITY_DN2229_c1_g1_i1 328 0
TRINITY_DN222_c0_g2_i3 1459 5
TRINITY_DN22303_c0_g1_i1 547 20
TRINITY_DN2231_c0_g1_i6 502 0
TRINITY_DN2233_c2_g1_i5 2338 57
TRINITY_DN223694_c0_g1_i5 511 11
TRINITY_DN2236_c0_g1_i8 1264 25
TRINITY_DN2237_c1_g1_i4 406 11
TRINITY_DN224290_c0_g1_i1 466 0
TRINITY_DN2242_c0_g1_i9 2947 10
TRINITY_DN22430_c0_g1_i1 307 4
TRINITY_DN2245_c0_g1_i4 460 19
TRINITY_DN22460_c0_g1_i1 484 0
TRINITY_DN22461_c0_g3_i4 349 0
TRINITY_DN22461_c0_g5_i1 424 0
