OG BRO-BGM BAT-BGM BAT-BRO
OG0003977 6.72 2.77 7.02
OG0003978 4.25 19.25 22.52
OG0003979 4.69 2.53 4.95
OG0003980 2.10 1.94 2.68
OG0003981 3.36 1.42 3.53
OG0003982 0.70 0.93 1.16
OG0003984 3.59 0.92 3.91
OG0003985 1.64 1.36 1.86
OG0003986 2.61 1.61 2.61
OG0003987 9.17 5.22 8.68
OG0003988 2.48 1.27 2.77
OG0003989 3.02 1.49 2.46
OG0003991 3.84 1.31 4.37
OG0003992 12.43 30.59 14.17
OG0003993 2.31 1.75 2.24
OG0003994 2.01 1.51 2.07
OG0003995 2.32 1.73 3.21
OG0003996 5.45 2.84 7.78
OG0003997 8.51 1.48 8.14
OG0003998 1.01 0.54 0.90
OG0003999 8.94 2.53 9.71
OG0004000 5.92 3.67 5.34
OG0004001 2.43 0.58 2.83
OG0004002 2.37 1.21 2.50
OG0004003 1.93 0.48 1.93
OG0004004 3.26 1.53 3.21
OG0004005 5.14 3.56 3.12
OG0004007 4.71 6.98 5.49
OG0004008 3.78 2.09 4.15
OG0004009 1.76 1.01 1.57
OG0004010 3.04 2.26 2.67
OG0004011 3.86 1.70 3.38
OG0004012 2.80 6.02 7.90
OG0004013 0.64 21.78 21.78
OG0004014 6.77 7.75 3.47
OG0004015 5.85 2.99 6.55
OG0004016 15.10 9.04 4.80
OG0004017 2.92 1.51 3.70
OG0004018 4.30 1.55 4.38
OG0004019 5.57 3.01 4.31
OG0004020 1.11 0.68 1.29
OG0004021 5.40 2.27 4.70
OG0004022 1.17 0.66 1.39
OG0004023 2.82 0.34 2.24
OG0004024 2.53 1.87 2.70
OG0004025 4.24 1.54 4.29
OG0004026 3.21 1.63 2.42
OG0004027 7.18 3.71 6.98
OG0004028 6.49 5.21 8.19
OG0004030 4.07 1.85 4.16
OG0004031 1.88 1.56 2.83
OG0004032 8.41 0.21 6.17
OG0004033 7.27 6.22 3.20
OG0004034 3.98 1.29 3.81
OG0004035 2.14 0.45 1.98
OG0004036 4.33 1.64 3.93
OG0004037 4.72 3.78 2.10
OG0004038 4.11 3.61 1.68
OG0004039 9.35 1.35 9.02
OG0004040 1.26 0.66 1.40
OG0004041 3.55 2.31 2.92
OG0004042 3.69 17.92 17.92
OG0004043 1.79 1.11 2.01
OG0004044 3.77 2.49 1.24
OG0004045 2.85 9.61 2.48
OG0004046 3.71 1.77 3.75
OG0004047 16.28 15.49 3.47
OG0004048 10.42 14.31 3.85
OG0004049 2.41 0.73 2.03
OG0004050 17.91 1.97 6.98
OG0004051 2.76 1.79 2.93
OG0004052 4.81 4.38 2.81
OG0004053 11.40 2.22 11.27
OG0004054 1.95 4.00 2.52
OG0004055 4.42 0.73 2.21
OG0004056 1.73 1.62 1.18
OG0004057 7.01 2.87 6.81
OG0004058 5.21 2.87 5.73
OG0004060 7.88 6.24 4.12
OG0004061 7.38 4.65 7.91
OG0004062 3.74 3.11 2.37
OG0004063 5.55 1.54 5.88
OG0004064 5.72 2.54 5.46
OG0004065 4.51 2.06 4.63
OG0004067 10.55 2.61 5.73
OG0004068 4.03 4.50 4.03
OG0004069 6.36 3.57 6.56
OG0004070 1.45 1.17 1.67
OG0004071 2.52 1.54 2.13
OG0004072 4.05 2.06 5.24
OG0004073 3.06 1.92 3.44
OG0004074 5.53 1.43 3.91
OG0004075 6.91 1.31 6.91
OG0004076 2.45 1.00 7.93
OG0004077 8.83 19.68 11.01
OG0004078 19.95 10.77 9.48
OG0004079 4.28 2.02 4.35
OG0004080 11.05 7.03 7.26
OG0004081 1.05 0.85 1.41
OG0004082 4.71 3.67 4.80
OG0004083 0.69 0.69 0.86
OG0004084 4.63 2.00 5.13
OG0004085 0.94 0.71 1.34
OG0004086 1.88 1.69 1.81
OG0004087 3.55 1.45 4.11
OG0004088 1.66 1.09 1.57
OG0004090 2.55 2.12 3.32
OG0004091 9.16 1.52 9.92
OG0004092 1.14 0.80 1.10
OG0004093 4.13 9.12 3.92
OG0004094 2.87 1.46 3.42
OG0004096 3.94 1.97 3.19
OG0004097 3.60 3.04 2.92
OG0004098 5.79 2.92 5.34
OG0004099 2.66 0.70 2.77
OG0004100 0.71 2.65 2.65
OG0004101 2.75 1.51 2.92
OG0004102 7.77 1.06 6.86
OG0004103 3.80 2.31 3.93
OG0004104 15.05 19.07 6.68
OG0004106 2.52 0.58 2.34
OG0004107 3.12 0.98 3.31
OG0004109 4.37 3.52 1.18
OG0004111 4.06 3.99 5.72
OG0004114 2.11 1.27 2.29
OG0004115 2.59 1.79 2.59
OG0004116 7.21 7.91 2.95
OG0004117 0.71 1.06 5.46
OG0004118 9.21 8.80 5.57
OG0004119 1.60 1.41 1.99
OG0004120 4.75 2.09 4.41
OG0004121 1.67 1.39 1.39
OG0004122 5.44 5.34 1.87
OG0004123 5.58 5.30 7.52
OG0004125 11.98 10.00 15.89
OG0004126 4.31 2.11 3.90
OG0004128 0.85 0.56 0.56
OG0004129 2.56 1.52 1.91
OG0004130 2.14 1.54 2.39
OG0004131 2.70 1.88 3.46
OG0004132 2.88 1.88 2.95
OG0004133 2.70 0.93 2.84
OG0004134 2.07 0.89 2.07
OG0004136 3.66 4.24 6.46
OG0004137 4.66 1.52 4.77
OG0004138 1.59 1.22 1.71
OG0004139 1.29 -nan 1.99
OG0004140 3.30 1.45 3.76
OG0004141 8.63 53.55 47.45
OG0004142 1.82 0.70 1.96
OG0004143 4.57 3.06 4.33
OG0004144 5.58 1.89 5.22
OG0004145 1.66 1.35 1.52
OG0004146 6.63 0.97 7.01
OG0004147 0.92 0.61 1.54
OG0004148 15.67 6.37 6.50
OG0004149 7.41 3.04 6.70
OG0004150 6.90 126.48 3.75
OG0004151 6.88 4.36 7.88
OG0004152 0.72 0.48 0.36
OG0004153 5.08 2.72 4.57
OG0004154 3.85 2.24 3.39
OG0004155 3.19 4.21 4.00
OG0004156 1.59 0.88 1.43
OG0004157 1.78 0.91 1.91
OG0004159 63.36 10.86 83.65
OG0004160 25.61 30.56 19.07
OG0004162 6.91 3.49 4.77
OG0004163 2.82 3.68 4.95
OG0004164 5.31 2.84 5.23
OG0004165 3.06 2.07 3.53
OG0004166 4.34 1.90 4.76
OG0004167 2.25 1.25 2.62
OG0004168 2.47 1.14 2.41
OG0004169 2.37 0.94 2.53
OG0004170 2.44 2.09 2.26
OG0004171 2.11 0.95 1.89
OG0004172 3.29 2.26 3.23
OG0004173 4.37 1.49 4.56
OG0004174 13.05 4.38 4.64
OG0004175 6.98 1.40 7.24
OG0004176 8.39 8.70 5.04
OG0004177 4.44 2.86 4.91
OG0004179 1.29 0.55 1.10
OG0004180 1.99 1.22 1.99
OG0004181 0.30 -0.00 0.30
OG0004182 1.30 0.71 1.30
OG0004183 2.61 2.13 2.37
OG0004185 1.31 0.41 1.37
OG0004186 4.10 1.68 4.60
OG0004187 4.44 0.28 3.83
OG0004188 1.71 1.48 1.48
OG0004189 7.80 3.27 6.69
OG0004190 3.59 1.57 3.20
OG0004191 1.59 1.05 1.84
OG0004192 27.95 18.13 4.86
OG0004193 6.91 3.30 7.76
OG0004194 7.67 2.47 6.13
OG0004195 14.63 11.41 5.86
OG0004196 7.41 8.00 3.17
OG0004197 5.54 2.07 6.06
OG0004198 2.38 1.61 3.32
OG0004199 3.24 2.13 2.80
OG0004200 3.99 2.62 3.57
OG0004201 2.58 1.22 2.72
OG0004202 2.48 1.18 3.03
OG0004203 1.72 0.34 1.36
OG0004204 3.53 1.72 3.39
OG0004205 2.26 4.39 3.41
OG0004206 7.43 2.42 4.12
OG0004207 5.67 3.83 2.59
OG0004208 2.49 6.57 5.52
OG0004209 5.35 3.36 4.85
OG0004210 6.72 4.94 2.83
OG0004211 3.37 1.98 3.79
OG0004212 5.72 3.09 7.15
OG0004213 4.90 2.07 6.14
OG0004214 2.30 1.73 2.82
OG0004215 4.40 1.34 4.75
OG0004216 2.13 3.08 4.00
OG0004217 2.44 1.37 2.77
OG0004218 4.97 4.43 5.36
OG0004219 3.54 3.89 3.76
OG0004220 4.35 1.59 4.69
OG0004221 3.24 1.24 3.08
OG0004222 3.00 1.33 3.00
OG0004223 14.39 0.80 5.39
OG0004224 7.53 4.49 6.88
OG0004225 4.44 3.48 4.36
OG0004226 6.98 0.94 5.99
OG0004227 3.77 1.20 3.77
OG0004228 1.37 9.49 8.62
OG0004229 1.34 0.62 1.64
OG0004231 2.42 0.68 2.05
OG0004232 9.73 3.62 11.72
OG0004233 3.88 2.59 4.05
OG0004234 4.71 1.13 4.85
OG0004235 0.17 0.17 0.33
OG0004236 1.93 1.13 1.47
OG0004237 2.95 1.92 3.58
OG0004238 4.42 1.65 4.06
OG0004239 7.38 1.36 6.67
OG0004240 4.17 1.08 4.43
OG0004242 1.69 0.75 2.08
OG0004243 3.26 1.28 3.66
OG0004244 2.22 1.38 3.07
OG0004245 3.86 1.74 4.20
OG0004247 7.43 6.65 14.09
OG0004248 4.66 1.49 4.58
OG0004249 7.11 4.40 8.11
OG0004250 2.71 1.35 2.16
OG0004252 4.60 1.63 4.13
OG0004253 3.51 1.12 3.24
OG0004254 3.99 1.75 3.71
OG0004255 5.27 4.01 1.98
OG0004256 5.64 0.71 1.02
OG0004257 4.35 1.09 4.66
OG0004258 4.53 2.13 5.49
OG0004259 2.70 1.79 2.71
OG0004260 5.07 1.20 5.07
OG0004261 8.16 6.98 3.03
OG0004263 2.17 1.28 1.99
OG0004264 9.41 5.53 10.00
OG0004265 1.69 0.34 2.04
OG0004266 4.94 1.90 4.80
OG0004267 3.54 1.36 4.27
OG0004268 16.34 12.46 5.43
OG0004269 1.93 1.03 1.86
OG0004271 1.39 0.74 1.50
OG0004272 4.79 1.21 4.97
OG0004273 3.45 0.89 3.45
OG0004275 5.91 2.29 5.84
OG0004276 2.17 1.24 2.21
OG0004277 2.21 1.28 2.07
OG0004278 1.44 1.24 1.79
OG0004279 2.38 1.78 2.50
OG0004280 1.75 0.63 1.75
OG0004281 2.21 2.44 1.96
OG0004282 2.09 1.22 2.18
OG0004283 6.61 15.10 27.95
OG0004284 3.49 21.60 18.45
OG0004285 9.91 8.04 2.61
OG0004286 6.37 4.25 6.60
OG0004287 3.19 0.70 3.02
OG0004289 3.09 2.82 2.54
OG0004290 6.43 4.78 5.11
OG0004291 1.29 0.77 1.32
OG0004293 4.23 2.12 4.23
OG0004294 4.87 1.49 3.90
OG0004295 3.08 1.30 3.14
OG0004296 1.92 0.74 1.82
OG0004297 22.54 3.77 12.98
OG0004298 0.68 0.68 1.02
OG0004299 3.26 1.28 2.14
OG0004300 101.24 40.42 27.04
OG0004301 2.04 0.94 2.17
OG0004302 5.71 2.56 5.99
OG0004303 4.04 2.26 3.86
OG0004304 1.39 2.08 2.04
OG0004305 0.88 0.63 0.94
OG0004307 1.46 0.54 1.89
OG0004308 4.58 4.69 1.53
OG0004309 4.11 1.93 4.01
OG0004310 6.78 4.19 2.24
OG0004311 6.11 3.91 2.19
OG0004312 7.14 4.39 6.31
OG0004313 3.39 1.72 4.05
OG0004314 2.99 0.98 2.98
OG0004315 4.06 3.27 3.50
OG0004316 6.75 1.99 5.91
OG0004317 8.02 3.87 4.51
OG0004318 1.32 0.90 1.44
OG0004320 2.52 1.15 2.62
OG0004321 4.96 3.06 2.13
OG0004322 2.87 2.19 2.77
OG0004323 5.01 14.15 47.45
OG0004324 2.39 1.70 2.63
OG0004325 15.54 4.24 3.52
OG0004326 3.48 1.24 1.24
OG0004327 3.63 3.03 3.25
OG0004328 2.21 1.30 2.11
OG0004329 3.14 1.64 3.82
OG0004330 6.75 2.90 7.91
OG0004331 5.11 3.19 4.22
OG0004332 4.40 1.95 3.88
OG0004334 1.50 0.82 0.94
OG0004335 15.31 3.54 4.87
OG0004336 2.79 1.63 2.63
OG0004337 11.09 7.25 10.10
OG0004338 0.73 0.68 0.56
OG0004339 6.77 1.85 7.27
OG0004340 3.24 1.93 3.35
OG0004341 5.16 5.39 10.01
OG0004342 3.36 2.10 3.36
OG0004344 2.62 1.59 2.62
OG0004345 5.18 1.76 4.76
OG0004346 2.13 0.78 2.44
OG0004347 6.22 3.85 5.55
OG0004348 3.13 1.63 3.35
OG0004349 4.71 3.38 6.50
OG0004351 3.07 0.97 1.98
OG0004352 3.31 1.27 3.37
OG0004353 1.88 1.03 2.14
OG0004354 2.72 1.86 2.62
OG0004355 4.10 1.96 4.27
OG0004356 4.13 1.56 4.73
OG0004357 6.74 10.05 14.27
OG0004358 5.26 3.65 5.49
OG0004359 5.73 9.64 34.70
OG0004360 11.48 4.78 6.35
OG0004361 4.97 2.86 5.48
OG0004362 2.44 2.15 3.52
OG0004363 1.67 1.75 1.29
OG0004364 4.75 4.99 8.16
OG0004365 13.86 13.42 16.12
OG0004366 10.94 5.25 11.17
OG0004367 3.53 1.09 2.86
OG0004368 5.87 1.24 6.06
OG0004369 9.79 0.98 0.76
OG0004370 4.65 2.41 3.86
OG0004371 7.72 4.97 6.89
OG0004372 65.78 77.04 4.87
OG0004373 1.79 1.51 2.07
OG0004374 2.51 1.88 2.64
OG0004375 1.95 1.29 1.95
OG0004376 73.91 0.67 73.31
OG0004377 3.35 1.28 3.63
OG0004378 3.45 1.01 2.55
OG0004379 5.30 1.90 5.89
OG0004380 2.29 0.81 2.26
OG0004381 4.00 40.19 164.79
OG0004382 2.09 1.73 1.43
OG0004383 1.11 1.02 1.28
OG0004384 0.93 0.58 1.06
OG0004385 5.83 2.53 8.27
OG0004386 4.57 2.72 5.66
OG0004387 7.61 2.22 7.43
OG0004389 6.98 3.65 6.69
OG0004390 11.12 2.58 13.04
OG0004391 1.65 1.24 1.24
OG0004392 5.79 1.82 5.54
OG0004393 9.73 3.93 8.73
OG0004394 2.01 1.97 2.29
OG0004395 2.52 1.84 2.71
OG0004396 9.35 4.67 8.07
OG0004397 3.38 0.65 1.73
OG0004398 1.01 1.06 1.45
OG0004399 5.38 2.38 53.19
OG0004400 23.17 31.81 48.28
OG0004401 4.53 7.05 8.88
OG0004402 1.82 1.05 2.01
OG0004403 2.73 1.03 2.81
OG0004404 2.58 1.35 3.72
OG0004405 1.36 1.10 1.26
OG0004406 5.81 2.65 5.60
OG0004407 2.92 1.85 2.65
OG0004408 3.06 1.41 24.83
OG0004409 2.41 1.16 2.04
OG0004410 16.17 13.22 5.50
OG0004411 9.17 65.92 11.55
OG0004412 9.79 3.08 12.13
OG0004413 8.96 1.42 3.95
OG0004414 5.04 1.11 5.26
OG0004415 4.72 1.50 5.01
OG0004416 4.80 3.08 4.91
OG0004417 5.93 1.05 5.93
OG0004418 13.84 1.96 13.56
OG0004419 4.56 2.67 5.54
OG0004420 1.60 0.64 1.84
OG0004421 0.61 0.61 1.02
OG0004422 2.67 1.83 2.34
OG0004424 4.43 1.02 4.01
OG0004426 1.09 1.02 0.98
OG0004427 1.97 1.04 2.74
OG0004428 5.01 3.23 5.68
OG0004429 2.52 1.53 2.75
OG0004430 8.69 1.81 9.87
OG0004431 1.84 1.13 1.84
OG0004432 1.89 1.06 1.53
OG0004433 3.16 2.81 3.43
OG0004434 3.97 1.73 1.25
OG0004435 4.83 1.21 5.08
OG0004437 18.74 16.39 5.71
OG0004438 3.47 1.24 3.64
OG0004439 8.92 6.10 3.63
OG0004440 4.62 1.60 5.57
OG0004441 3.93 1.10 3.93
OG0004442 2.94 1.29 2.61
OG0004443 5.04 3.66 5.41
OG0004444 1.57 0.28 1.57
OG0004445 0.48 0.80 0.64
OG0004446 2.29 2.08 1.92
OG0004447 9.04 1.28 10.06
OG0004449 8.49 0.82 8.69
OG0004450 4.53 4.32 6.96
OG0004451 6.56 4.13 4.99
OG0004452 4.80 2.77 4.07
OG0004453 2.66 -0.00 2.24
OG0004454 2.44 1.67 2.82
OG0004456 8.67 3.52 8.23
OG0004457 3.15 5.93 7.74
OG0004458 4.88 1.49 5.57
OG0004459 3.21 2.46 3.72
OG0004460 1.05 0.50 1.09
OG0004461 4.75 1.27 5.25
OG0004462 74.49 2.20 5.11
OG0004463 9.33 1.56 13.97
OG0004465 1.65 0.67 1.35
OG0004467 38.77 0.50 38.20
OG0004468 3.32 2.07 3.83
OG0004469 2.76 1.64 1.64
OG0004470 2.50 0.76 2.38
OG0004471 1.76 2.14 1.05
OG0004472 5.09 1.80 2.90
OG0004473 1.57 0.53 1.32
OG0004474 19.13 118.81 14.25
OG0004475 8.81 2.33 8.50
OG0004476 14.19 11.81 5.07
OG0004478 2.40 0.99 2.40
OG0004479 3.53 1.85 3.20
OG0004480 3.41 2.21 3.78
OG0004481 4.51 3.47 2.45
OG0004483 6.54 2.73 6.98
OG0004484 2.40 1.21 2.66
OG0004485 3.39 2.08 4.01
OG0004486 1.94 2.86 2.60
OG0004487 3.26 0.25 5.15
OG0004488 16.39 51.13 28.45
OG0004489 1.51 0.60 2.13
OG0004490 2.84 1.43 2.69
OG0004491 4.10 1.43 3.94
OG0004492 19.71 17.03 4.47
OG0004493 3.15 1.13 7.43
OG0004494 2.28 0.52 2.10
OG0004495 5.00 5.70 10.06
OG0004496 5.12 3.05 6.01
OG0004497 6.25 2.86 6.36
OG0004498 3.54 4.15 6.34
OG0004499 4.24 2.97 3.36
OG0004500 55.28 2.52 70.83
OG0004501 1.40 1.42 1.55
OG0004502 1.96 1.13 1.85
OG0004503 1.13 0.85 1.41
OG0004504 2.79 2.58 1.66
OG0004505 9.41 4.97 4.39
OG0004506 1.09 1.09 1.64
OG0004507 3.49 1.14 3.78
OG0004509 1.18 0.52 1.07
OG0004510 2.62 1.41 2.04
OG0004511 7.78 1.88 8.79
OG0004512 -0.00 -0.00 -0.00
OG0004513 1.08 0.51 0.99
OG0004514 2.00 1.60 2.11
OG0004515 1.50 1.33 1.50
OG0004516 -nan 2.79 3.36
OG0004517 6.48 4.86 3.77
OG0004518 1.26 0.63 0.94
OG0004519 8.67 5.18 6.79
OG0004520 7.57 12.50 9.06
OG0004521 2.51 1.56 2.83
OG0004522 10.68 8.44 3.47
OG0004523 1.84 2.45 2.24
OG0004524 9.67 2.19 5.96
OG0004525 3.26 1.49 2.65
OG0004526 2.82 2.00 3.27
OG0004527 12.45 10.70 6.23
OG0004528 2.95 2.40 1.81
OG0004529 26.53 39.35 31.23
OG0004530 2.09 1.35 2.37
OG0004531 6.31 2.70 7.43
OG0004533 4.57 65.53 67.92
OG0004534 2.56 0.94 2.26
OG0004535 4.27 2.61 4.01
OG0004536 3.69 5.89 8.27
OG0004537 7.04 5.31 4.70
OG0004538 8.05 1.54 8.33
OG0004539 13.36 12.63 4.00
OG0004540 2.79 1.83 3.09
OG0004541 68.43 1.80 81.41
OG0004543 8.70 3.03 8.60
OG0004544 16.22 15.36 17.92
OG0004545 4.86 2.25 4.73
OG0004546 6.28 4.03 6.57
OG0004547 14.44 6.59 11.25
OG0004548 3.58 2.11 3.90
OG0004549 3.46 15.74 12.09
OG0004550 7.63 3.92 6.36
OG0004551 2.41 0.60 2.33
OG0004552 5.41 2.02 5.72
OG0004553 3.17 2.59 3.47
OG0004554 2.91 0.97 2.78
OG0004555 3.16 1.73 3.28
OG0004556 4.29 2.16 4.71
OG0004557 2.83 2.11 2.93
OG0004558 4.87 2.35 4.15
OG0004559 3.00 2.17 2.74
OG0004560 5.73 3.72 12.25
OG0004561 1.99 0.95 2.29
OG0004562 2.80 2.80 3.49
OG0004563 2.82 0.88 2.44
OG0004564 2.11 1.21 2.44
OG0004565 1.73 0.71 1.58
OG0004566 2.53 1.18 2.93
OG0004567 3.80 0.87 3.74
OG0004569 2.55 1.37 2.38
OG0004570 2.85 0.89 2.93
OG0004571 7.09 1.07 7.02
OG0004572 1.15 1.32 1.06
OG0004573 2.11 1.42 1.24
OG0004574 2.15 1.22 2.78
OG0004575 6.82 2.86 6.36
OG0004576 9.75 0.50 3.38
OG0004577 2.11 1.51 2.58
OG0004578 5.47 1.69 3.81
OG0004579 2.90 1.35 3.34
OG0004580 3.87 2.83 3.43
OG0004581 3.23 11.51 13.42
OG0004582 2.37 1.81 2.00
OG0004583 4.59 5.09 5.17
OG0004584 1.28 0.88 1.69
OG0004585 1.81 1.48 1.88
OG0004586 3.15 2.64 2.79
OG0004587 3.85 2.38 3.85
OG0004589 3.30 1.31 3.46
OG0004590 3.68 5.08 3.99
OG0004591 16.17 3.32 16.33
OG0004592 2.87 1.09 3.05
OG0004593 1.93 1.17 1.96
OG0004594 -0.00 -0.00 0.29
OG0004595 5.93 10.46 9.00
OG0004596 3.52 2.79 5.38
OG0004597 6.06 1.29 7.08
OG0004598 8.77 2.22 9.00
OG0004599 25.77 2.88 26.43
OG0004600 1.77 1.40 2.26
OG0004601 2.18 1.00 2.01
OG0004602 3.14 2.21 3.41
OG0004603 2.68 2.34 3.07
OG0004604 4.89 1.17 4.78
OG0004605 2.20 1.10 1.10
OG0004606 2.99 0.74 3.61
OG0004607 0.85 0.64 1.07
OG0004608 3.11 1.47 1.73
OG0004609 2.81 1.35 2.47
OG0004611 2.27 2.51 2.72
OG0004612 6.28 3.08 4.85
OG0004613 5.26 1.32 4.96
OG0004614 0.95 0.87 1.19
OG0004615 4.07 57.06 58.05
OG0004616 1.91 8.91 9.13
OG0004617 3.24 2.64 3.96
OG0004618 1.28 2.52 1.20
OG0004619 3.48 1.01 3.48
OG0004620 2.90 1.23 3.01
OG0004621 3.30 1.26 2.68
OG0004622 5.62 9.62 6.34
OG0004623 8.91 4.30 9.50
OG0004625 2.74 0.85 2.90
OG0004626 5.71 2.38 5.34
OG0004627 7.56 4.62 8.85
OG0004628 41.85 120.03 33.13
OG0004629 3.77 11.11 11.91
OG0004630 3.45 1.40 3.83
OG0004631 5.52 2.26 5.69
OG0004632 1.80 0.44 1.64
OG0004633 5.26 1.48 5.26
OG0004634 3.36 3.03 4.52
OG0004635 4.92 1.16 5.22
OG0004636 4.73 2.84 4.90
OG0004637 3.27 2.53 2.76
OG0004638 1.76 0.91 2.30
OG0004639 3.80 1.30 3.53
OG0004640 4.69 1.50 2.34
OG0004641 2.55 1.43 2.68
OG0004642 26.25 90.65 10.21
OG0004643 6.46 2.38 4.57
OG0004644 2.13 0.49 1.63
OG0004645 2.03 0.97 1.63
OG0004646 7.83 6.51 2.58
OG0004647 4.92 1.32 5.17
OG0004648 2.75 0.79 2.75
OG0004649 5.45 3.43 4.65
OG0004650 42.55 42.47 4.91
OG0004651 4.52 1.81 4.52
OG0004652 4.28 1.62 4.47
OG0004653 2.66 1.90 2.55
OG0004654 11.52 9.04 6.39
OG0004655 5.51 2.64 7.20
OG0004656 9.59 3.02 10.39
OG0004657 1.96 0.27 2.50
OG0004658 7.22 2.63 6.51
OG0004659 13.03 10.16 5.08
OG0004660 2.31 1.08 3.17
OG0004661 1.41 0.91 1.72
OG0004662 8.60 1.02 8.60
OG0004663 2.80 1.34 3.11
OG0004664 7.83 4.83 6.96
OG0004665 4.21 0.60 3.80
OG0004666 1.77 0.88 1.99
OG0004667 5.54 2.11 4.93
OG0004668 6.55 2.14 6.55
OG0004669 3.09 2.31 2.49
OG0004670 0.18 0.55 0.74
OG0004671 1.85 1.67 1.50
OG0004672 0.24 0.98 2.32
OG0004673 1.53 0.90 2.17
OG0004674 10.49 53.93 5.19
OG0004675 1.07 1.95 2.54
OG0004676 4.74 6.00 13.53
OG0004677 2.92 2.13 3.16
OG0004678 3.93 2.50 2.53
OG0004679 3.13 2.15 3.25
OG0004680 4.60 2.01 2.32
OG0004681 2.56 1.30 2.90
OG0004682 4.21 2.12 3.21
OG0004683 3.53 1.81 5.70
OG0004684 1.60 0.20 1.40
OG0004685 10.19 2.48 15.57
OG0004686 2.17 1.11 2.23
OG0004687 5.24 3.41 3.44
OG0004688 11.63 4.29 5.20
OG0004689 4.35 3.07 2.04
OG0004690 2.83 2.08 3.11
OG0004691 2.59 0.54 2.57
OG0004692 0.27 0.38 -0.00
OG0004693 4.77 2.09 7.11
OG0004694 3.41 2.36 2.22
OG0004695 4.13 1.84 4.80
OG0004696 5.01 2.44 5.38
OG0004697 1.43 1.11 1.51
OG0004698 4.22 2.49 13.76
OG0004699 38.35 6.02 11.52
OG0004700 6.05 3.37 5.27
OG0004701 9.06 1.85 6.74
OG0004702 4.58 2.00 4.09
OG0004703 3.01 2.16 3.45
OG0004704 2.64 1.44 2.80
OG0004705 4.99 6.06 7.85
OG0004706 4.72 1.74 5.20
OG0004707 2.68 1.93 2.80
OG0004708 7.66 4.78 4.02
OG0004709 3.12 -0.00 3.83
OG0004710 2.40 1.10 2.27
OG0004711 2.64 2.13 3.16
OG0004713 7.84 3.65 8.18
OG0004714 22.65 12.95 20.44
OG0004715 0.96 0.72 0.91
OG0004716 5.47 0.85 5.73
OG0004717 1.35 0.86 1.47
OG0004718 2.32 1.70 2.92
OG0004719 16.97 26.15 16.66
OG0004720 9.24 4.19 8.62
OG0004721 3.23 2.69 4.77
OG0004722 3.21 1.73 2.45
OG0004723 6.51 1.63 6.80
OG0004724 5.29 4.36 5.43
OG0004725 4.13 3.03 2.85
OG0004726 3.05 1.30 2.53
OG0004727 2.92 0.93 3.09
OG0004728 5.22 3.91 3.54
OG0004730 4.89 2.67 3.67
OG0004731 2.27 1.62 2.58
OG0004733 3.72 4.08 5.37
OG0004734 6.11 6.26 4.70
OG0004735 6.08 2.25 4.74
OG0004737 1.62 1.22 2.96
OG0004738 2.14 1.12 1.91
OG0004739 45.58 33.27 27.95
OG0004741 11.74 2.73 11.54
OG0004742 2.53 1.09 2.76
OG0004743 17.71 18.16 2.63
OG0004744 1.46 1.38 1.54
OG0004745 3.30 4.15 2.36
OG0004746 5.27 2.02 4.92
OG0004747 7.44 6.29 2.97
OG0004748 4.67 4.73 3.83
OG0004749 3.01 2.74 3.16
OG0004750 28.65 2.54 6.88
OG0004751 2.37 0.98 2.34
OG0004752 5.87 3.65 6.22
OG0004753 3.03 1.07 2.37
OG0004755 7.07 5.09 4.06
OG0004757 6.16 0.71 6.27
OG0004758 4.46 3.23 4.44
OG0004760 2.85 1.55 3.58
OG0004761 2.73 1.32 2.87
OG0004762 99.33 2.06 94.55
OG0004763 1.85 1.56 1.50
OG0004764 8.83 7.73 2.13
OG0004765 10.01 1.75 9.84
OG0004766 3.62 1.44 3.54
OG0004767 2.70 0.90 2.94
OG0004768 1.63 0.87 1.54
OG0004769 5.21 2.17 3.77
OG0004770 2.46 1.58 2.31
OG0004771 2.92 0.90 3.22
OG0004772 2.29 1.02 2.29
OG0004773 0.97 0.58 0.62
OG0004774 2.99 2.46 -0.00
OG0004775 1.59 0.61 1.86
OG0004776 2.56 1.80 2.72
OG0004777 4.37 1.72 4.09
OG0004778 6.57 2.75 6.50
OG0004779 5.66 0.97 3.69
OG0004780 2.78 1.38 2.65
OG0004781 8.02 2.81 8.99
OG0004782 7.43 4.50 7.23
OG0004783 61.02 56.04 1.49
OG0004784 4.61 1.31 4.94
OG0004785 1.83 1.21 2.24
OG0004786 9.09 9.34 2.53
OG0004787 3.91 1.16 4.58
OG0004788 5.67 3.69 5.75
OG0004790 1.55 0.44 1.55
OG0004791 4.24 0.89 4.24
OG0004792 1.34 1.09 1.56
OG0004795 4.64 2.31 4.62
OG0004796 4.94 1.99 5.64
OG0004797 4.54 2.08 5.64
OG0004798 2.34 0.73 2.08
OG0004799 4.41 16.24 23.79
OG0004800 3.24 1.72 2.63
OG0004801 4.26 1.88 7.00
OG0004802 0.88 0.94 1.11
OG0004803 2.24 0.73 2.04
OG0004804 5.52 2.40 5.58
OG0004805 0.60 0.95 0.63
OG0004806 9.23 3.89 6.39
OG0004807 2.05 2.43 2.26
OG0004808 1.18 0.79 1.31
OG0004809 3.37 2.61 4.03
OG0004810 4.11 2.72 3.42
OG0004811 3.21 2.13 2.34
OG0004813 1.91 1.15 2.00
OG0004815 8.80 5.06 5.21
