OG BGM_model BGM_dNdS BGM_t BGM_dN BGM_dS BAT_model BAT_dNdS BAT_t BAT_dN BAT_dS BRO_model BRO_dNdS BRO_t BRO_dN BRO_dS
OG0003744 general 0.1600 0.010 0.0014 0.0091 general 0.1600 0.005 0.0008 0.0048 general 0.1600 0.016 0.0024 0.0152
OG0003745 general 0.5386 0.018 0.0049 0.0091 general 0.5386 0.006 0.0016 0.0030 general 0.5386 0.028 0.0075 0.0139
OG0003747 general 0.0423 0.005 0.0002 0.0059 general 0.0423 0.002 0.0001 0.0028 general 0.0423 0.013 0.0007 0.0167
OG0003748 general 0.0599 0.010 0.0007 0.0118 general 0.0599 0.003 0.0002 0.0041 general 0.0599 0.020 0.0014 0.0235
OG0003749 alternative 0.2910 0.183 0.0365 0.1255 alternative 0.1465 0.015 0.0019 0.0127 alternative 0.0001 0.024 0.0000 0.0295
OG0003750 general 0.2024 0.006 0.0009 0.0044 general 0.2024 0.009 0.0015 0.0073 general 0.2024 0.057 0.0091 0.0449
OG0003751 general 0.0825 0.005 0.0005 0.0058 general 0.0825 0.005 0.0004 0.0054 general 0.0825 0.010 0.0009 0.0108
OG0003752 alternative 0.1152 0.026 0.0033 0.0289 alternative 0.1775 0.028 0.0047 0.0267 alternative 0.1366 0.024 0.0034 0.0248
OG0003753 alternative 0.2975 0.636 0.1492 0.5015 alternative 0.2499 0.003 0.0007 0.0027 alternative 0.1897 0.044 0.0083 0.0436
OG0003755 general 0.1174 0.011 0.0017 0.0147 general 0.1174 0.023 0.0035 0.0298 general 0.1174 0.011 0.0017 0.0142
OG0003756 general 0.0776 0.003 0.0002 0.0029 general 0.0776 0.000 0.0000 0.0000 general 0.0776 0.024 0.0019 0.0250
OG0003757 general 0.1416 0.016 0.0021 0.0147 general 0.1416 0.002 0.0003 0.0019 general 0.1416 0.015 0.0019 0.0137
OG0003758 general 0.1342 0.001 0.0002 0.0014 general 0.1342 0.011 0.0016 0.0116 general 0.1342 0.017 0.0023 0.0173
OG0003759 general 0.2733 0.003 0.0006 0.0023 general 0.2733 0.006 0.0013 0.0047 general 0.2733 0.012 0.0024 0.0088
OG0003761 general 0.4945 0.023 0.0064 0.0129 general 0.4945 1.468 0.4102 0.8297 general 0.4945 0.019 0.0052 0.0106
OG0003763 general 0.1436 0.016 0.0022 0.0156 general 0.1436 0.010 0.0015 0.0102 general 0.1436 0.013 0.0017 0.0122
OG0003765 general 0.0719 0.015 0.0012 0.0168 general 0.0719 0.009 0.0007 0.0100 general 0.0719 0.012 0.0010 0.0143
OG0003766 general 0.1696 0.014 0.0025 0.0147 general 0.1696 0.068 0.0117 0.0687 general 0.1696 0.023 0.0039 0.0231
OG0003768 general 0.0885 0.031 0.0031 0.0355 general 0.0885 0.005 0.0006 0.0062 general 0.0885 0.026 0.0027 0.0301
OG0003769 general 0.1082 0.012 0.0015 0.0138 general 0.1082 0.016 0.0019 0.0176 general 0.1082 0.030 0.0036 0.0336
OG0003770 general 0.2453 0.007 0.0013 0.0053 general 0.2453 0.018 0.0036 0.0145 general 0.2453 0.011 0.0021 0.0086
OG0003771 general 0.0050 0.003 0.0000 0.0073 general 0.0050 0.000 0.0000 0.0000 general 0.0050 0.000 0.0000 0.0000
OG0003774 alternative 0.2678 0.041 0.0092 0.0345 alternative 0.0001 0.005 0.0000 0.0106 alternative 0.0449 0.023 0.0016 0.0363
OG0003777 general 0.0236 0.030 0.0015 0.0630 general 0.0236 0.008 0.0004 0.0166 general 0.0236 0.034 0.0017 0.0722
OG0003778 general 0.0833 0.014 0.0016 0.0187 general 0.0833 0.021 0.0023 0.0273 general 0.0833 0.059 0.0065 0.0777
OG0003780 alternative 0.0916 0.014 0.0017 0.0187 alternative 999.0000 0.012 0.0047 0.0000 alternative 0.8236 0.028 0.0089 0.0108
OG0003781 alternative 0.4701 0.010 0.0026 0.0054 alternative 0.3831 0.011 0.0028 0.0072 alternative 0.4132 0.013 0.0033 0.0079
OG0003782 general 0.0687 0.092 0.0113 0.1645 general 0.0687 0.006 0.0007 0.0101 general 0.0687 0.074 0.0091 0.1322
OG0003783 general 0.1049 0.010 0.0011 0.0108 general 0.1049 0.016 0.0019 0.0184 general 0.1049 0.013 0.0015 0.0146
OG0003785 general 0.1116 0.004 0.0005 0.0042 general 0.1116 0.004 0.0004 0.0039 general 0.1116 0.006 0.0007 0.0066
OG0003786 alternative 0.0001 0.004 0.0000 0.0053 alternative 0.0001 0.008 0.0000 0.0108 alternative 0.1971 0.130 0.0214 0.1084
OG0003787 general 0.0550 0.006 0.0004 0.0064 general 0.0550 0.007 0.0005 0.0085 general 0.0550 0.002 0.0001 0.0023
OG0003788 general 0.0767 0.008 0.0007 0.0092 general 0.0767 0.014 0.0012 0.0156 general 0.0767 0.013 0.0011 0.0144
OG0003789 general 0.1401 0.000 0.0000 0.0000 general 0.1401 0.049 0.0060 0.0431 general 0.1401 0.032 0.0039 0.0281
OG0003790 general 0.1503 0.007 0.0010 0.0067 general 0.1503 0.011 0.0016 0.0103 general 0.1503 0.000 0.0000 0.0000
OG0003792 general 0.0870 0.003 0.0004 0.0048 general 0.0870 0.007 0.0010 0.0117 general 0.0870 0.000 0.0000 0.0000
OG0003794 alternative 0.4037 0.020 0.0047 0.0117 alternative 0.1118 0.009 0.0010 0.0085 alternative 2.1250 0.000 0.0000 0.0000
OG0003795 general 0.0508 0.010 0.0005 0.0107 general 0.0508 0.014 0.0008 0.0151 general 0.0508 0.023 0.0013 0.0249
OG0003796 general 0.2626 0.011 0.0025 0.0096 general 0.2626 0.033 0.0074 0.0282 general 0.2626 0.012 0.0027 0.0102
OG0003797 general 0.1316 0.051 0.0073 0.0552 general 0.1316 0.014 0.0020 0.0150 general 0.1316 0.041 0.0058 0.0442
OG0003798 general 0.1044 0.009 0.0010 0.0094 general 0.1044 0.005 0.0005 0.0050 general 0.1044 0.014 0.0015 0.0140
OG0003800 general 0.1130 0.005 0.0005 0.0045 general 0.1130 0.008 0.0008 0.0074 general 0.1130 0.000 0.0000 0.0000
OG0003801 general 0.1287 0.088 0.0103 0.0802 general 0.1287 0.017 0.0020 0.0152 general 0.1287 0.018 0.0021 0.0161
OG0003802 alternative 0.2706 0.018 0.0043 0.0158 alternative 0.0961 0.030 0.0041 0.0429 alternative 0.1021 0.059 0.0084 0.0826
OG0003803 general 0.0930 0.011 0.0010 0.0111 general 0.0930 0.002 0.0002 0.0018 general 0.0930 0.028 0.0026 0.0283
OG0003804 general 0.0690 0.078 0.0093 0.1355 general 0.0690 0.009 0.0011 0.0154 general 0.0690 0.045 0.0053 0.0770
OG0003805 alternative 0.0001 0.003 0.0000 0.0047 alternative 0.0001 0.006 0.0000 0.0091 alternative 0.3363 0.110 0.0255 0.0757
OG0003806 general 0.4601 0.015 0.0037 0.0081 general 0.4601 0.021 0.0053 0.0116 general 0.4601 0.033 0.0084 0.0182
OG0003807 general 0.0519 0.003 0.0003 0.0063 general 0.0519 0.016 0.0017 0.0327 general 0.0519 0.032 0.0034 0.0655
OG0003808 general 0.0361 0.007 0.0003 0.0084 general 0.0361 0.009 0.0004 0.0106 general 0.0361 0.012 0.0005 0.0137
OG0003809 alternative 0.3647 0.151 0.0365 0.1002 alternative 0.0001 0.001 0.0000 0.0016 alternative 0.0001 0.027 0.0000 0.0415
OG0003811 alternative 0.0975 0.015 0.0019 0.0192 alternative 0.0194 0.007 0.0002 0.0115 alternative 0.2003 0.194 0.0368 0.1838
OG0003813 general 0.1407 0.009 0.0014 0.0100 general 0.1407 0.008 0.0012 0.0084 general 0.1407 0.021 0.0033 0.0236
OG0003815 general 0.0746 0.004 0.0003 0.0047 general 0.0746 0.008 0.0007 0.0095 general 0.0746 0.017 0.0016 0.0209
OG0003816 general 0.0526 0.006 0.0004 0.0074 general 0.0526 0.005 0.0003 0.0058 general 0.0526 0.013 0.0008 0.0155
OG0003817 general 0.1117 0.010 0.0011 0.0102 general 0.1117 0.009 0.0010 0.0087 general 0.1117 0.020 0.0022 0.0197
OG0003819 general 0.0524 0.005 0.0003 0.0057 general 0.0524 0.001 0.0001 0.0015 general 0.0524 0.005 0.0003 0.0062
OG0003820 general 0.0858 0.012 0.0011 0.0131 general 0.0858 0.013 0.0012 0.0139 general 0.0858 0.011 0.0011 0.0124
OG0003821 general 0.3921 0.010 0.0024 0.0061 general 0.3921 0.008 0.0018 0.0046 general 0.3921 0.037 0.0086 0.0220
OG0003822 general 0.1057 0.018 0.0024 0.0224 general 0.1057 0.018 0.0023 0.0214 general 0.1057 0.079 0.0101 0.0957
OG0003823 general 0.1017 0.009 0.0011 0.0106 general 0.1017 0.003 0.0003 0.0033 general 0.1017 0.020 0.0025 0.0243
OG0003824 general 0.0451 0.011 0.0006 0.0137 general 0.0451 0.008 0.0005 0.0102 general 0.0451 0.023 0.0013 0.0281
OG0003825 alternative 0.2721 0.010 0.0019 0.0072 alternative 0.0001 0.004 0.0000 0.0053 alternative 2.4304 0.004 0.0017 0.0007
OG0003828 general 0.0218 0.006 0.0002 0.0098 general 0.0218 0.012 0.0004 0.0199 general 0.0218 0.012 0.0004 0.0195
OG0003829 alternative 0.3115 0.234 0.0534 0.1714 alternative 0.0743 0.014 0.0013 0.0178 alternative 0.0526 0.023 0.0016 0.0300
OG0003830 general 0.2334 0.022 0.0040 0.0173 general 0.2334 0.023 0.0043 0.0185 general 0.2334 0.039 0.0072 0.0310
OG0003831 general 0.2427 0.006 0.0011 0.0045 general 0.2427 0.004 0.0007 0.0030 general 0.2427 0.030 0.0059 0.0245
OG0003832 general 0.0568 0.013 0.0016 0.0277 general 0.0568 0.013 0.0016 0.0278 general 0.0568 0.027 0.0032 0.0557
OG0003833 general 0.1024 0.008 0.0011 0.0110 general 0.1024 0.018 0.0026 0.0259 general 0.1024 0.022 0.0032 0.0310
OG0003834 general 0.1354 0.012 0.0019 0.0141 general 0.1354 0.013 0.0020 0.0145 general 0.1354 0.063 0.0097 0.0714
OG0003835 general 0.2121 0.005 0.0009 0.0044 general 0.2121 0.003 0.0005 0.0021 general 0.2121 0.019 0.0033 0.0155
OG0003836 general 0.1067 0.005 0.0006 0.0060 general 0.1067 0.022 0.0027 0.0249 general 0.1067 0.114 0.0136 0.1276
OG0003837 general 0.0757 0.009 0.0009 0.0120 general 0.0757 0.022 0.0022 0.0289 general 0.0757 0.052 0.0052 0.0684
OG0003840 alternative 0.0785 1.084 0.1249 1.5921 alternative 0.2826 0.787 0.1861 0.6584 alternative 0.0939 0.181 0.0236 0.2516
OG0003841 general 0.3533 0.013 0.0032 0.0091 general 0.3533 0.012 0.0031 0.0087 general 0.3533 0.000 0.0000 0.0000
OG0003842 general 0.0650 0.011 0.0013 0.0193 general 0.0650 0.023 0.0025 0.0391 general 0.0650 0.036 0.0041 0.0624
OG0003843 general 0.1433 0.021 0.0037 0.0256 general 0.1433 0.011 0.0019 0.0133 general 0.1433 0.000 0.0000 0.0000
OG0003844 general 0.0386 0.025 0.0015 0.0400 general 0.0386 0.007 0.0004 0.0114 general 0.0386 0.028 0.0018 0.0458
OG0003846 general 0.0789 0.007 0.0006 0.0078 general 0.0789 0.000 0.0000 0.0000 general 0.0789 0.013 0.0012 0.0147
OG0003847 general 0.0472 0.008 0.0004 0.0095 general 0.0472 0.008 0.0004 0.0095 general 0.0472 0.008 0.0005 0.0100
OG0003848 general 0.1126 0.021 0.0033 0.0297 general 0.1126 0.015 0.0023 0.0205 general 0.1126 0.014 0.0022 0.0192
OG0003850 general 0.1950 0.011 0.0022 0.0115 general 0.1950 0.011 0.0021 0.0108 general 0.1950 0.021 0.0042 0.0215
OG0003851 general 0.1025 0.064 0.0075 0.0729 general 0.1025 0.010 0.0012 0.0120 general 0.1025 0.007 0.0008 0.0081
OG0003852 general 0.1090 0.004 0.0004 0.0037 general 0.1090 0.005 0.0005 0.0050 general 0.1090 0.009 0.0010 0.0087
OG0003857 general 0.2451 0.009 0.0018 0.0074 general 0.2451 0.026 0.0050 0.0203 general 0.2451 0.110 0.0213 0.0868
OG0003858 general 0.0431 0.011 0.0006 0.0150 general 0.0431 0.007 0.0004 0.0092 general 0.0431 0.014 0.0008 0.0187
OG0003859 alternative 0.0001 0.006 0.0000 0.0083 alternative 0.0276 0.013 0.0005 0.0164 alternative 0.8699 0.032 0.0104 0.0120
OG0003860 alternative 1.4349 0.006 0.0024 0.0016 alternative 0.2402 0.011 0.0018 0.0076 alternative 0.6237 0.021 0.0059 0.0094
OG0003861 general 0.2901 0.004 0.0009 0.0030 general 0.2901 0.041 0.0084 0.0289 general 0.2901 0.017 0.0035 0.0121
OG0003864 alternative 0.5820 0.479 0.1365 0.2346 alternative 1.7316 0.000 0.0000 0.0000 alternative 0.1884 0.011 0.0018 0.0097
OG0003865 general 0.1296 0.004 0.0005 0.0039 general 0.1296 0.005 0.0006 0.0048 general 0.1296 0.088 0.0109 0.0839
OG0003868 general 0.0971 0.028 0.0031 0.0323 general 0.0971 0.013 0.0015 0.0155 general 0.0971 0.039 0.0044 0.0453
OG0003869 general 0.1303 0.007 0.0010 0.0075 general 0.1303 0.000 0.0000 0.0000 general 0.1303 0.015 0.0020 0.0153
OG0003872 general 0.1411 0.004 0.0006 0.0043 general 0.1411 0.009 0.0012 0.0084 general 0.1411 0.044 0.0061 0.0430
OG0003873 alternative 0.4158 0.351 0.0932 0.2241 alternative 1.5915 0.000 0.0000 0.0000 alternative 0.0001 0.010 0.0000 0.0178
OG0003874 alternative 0.0746 0.016 0.0015 0.0201 alternative 0.1829 0.022 0.0039 0.0213 alternative 0.0127 0.021 0.0004 0.0326
OG0003876 general 0.0338 0.005 0.0002 0.0069 general 0.0338 0.007 0.0003 0.0091 general 0.0338 0.026 0.0012 0.0350
OG0003879 general 0.1005 0.020 0.0027 0.0266 general 0.1005 0.009 0.0011 0.0111 general 0.1005 0.024 0.0031 0.0312
OG0003880 general 0.0185 0.006 0.0002 0.0131 general 0.0185 0.004 0.0002 0.0102 general 0.0185 0.028 0.0012 0.0640
OG0003881 general 0.2142 0.014 0.0028 0.0129 general 0.2142 0.022 0.0043 0.0201 general 0.2142 0.043 0.0086 0.0400
OG0003882 alternative 0.0001 0.002 0.0000 0.0034 alternative 0.2657 0.014 0.0028 0.0107 alternative 0.4508 0.006 0.0015 0.0034
OG0003883 general 0.1488 0.139 0.0198 0.1329 general 0.1488 0.003 0.0004 0.0026 general 0.1488 0.016 0.0023 0.0156
OG0003884 general 0.1881 0.009 0.0018 0.0096 general 0.1881 0.017 0.0034 0.0181 general 0.1881 0.021 0.0042 0.0221
OG0003885 alternative 0.3167 0.575 0.1374 0.4339 alternative 0.1635 0.025 0.0043 0.0261 alternative 0.0680 0.021 0.0020 0.0292
OG0003886 general 0.2297 0.039 0.0082 0.0357 general 0.2297 0.041 0.0088 0.0384 general 0.2297 0.076 0.0162 0.0705
OG0003887 general 0.0641 0.014 0.0010 0.0159 general 0.0641 0.004 0.0003 0.0044 general 0.0641 0.007 0.0005 0.0082
OG0003888 general 0.0097 0.006 0.0001 0.0115 general 0.0097 0.003 0.0001 0.0064 general 0.0097 0.000 0.0000 0.0000
OG0003890 general 0.3663 0.011 0.0024 0.0066 general 0.3663 0.013 0.0029 0.0079 general 0.3663 0.005 0.0010 0.0027
OG0003891 general 0.0843 0.005 0.0004 0.0049 general 0.0843 0.005 0.0005 0.0054 general 0.0843 0.013 0.0011 0.0125
OG0003893 general 0.0440 0.000 0.0000 0.0000 general 0.0440 0.006 0.0005 0.0113 general 0.0440 0.020 0.0018 0.0402
OG0003894 general 0.2715 0.033 0.0073 0.0270 general 0.2715 0.010 0.0022 0.0080 general 0.2715 0.138 0.0309 0.1139
OG0003895 general 0.0394 0.010 0.0008 0.0214 general 0.0394 0.016 0.0013 0.0332 general 0.0394 0.025 0.0020 0.0518
OG0003896 alternative 0.1925 0.009 0.0016 0.0081 alternative 0.5496 0.202 0.0564 0.1026 alternative 0.3559 0.063 0.0148 0.0415
OG0003897 general 0.2091 0.011 0.0023 0.0111 general 0.2091 0.015 0.0031 0.0148 general 0.2091 0.035 0.0070 0.0335
OG0003898 general 0.0976 0.000 0.0000 0.0000 general 0.0976 0.008 0.0008 0.0085 general 0.0976 0.051 0.0050 0.0513
OG0003899 general 0.1244 0.004 0.0004 0.0036 general 0.1244 0.025 0.0030 0.0239 general 0.1244 0.014 0.0017 0.0139
OG0003900 general 0.0827 0.002 0.0002 0.0029 general 0.0827 0.009 0.0013 0.0155 general 0.0827 0.019 0.0026 0.0317
OG0003903 alternative 0.0489 0.024 0.0015 0.0305 alternative 0.2105 0.023 0.0042 0.0199 alternative 0.3524 0.396 0.0935 0.2653
OG0003904 general 0.0781 0.010 0.0012 0.0154 general 0.0781 0.006 0.0007 0.0094 general 0.0781 0.020 0.0025 0.0317
OG0003905 general 0.0442 0.002 0.0001 0.0020 general 0.0442 0.005 0.0002 0.0052 general 0.0442 0.005 0.0002 0.0056
OG0003906 general 0.0642 0.007 0.0010 0.0154 general 0.0642 0.010 0.0014 0.0213 general 0.0642 0.056 0.0079 0.1233
OG0003907 general 0.1243 0.116 0.0148 0.1187 general 0.1243 0.000 0.0000 0.0000 general 0.1243 0.002 0.0003 0.0022
OG0003908 general 0.1154 0.026 0.0037 0.0320 general 0.1154 0.073 0.0105 0.0906 general 0.1154 0.085 0.0122 0.1058
OG0003909 general 0.2177 0.007 0.0013 0.0061 general 0.2177 0.037 0.0073 0.0337 general 0.2177 0.015 0.0030 0.0140
OG0003910 general 0.1026 0.012 0.0016 0.0155 general 0.1026 0.003 0.0004 0.0039 general 0.1026 0.109 0.0147 0.1433
OG0003911 alternative 0.0001 0.005 0.0000 0.0071 alternative 0.5970 0.006 0.0016 0.0027 alternative 1.2272 0.030 0.0103 0.0084
OG0003912 general 0.0611 0.020 0.0016 0.0255 general 0.0611 0.005 0.0004 0.0059 general 0.0611 0.057 0.0044 0.0717
OG0003913 general 0.2925 0.002 0.0005 0.0018 general 0.2925 0.004 0.0009 0.0030 general 0.2925 0.006 0.0014 0.0049
OG0003914 general 0.0296 0.006 0.0003 0.0099 general 0.0296 0.014 0.0007 0.0231 general 0.0296 0.020 0.0010 0.0340
OG0003915 alternative 0.3165 0.013 0.0029 0.0090 alternative 0.1549 0.008 0.0011 0.0071 alternative 0.0706 0.017 0.0013 0.0184
OG0003916 alternative 0.1208 0.004 0.0005 0.0042 alternative 0.4829 0.008 0.0022 0.0046 alternative 0.1004 0.049 0.0059 0.0585
OG0003917 general 0.1759 0.011 0.0018 0.0100 general 0.1759 0.040 0.0065 0.0370 general 0.1759 0.037 0.0060 0.0342
OG0003918 general 0.4782 0.006 0.0015 0.0032 general 0.4782 0.006 0.0015 0.0031 general 0.4782 0.003 0.0007 0.0015
OG0003921 general 0.3954 0.022 0.0051 0.0130 general 0.3954 0.019 0.0043 0.0109 general 0.3954 0.036 0.0084 0.0212
OG0003922 general 0.1036 0.003 0.0003 0.0033 general 0.1036 0.008 0.0010 0.0098 general 0.1036 0.032 0.0041 0.0395
OG0003923 general 0.0487 0.012 0.0007 0.0153 general 0.0487 0.006 0.0004 0.0073 general 0.0487 0.042 0.0026 0.0544
OG0003924 general 0.1247 0.004 0.0005 0.0042 general 0.1247 0.013 0.0018 0.0146 general 0.1247 0.016 0.0024 0.0189
OG0003925 general 0.4050 0.006 0.0014 0.0034 general 0.4050 0.029 0.0071 0.0174 general 0.4050 0.108 0.0257 0.0635
OG0003928 general 0.0887 0.018 0.0014 0.0163 general 0.0887 0.017 0.0014 0.0160 general 0.0887 0.029 0.0024 0.0268
OG0003932 general 0.0667 0.008 0.0005 0.0082 general 0.0667 0.013 0.0009 0.0136 general 0.0667 0.008 0.0006 0.0085
OG0003933 general 0.1054 0.005 0.0006 0.0058 general 0.1054 0.016 0.0021 0.0198 general 0.1054 0.121 0.0154 0.1462
OG0003934 general 0.0076 0.006 0.0001 0.0089 general 0.0076 0.014 0.0002 0.0207 general 0.0076 0.019 0.0002 0.0265
OG0003935 general 0.1186 0.009 0.0011 0.0092 general 0.1186 0.017 0.0019 0.0162 general 0.1186 0.018 0.0021 0.0175
OG0003936 general 0.1470 0.003 0.0004 0.0028 general 0.1470 0.002 0.0003 0.0018 general 0.1470 0.000 0.0000 0.0000
OG0003938 general 0.2391 0.017 0.0033 0.0137 general 0.2391 0.022 0.0041 0.0172 general 0.2391 0.027 0.0051 0.0214
OG0003940 general 0.1102 0.007 0.0009 0.0078 general 0.1102 0.007 0.0009 0.0080 general 0.1102 0.011 0.0014 0.0127
OG0003942 alternative 0.2964 0.167 0.0390 0.1315 alternative 0.0341 0.017 0.0009 0.0264 alternative 0.1451 0.017 0.0027 0.0184
OG0003943 general 0.1389 0.008 0.0010 0.0076 general 0.1389 0.006 0.0007 0.0053 general 0.1389 0.005 0.0007 0.0048
OG0003944 general 0.4660 0.000 0.0000 0.0000 general 0.4660 0.017 0.0043 0.0092 general 0.4660 0.511 0.1273 0.2732
OG0003946 general 0.3528 0.000 0.0000 0.0000 general 0.3528 0.370 0.0872 0.2473 general 0.3528 0.033 0.0077 0.0219
OG0003947 alternative 0.0299 0.011 0.0008 0.0269 alternative 0.0001 0.004 0.0000 0.0125 alternative 2.4066 0.000 0.0000 0.0000
OG0003948 general 0.1167 0.037 0.0056 0.0484 general 0.1167 0.013 0.0020 0.0168 general 0.1167 0.007 0.0011 0.0097
OG0003949 general 0.1613 0.000 0.0000 0.0000 general 0.1613 0.009 0.0014 0.0085 general 0.1613 0.002 0.0002 0.0015
OG0003950 alternative 0.0001 0.008 0.0000 0.0166 alternative 0.2609 0.357 0.0807 0.3092 alternative 0.0458 0.030 0.0022 0.0486
OG0003951 general 0.0760 0.001 0.0001 0.0012 general 0.0760 0.004 0.0004 0.0048 general 0.0760 0.006 0.0005 0.0068
OG0003952 general 0.4429 0.080 0.0205 0.0462 general 0.4429 0.007 0.0018 0.0040 general 0.4429 0.015 0.0038 0.0085
OG0003953 alternative 0.1715 0.005 0.0006 0.0038 alternative 0.1898 0.005 0.0007 0.0037 alternative 0.5712 0.015 0.0042 0.0074
OG0003954 general 0.1412 0.044 0.0080 0.0567 general 0.1412 0.067 0.0123 0.0871 general 0.1412 0.046 0.0084 0.0598
OG0003955 general 0.2057 0.014 0.0024 0.0116 general 0.2057 0.015 0.0024 0.0119 general 0.2057 0.029 0.0049 0.0238
OG0003956 general 0.3543 0.005 0.0012 0.0033 general 0.3543 0.006 0.0013 0.0036 general 0.3543 0.006 0.0013 0.0038
OG0003957 general 0.0602 0.004 0.0003 0.0055 general 0.0602 0.012 0.0010 0.0165 general 0.0602 0.012 0.0010 0.0162
OG0003960 general 0.5199 0.007 0.0019 0.0037 general 0.5199 0.013 0.0034 0.0066 general 0.5199 0.033 0.0086 0.0166
OG0003961 alternative 1.0329 0.018 0.0062 0.0060 alternative 0.7471 0.014 0.0042 0.0056 alternative 0.7904 0.018 0.0057 0.0072
OG0003964 general 0.1482 0.004 0.0004 0.0029 general 0.1482 0.007 0.0008 0.0055 general 0.1482 0.004 0.0004 0.0029
OG0003965 general 0.1144 0.022 0.0028 0.0241 general 0.1144 0.020 0.0025 0.0216 general 0.1144 0.046 0.0058 0.0507
OG0003966 general 0.0981 0.020 0.0025 0.0259 general 0.0981 0.011 0.0013 0.0137 general 0.0981 0.061 0.0077 0.0782
OG0003967 general 0.0927 0.002 0.0002 0.0019 general 0.0927 0.007 0.0007 0.0078 general 0.0927 0.019 0.0019 0.0205
OG0003968 general 0.3131 0.020 0.0048 0.0152 general 0.3131 0.021 0.0050 0.0161 general 0.3131 0.040 0.0098 0.0312
OG0003970 general 0.1757 0.007 0.0011 0.0062 general 0.1757 0.014 0.0022 0.0125 general 0.1757 0.041 0.0064 0.0363
OG0003973 alternative 0.3529 0.022 0.0053 0.0152 alternative 0.1084 0.007 0.0009 0.0082 alternative 0.0663 0.014 0.0012 0.0181
OG0003975 general 0.0410 0.005 0.0002 0.0048 general 0.0410 0.002 0.0001 0.0023 general 0.0410 0.011 0.0005 0.0112
OG0003976 general 0.2895 0.005 0.0010 0.0035 general 0.2895 0.014 0.0029 0.0100 general 0.2895 0.019 0.0039 0.0135
OG0003978 general 0.2893 0.007 0.0016 0.0056 general 0.2893 0.009 0.0021 0.0073 general 0.2893 0.012 0.0026 0.0090
OG0003979 general 0.3427 0.004 0.0010 0.0030 general 0.3427 0.003 0.0007 0.0020 general 0.3427 0.013 0.0030 0.0087
OG0003980 general 0.1458 0.004 0.0005 0.0037 general 0.1458 0.003 0.0004 0.0027 general 0.1458 0.003 0.0004 0.0024
OG0003983 general 0.0470 0.004 0.0002 0.0047 general 0.0470 0.009 0.0006 0.0124 general 0.0470 0.007 0.0005 0.0099
OG0003984 alternative 0.0005 0.004 0.0000 0.0064 alternative 0.0703 0.004 0.0004 0.0057 alternative 0.3916 0.073 0.0185 0.0472
OG0003985 general 0.3788 0.005 0.0012 0.0032 general 0.3788 0.006 0.0015 0.0040 general 0.3788 0.013 0.0032 0.0083
OG0003986 general 0.0897 0.004 0.0006 0.0065 general 0.0897 0.005 0.0007 0.0075 general 0.0897 0.005 0.0007 0.0078
OG0003987 alternative 0.0001 0.001 0.0000 0.0014 alternative 0.0266 0.005 0.0002 0.0057 alternative 0.0765 0.009 0.0008 0.0101
OG0003988 general 0.0145 0.030 0.0008 0.0547 general 0.0145 0.031 0.0008 0.0564 general 0.0145 0.017 0.0004 0.0308
OG0003990 general 0.1169 0.006 0.0010 0.0083 general 0.1169 0.004 0.0007 0.0060 general 0.1169 0.005 0.0008 0.0066
OG0003991 general 0.0798 0.011 0.0010 0.0121 general 0.0798 0.010 0.0009 0.0107 general 0.0798 0.110 0.0094 0.1180
OG0003992 alternative 0.0001 0.004 0.0000 0.0056 alternative 0.0001 0.007 0.0000 0.0088 alternative 0.2283 0.100 0.0176 0.0770
OG0003993 general 0.1999 0.019 0.0036 0.0180 general 0.1999 0.010 0.0019 0.0096 general 0.1999 0.053 0.0099 0.0496
OG0003994 alternative 0.8259 0.058 0.0184 0.0222 alternative 0.2269 0.003 0.0004 0.0019 alternative 0.1323 0.016 0.0020 0.0148
OG0003995 general 0.2644 0.015 0.0030 0.0114 general 0.2644 0.016 0.0033 0.0124 general 0.2644 0.000 0.0000 0.0000
OG0003996 alternative 0.0001 0.004 0.0000 0.0054 alternative 0.1797 0.019 0.0030 0.0166 alternative 0.3000 0.036 0.0076 0.0253
OG0003997 general 0.2652 0.117 0.0254 0.0958 general 0.2652 0.042 0.0091 0.0342 general 0.2652 0.005 0.0012 0.0044
OG0003998 general 0.2953 0.100 0.0216 0.0731 general 0.2953 0.002 0.0003 0.0012 general 0.2953 0.000 0.0000 0.0000
OG0003999 general 0.1752 0.005 0.0008 0.0043 general 0.1752 0.008 0.0013 0.0071 general 0.1752 0.009 0.0014 0.0082
OG0004000 general 0.1035 0.005 0.0008 0.0076 general 0.1035 0.010 0.0015 0.0144 general 0.1035 0.022 0.0033 0.0320
OG0004001 general 0.0183 0.015 0.0004 0.0223 general 0.0183 0.014 0.0004 0.0207 general 0.0183 0.055 0.0015 0.0830
OG0004002 alternative 0.0147 0.008 0.0002 0.0105 alternative 0.5613 0.333 0.0927 0.1651 alternative 0.2496 0.010 0.0019 0.0075
OG0004004 alternative 0.1317 0.006 0.0007 0.0056 alternative 0.1545 0.004 0.0006 0.0039 alternative 0.0465 0.022 0.0013 0.0273
OG0004005 general 0.0387 0.000 0.0000 0.0000 general 0.0387 0.004 0.0002 0.0064 general 0.0387 0.000 0.0000 0.0000
OG0004006 general 0.2024 0.007 0.0010 0.0050 general 0.2024 0.011 0.0017 0.0083 general 0.2024 0.007 0.0011 0.0055
OG0004007 general 0.0502 0.015 0.0009 0.0180 general 0.0502 0.012 0.0007 0.0138 general 0.0502 0.021 0.0012 0.0246
