OG BRO-BGM BAT-BGM BAT-BRO PHY-BAT PHY-BRO PHY-BGM
OG0003442 4.44 2.86 4.91 22.23 22.90 26.96
OG0003443 1.29 0.55 1.10 14.37 15.31 14.37
OG0003444 1.99 1.22 1.99 25.82 26.05 25.59
OG0003445 0.30 -0.00 0.30 13.04 12.96 13.04
OG0003446 1.30 0.71 1.30 17.98 17.41 18.27
OG0003447 2.61 2.13 2.37 31.77 32.08 32.47
OG0003449 4.44 0.28 3.83 34.05 29.64 31.54
OG0003450 1.71 1.48 1.48 21.10 16.69 16.78
OG0003451 1.59 1.05 1.84 19.85 20.03 17.62
OG0003453 6.91 3.30 7.76 31.86 32.67 32.57
OG0003454 7.67 2.47 6.13 26.21 26.80 inf
OG0003458 5.54 2.07 6.06 23.11 25.58 22.74
OG0003459 2.38 1.61 3.32 29.78 29.38 29.28
OG0003460 3.99 2.62 3.57 27.08 27.15 27.80
OG0003461 2.58 1.22 2.72 21.89 22.84 21.59
OG0003462 3.53 1.72 3.39 18.52 18.25 18.52
OG0003466 3.15 2.24 2.73 12.99 12.80 13.08
OG0003467 7.43 2.42 4.12 21.90 24.53 22.63
OG0003468 5.67 3.83 2.59 28.94 29.24 25.01
OG0003469 2.49 6.57 5.52 17.39 17.75 18.58
OG0003470 5.35 3.36 4.85 22.11 21.48 20.98
OG0003471 6.72 4.94 2.83 17.73 17.73 22.06
OG0003472 3.37 1.98 3.79 23.46 23.46 23.00
OG0003473 5.72 3.09 7.15 24.93 20.73 23.83
OG0003474 4.90 2.07 6.14 22.99 22.99 22.54
OG0003475 4.40 1.34 4.75 22.28 24.58 22.04
OG0003476 2.44 1.37 2.77 17.36 17.98 17.98
OG0003478 4.35 1.59 4.69 34.25 39.01 34.49
OG0003479 17.48 3.75 17.29 30.92 40.07 33.09
OG0003480 14.39 0.80 5.39 17.98 17.99 16.70
OG0003481 4.44 3.48 4.36 33.26 32.67 32.75
OG0003482 6.98 0.94 5.99 26.80 28.84 26.30
OG0003483 3.77 1.20 3.77 32.18 32.18 32.18
OG0003484 1.37 4.73 3.85 29.01 25.97 25.85
OG0003485 1.34 0.62 1.64 18.77 16.06 18.37
OG0003486 3.88 2.59 4.05 18.75 20.19 20.70
OG0003487 4.71 1.13 4.85 17.86 57.92 18.08
OG0003488 0.17 0.17 0.33 65.12 64.71 64.71
OG0003489 2.95 1.92 3.58 43.26 44.50 42.04
OG0003492 1.69 0.75 2.08 15.91 15.00 15.45
OG0003493 3.26 1.28 3.66 98.61 98.24 97.33
OG0003495 3.86 1.74 4.20 20.53 20.95 20.10
OG0003496 4.66 1.49 4.58 25.57 27.47 25.10
OG0003499 7.11 4.40 8.11 45.50 43.44 43.05
OG0003500 4.60 1.63 4.13 22.41 23.90 22.71
OG0003501 3.51 1.12 3.24 30.74 30.08 30.48
OG0003502 5.27 4.01 1.98 22.97 23.56 23.26
OG0003503 2.70 1.79 2.71 23.17 22.91 24.52
OG0003505 2.17 1.28 1.99 19.94 21.28 20.63
OG0003506 9.41 5.53 10.00 19.19 16.54 18.85
OG0003507 1.69 0.34 2.04 29.10 28.61 29.10
OG0003508 1.93 1.03 1.86 10.55 10.71 11.10
OG0003510 4.79 1.21 4.97 28.75 30.28 28.50
OG0003511 3.45 0.89 3.45 35.64 36.79 35.93
OG0003514 2.21 1.28 2.07 20.99 20.75 20.75
OG0003516 1.44 1.24 1.79 39.61 38.97 39.61
OG0003517 2.38 1.78 2.50 35.35 36.67 35.91
OG0003518 2.09 1.22 2.18 30.18 31.39 30.86
OG0003519 6.61 14.58 21.43 43.74 23.82 24.78
OG0003520 3.49 21.60 18.45 36.88 19.98 19.24
OG0003521 6.37 6.47 5.98 18.35 12.17 17.28
OG0003524 3.09 2.82 2.54 30.58 29.71 28.71
OG0003525 6.43 4.78 5.11 26.23 27.06 26.58
OG0003526 1.29 0.77 1.32 17.47 17.26 18.74
OG0003527 4.87 1.49 3.90 33.15 31.86 31.44
OG0003528 3.08 1.30 3.14 22.40 21.41 21.65
OG0003529 1.50 1.10 2.04 16.15 15.58 16.15
OG0003530 1.92 0.74 1.82 23.90 24.16 23.46
OG0003531 22.54 3.77 12.98 16.80 29.78 19.51
OG0003532 0.68 0.68 1.02 23.77 22.39 23.31
OG0003534 2.04 0.94 2.17 11.87 11.76 12.69
OG0003535 5.71 2.56 5.99 61.18 61.96 59.76
OG0003536 4.58 4.69 1.53 28.35 24.96 33.97
OG0003538 6.78 4.19 2.24 23.40 24.83 27.80
OG0003539 2.99 0.98 2.98 19.10 20.61 19.20
OG0003540 8.02 3.87 4.51 43.51 44.08 44.66
OG0003541 1.32 0.90 1.44 37.40 36.87 37.40
OG0003542 2.52 1.15 2.62 32.12 32.19 31.96
OG0003544 6.40 4.43 2.13 13.31 13.17 15.48
OG0003545 2.87 2.19 2.77 107.63 113.14 101.24
OG0003547 2.39 1.70 2.63 24.50 25.72 24.77
OG0003548 15.54 4.24 3.52 33.32 36.81 47.68
OG0003550 3.63 3.03 3.25 28.20 27.58 34.80
OG0003551 2.21 1.30 2.11 109.60 111.01 109.60
OG0003552 6.75 2.90 7.91 35.80 37.10 34.79
OG0003553 4.40 1.95 3.88 28.15 28.39 28.39
OG0003554 2.79 1.63 2.63 27.87 27.81 28.56
OG0003555 0.73 0.68 0.56 11.92 11.72 11.92
OG0003557 5.16 5.39 10.01 43.32 41.73 40.10
OG0003558 3.36 2.10 3.36 12.98 13.18 12.57
OG0003559 2.62 1.59 2.62 20.95 20.95 20.75
OG0003560 6.22 3.85 5.55 40.16 37.16 34.97
OG0003561 2.72 1.86 2.62 32.19 33.34 32.76
OG0003562 4.10 1.96 4.27 27.61 26.77 25.53
OG0003563 4.13 1.56 4.73 62.40 85.28 61.61
OG0003564 6.74 10.05 14.27 58.25 60.59 58.47
OG0003565 11.48 4.78 6.35 31.38 37.23 31.81
OG0003567 2.44 2.15 3.52 82.40 73.01 71.21
OG0003571 4.75 4.99 8.16 24.87 24.29 24.91
OG0003572 13.86 13.42 16.12 16.48 26.35 29.67
OG0003573 10.94 5.25 11.17 42.83 39.59 41.41
OG0003576 7.72 4.97 6.89 30.75 29.90 31.47
OG0003577 2.51 1.88 2.64 21.97 21.60 20.86
OG0003578 3.45 1.01 2.55 27.29 28.44 -nan
OG0003579 2.29 0.81 2.26 22.40 22.94 22.53
OG0003580 3.41 41.23 -0.00 38.24 26.31 21.74
OG0003581 1.11 1.02 1.28 11.20 10.32 10.91
OG0003583 4.57 2.72 5.66 32.35 29.92 31.41
OG0003585 6.98 3.65 6.69 51.18 50.13 49.60
OG0003586 1.65 1.24 1.24 17.16 17.55 17.93
OG0003587 9.73 3.93 8.73 26.77 28.34 28.38
OG0003589 2.01 1.97 2.29 24.60 24.60 24.60
OG0003590 2.52 1.84 2.71 15.02 15.19 15.22
OG0003591 9.35 4.67 8.07 31.38 60.25 56.36
OG0003592 1.01 1.06 1.45 23.96 23.32 23.77
OG0003593 5.38 2.38 53.19 25.93 23.02 22.80
OG0003594 1.82 1.05 2.01 15.70 15.81 15.98
OG0003595 2.73 1.03 2.81 17.78 17.78 18.49
OG0003596 2.58 1.35 3.72 16.99 18.00 17.42
OG0003597 5.81 2.65 5.60 25.46 24.44 25.74
OG0003598 2.41 1.16 2.04 29.07 29.39 29.14
OG0003599 16.17 13.22 5.50 39.36 42.32 51.87
OG0003600 5.04 1.11 5.26 15.46 12.77 15.46
OG0003601 4.80 3.08 4.91 21.40 19.91 19.91
OG0003602 5.93 1.05 5.93 37.56 39.58 37.27
OG0003603 12.70 1.96 12.43 27.03 36.06 26.50
OG0003604 4.56 2.67 5.54 32.05 33.53 32.17
OG0003605 0.61 0.61 1.02 20.23 20.57 19.83
OG0003606 2.67 1.83 2.34 16.64 16.22 17.58
OG0003608 1.97 1.04 2.74 14.09 13.08 13.60
OG0003609 5.01 3.23 5.68 28.50 31.54 30.41
OG0003611 2.52 1.53 2.75 22.18 21.16 22.62
OG0003612 1.84 1.13 1.84 17.25 16.72 17.07
OG0003613 1.89 1.06 1.53 23.04 22.88 23.26
OG0003615 18.74 16.39 5.71 24.44 26.35 35.93
OG0003616 8.92 6.10 3.63 29.25 34.09 33.38
OG0003618 4.62 1.60 5.57 34.62 30.98 32.79
OG0003620 3.93 1.10 3.93 17.41 15.75 15.08
OG0003621 2.94 1.29 2.61 15.36 16.28 14.84
OG0003622 5.04 3.66 5.41 29.08 30.31 30.74
OG0003623 2.29 2.08 1.92 30.44 24.41 31.13
OG0003624 9.04 1.28 10.06 31.31 36.48 32.45
OG0003625 4.80 2.77 4.07 22.93 23.32 22.99
OG0003626 2.44 1.67 2.82 21.10 22.35 21.41
OG0003627 38.20 35.42 4.83 17.52 17.52 33.56
OG0003629 8.67 3.52 8.23 57.27 57.67 58.34
OG0003630 3.15 5.93 7.74 19.08 18.92 19.38
OG0003631 4.88 1.49 5.57 26.01 26.01 26.27
OG0003633 9.33 1.56 13.97 23.21 48.90 30.99
OG0003635 2.50 0.76 2.38 10.64 10.21 10.64
OG0003636 1.57 0.53 1.32 13.79 12.70 12.51
OG0003637 19.13 125.33 14.25 42.72 33.34 52.92
OG0003638 8.81 2.33 8.50 39.58 36.98 39.87
OG0003639 14.19 11.81 5.07 31.22 29.38 33.57
OG0003640 2.40 0.99 2.40 121.01 122.53 121.01
OG0003641 3.53 1.85 3.20 13.86 13.86 63.55
OG0003644 6.54 2.73 6.98 34.45 39.77 34.45
OG0003645 2.40 1.21 2.66 19.39 18.80 18.08
OG0003646 3.39 2.08 4.01 18.43 19.65 17.90
OG0003647 2.84 1.43 2.69 16.37 17.25 16.62
OG0003648 4.10 1.43 3.94 19.60 20.03 18.96
OG0003649 5.09 3.34 5.76 44.58 46.08 44.08
OG0003650 3.15 1.13 7.43 43.13 43.09 41.09
OG0003651 2.28 0.52 2.10 18.52 17.64 18.52
OG0003652 5.00 5.70 10.06 83.76 35.16 76.80
OG0003655 4.24 2.97 3.36 28.45 28.97 30.14
OG0003656 1.40 1.42 1.55 16.90 16.77 16.65
OG0003657 1.96 1.13 1.85 30.24 31.33 29.81
OG0003658 1.13 0.85 1.41 11.81 11.81 12.14
OG0003659 9.41 4.97 4.39 18.53 20.30 29.07
OG0003660 1.09 1.09 1.64 16.21 15.71 15.37
OG0003661 1.18 0.52 1.07 20.22 20.07 20.37
OG0003662 2.62 1.41 2.04 23.35 22.93 164.79
OG0003663 8.12 1.88 9.13 16.35 23.14 16.20
OG0003664 1.50 1.33 1.50 28.58 23.53 28.58
OG0003666 -nan 2.79 3.36 27.03 23.14 41.39
OG0003667 6.48 4.86 3.77 20.84 22.41 21.54
OG0003669 1.26 0.63 0.94 23.86 24.08 24.73
OG0003670 7.57 12.50 9.06 25.53 51.99 82.40
OG0003672 2.51 1.56 2.83 25.05 24.19 24.19
OG0003675 3.26 1.49 2.65 26.10 25.27 29.36
OG0003676 12.45 10.70 6.23 50.03 49.68 49.46
OG0003677 2.95 2.40 1.81 28.88 28.58 34.85
OG0003679 6.31 2.70 7.43 29.54 28.34 28.59
OG0003680 2.56 0.94 2.26 9.98 10.70 10.70
OG0003681 3.69 5.89 8.27 21.59 23.26 22.24
OG0003682 8.05 1.54 8.33 33.63 35.62 33.63
OG0003684 13.36 12.63 4.00 43.09 42.28 43.44
OG0003685 2.79 1.83 3.09 30.41 30.19 30.63
OG0003689 3.58 2.11 3.90 20.52 21.27 20.69
OG0003690 7.63 3.92 6.36 44.46 44.85 46.17
OG0003691 2.41 0.60 2.33 12.83 12.93 13.03
OG0003692 5.41 2.02 5.72 25.15 27.77 25.91
OG0003693 2.91 0.97 2.78 20.76 19.59 20.57
OG0003694 3.16 1.73 3.28 19.82 20.02 21.91
OG0003695 4.29 2.16 4.71 38.35 39.91 38.09
OG0003697 2.83 2.11 2.93 21.85 23.62 21.85
OG0003698 4.87 2.35 4.15 31.00 30.62 30.83
OG0003699 2.80 2.80 3.49 21.28 21.03 21.65
OG0003701 2.82 0.88 2.44 21.17 20.84 21.69
OG0003702 2.11 1.21 2.44 23.02 20.21 21.40
OG0003703 1.73 0.71 1.58 24.69 22.52 22.03
OG0003707 1.15 1.32 1.06 20.22 20.73 20.22
OG0003708 2.11 1.42 1.24 16.21 15.70 17.73
OG0003710 9.75 0.50 3.38 17.59 19.51 24.97
OG0003711 2.11 1.51 2.58 22.36 22.49 21.97
OG0003712 5.47 1.69 3.81 21.20 22.26 20.66
OG0003713 2.90 1.35 3.34 22.75 22.79 23.35
OG0003716 3.06 1.52 4.35 31.61 33.23 33.05
OG0003717 1.28 0.88 1.69 13.91 13.53 13.63
OG0003718 1.81 1.48 1.88 20.58 20.05 20.23
OG0003720 3.15 2.64 2.79 12.47 12.73 12.20
OG0003721 3.30 1.31 3.46 27.74 29.28 27.55
OG0003722 3.68 5.08 3.99 24.61 25.87 27.66
OG0003723 2.87 1.09 3.05 39.44 38.91 40.51
OG0003724 -0.00 -0.00 0.29 75.23 75.23 91.23
OG0003726 25.77 2.88 26.43 36.66 57.09 36.31
OG0003727 1.77 1.40 2.26 17.51 18.17 17.83
OG0003728 3.14 2.21 3.41 30.32 29.99 30.67
OG0003729 4.89 1.17 4.78 30.67 34.52 32.04
OG0003730 2.20 1.10 1.10 98.76 74.24 28.71
OG0003731 3.11 1.47 1.73 17.59 19.23 17.90
OG0003732 2.81 1.35 2.47 23.80 24.88 23.57
OG0003733 6.28 3.08 4.85 44.93 44.08 44.95
OG0003734 0.95 0.87 1.19 13.27 13.27 13.23
OG0003735 3.24 2.64 3.96 25.35 21.67 21.86
OG0003736 3.48 1.01 3.48 20.28 21.52 19.66
OG0003737 8.91 4.30 9.50 36.15 39.88 37.08
OG0003739 44.08 123.48 33.66 42.57 23.03 56.11
OG0003740 3.45 1.40 3.83 55.58 57.13 55.85
OG0003741 1.80 0.44 1.64 22.91 22.80 22.70
OG0003742 3.36 3.03 4.52 36.23 35.70 36.50
OG0003743 1.76 0.91 2.30 23.59 23.39 23.39
OG0003744 3.80 1.30 3.53 30.18 29.28 29.92
OG0003745 4.69 1.50 2.34 37.47 54.05 57.30
OG0003747 2.13 0.49 1.63 17.91 17.91 17.41
OG0003748 2.03 0.97 1.63 16.21 16.98 16.38
OG0003749 7.83 6.51 2.58 14.37 14.12 17.47
OG0003750 4.92 1.32 5.17 29.13 32.27 29.31
OG0003751 2.75 0.79 2.75 18.62 18.17 18.92
OG0003752 5.45 3.43 4.65 23.64 21.74 24.81
OG0003753 45.80 45.88 4.91 25.75 28.51 151.90
OG0003755 5.51 2.64 7.20 30.79 28.79 31.30
OG0003756 1.96 0.27 2.50 23.90 25.74 24.67
OG0003757 3.42 1.46 1.78 21.86 25.08 28.57
OG0003758 2.31 1.08 3.17 19.62 19.92 19.62
OG0003759 1.41 0.91 1.72 103.02 103.02 105.21
OG0003761 4.41 88.72 88.72 112.36 95.26 96.86
OG0003763 3.09 2.31 2.49 21.51 21.11 20.71
OG0003765 1.85 1.67 1.50 21.08 21.84 21.00
OG0003766 4.74 6.00 13.53 24.12 24.93 24.77
OG0003768 3.93 2.50 2.53 16.50 15.67 18.11
OG0003769 3.13 2.15 3.25 22.35 23.20 21.75
OG0003770 3.53 1.81 5.70 34.38 34.00 34.38
OG0003771 1.60 0.20 1.40 13.44 12.26 13.44
OG0003774 4.35 3.07 2.04 15.25 16.18 23.51
OG0003777 3.41 2.36 2.22 22.41 22.55 23.26
OG0003778 5.01 2.44 5.38 22.95 23.01 23.47
OG0003780 4.58 2.00 4.09 25.64 26.96 26.71
OG0003781 2.68 1.93 2.80 24.27 23.85 23.94
OG0003782 7.66 4.78 4.02 21.76 22.93 23.26
OG0003783 2.64 2.13 3.16 30.57 30.88 29.79
OG0003785 0.96 0.72 0.91 15.90 -nan 15.14
OG0003786 5.47 0.85 5.73 15.33 18.69 15.20
OG0003787 1.35 0.86 1.47 16.99 17.23 16.99
OG0003788 2.32 1.70 2.92 22.62 20.43 22.77
OG0003789 3.23 2.69 4.77 15.12 15.94 15.33
OG0003790 6.51 1.63 6.80 28.91 27.54 29.37
OG0003792 2.92 0.93 3.09 17.39 15.60 16.83
OG0003794 4.89 2.67 3.67 22.87 22.09 26.22
OG0003795 2.27 1.62 2.58 18.25 18.69 18.85
OG0003796 3.72 4.08 5.37 42.54 40.42 41.32
OG0003797 6.11 6.26 4.70 32.40 28.04 26.68
OG0003798 2.14 1.12 1.91 25.06 22.68 22.53
OG0003800 2.53 1.09 2.76 26.46 26.14 26.46
OG0003801 7.44 6.29 2.97 20.75 20.47 23.55
OG0003802 5.87 3.65 6.22 19.95 23.20 21.23
OG0003803 3.03 1.07 2.37 26.45 28.86 26.45
OG0003804 7.07 5.09 4.06 16.32 16.87 20.00
OG0003805 6.16 0.71 6.27 19.86 27.46 19.75
OG0003806 4.46 3.23 4.44 39.08 46.06 44.47
OG0003807 2.85 1.55 3.58 18.45 18.04 17.65
OG0003808 2.73 1.32 2.87 24.37 24.66 24.96
OG0003809 8.83 7.73 2.13 23.00 26.80 29.23
OG0003811 10.01 1.75 9.84 24.23 32.04 24.23
OG0003813 3.62 1.44 3.54 30.21 30.28 29.59
OG0003815 2.70 0.90 2.94 22.88 21.81 22.25
OG0003816 1.63 0.87 1.54 16.75 17.01 16.77
OG0003817 2.46 1.58 2.31 23.96 23.77 23.18
OG0003819 0.97 0.58 0.62 18.85 18.85 18.85
OG0003820 2.56 1.80 2.72 21.86 22.47 21.86
OG0003821 4.37 1.72 4.09 41.23 43.50 42.36
OG0003822 6.57 2.75 6.50 26.45 27.87 26.86
OG0003823 5.66 0.97 3.69 22.29 21.96 20.58
OG0003824 2.78 1.38 2.65 16.30 17.07 16.76
OG0003825 3.27 0.62 1.24 19.12 20.01 22.11
OG0003828 1.83 1.21 2.24 20.55 20.41 20.68
OG0003829 9.09 9.34 2.53 21.10 21.35 25.51
OG0003830 5.67 3.69 5.75 39.39 41.02 40.73
OG0003831 4.24 0.89 4.24 29.09 33.38 29.27
OG0003832 4.64 2.31 4.62 19.29 18.20 17.69
OG0003833 4.94 1.99 5.64 21.85 19.51 21.83
OG0003834 4.54 2.08 5.64 27.51 29.62 29.59
OG0003835 2.34 0.73 2.08 24.16 23.26 24.22
OG0003836 4.26 1.88 7.00 27.36 30.69 28.04
OG0003837 5.52 2.40 5.58 21.29 22.63 22.11
OG0003840 67.35 67.35 25.39 37.21 18.97 32.11
OG0003841 2.05 2.43 2.26 35.45 49.99 50.87
OG0003842 3.37 2.61 4.03 17.64 16.99 17.64
OG0003843 4.11 2.72 3.42 23.76 23.53 23.08
OG0003844 3.21 2.13 2.34 22.30 23.15 22.58
OG0003846 1.52 0.53 0.98 14.75 15.40 14.64
OG0003847 1.52 1.29 1.52 23.42 23.75 22.86
OG0003848 2.90 2.83 2.52 20.03 20.13 20.10
OG0003850 4.00 1.99 3.95 42.82 42.94 42.82
OG0003851 4.89 4.43 2.09 22.88 21.99 23.14
OG0003852 1.57 0.81 1.68 20.43 21.30 20.14
OG0003857 7.75 3.12 9.12 36.47 33.46 35.24
OG0003858 2.65 1.35 2.37 19.01 18.85 18.36
OG0003859 3.38 1.25 3.74 16.73 16.12 16.03
OG0003860 2.55 1.60 2.92 38.17 39.92 37.82
OG0003861 9.86 3.03 16.38 47.40 38.46 40.60
OG0003864 18.24 17.43 1.42 13.11 10.90 24.57
OG0003865 5.45 0.69 5.60 16.74 21.39 16.74
OG0003868 4.99 3.26 4.04 33.76 34.14 32.66
OG0003869 1.80 0.60 1.20 19.79 18.28 17.40
OG0003872 3.69 1.12 3.91 30.94 31.75 30.94
OG0003873 25.65 24.60 2.52 19.71 19.02 25.85
OG0003874 3.47 2.92 3.95 28.35 28.38 28.68
OG0003876 2.01 0.81 2.16 13.37 13.77 13.42
OG0003879 5.27 2.31 4.41 24.29 23.74 24.29
OG0003880 3.07 0.91 2.88 22.95 22.95 22.95
OG0003881 4.44 3.12 4.75 31.62 28.39 31.24
OG0003882 2.14 1.29 2.30 23.63 19.87 20.70
OG0003883 8.92 8.22 1.61 29.74 30.94 33.15
OG0003884 3.57 2.64 4.31 26.95 21.53 21.06
OG0003885 33.38 47.58 4.18 42.42 44.08 103.36
OG0003886 7.98 6.30 7.06 41.22 44.93 40.91
OG0003887 2.76 1.30 2.00 19.76 19.41 20.27
OG0003888 1.89 0.63 1.73 13.44 12.88 13.63
OG0003890 3.45 2.44 3.37 49.75 49.64 44.26
OG0003891 2.71 0.97 2.50 20.56 20.33 34.70
OG0003893 1.58 0.47 2.06 9.86 10.24 9.86
OG0003894 15.56 3.76 13.58 39.24 102.79 40.70
OG0003895 3.37 2.15 3.74 18.40 18.40 18.91
OG0003896 7.55 15.91 25.83 51.31 36.70 36.55
OG0003897 4.00 2.35 4.25 41.26 42.33 42.12
OG0003898 4.10 0.86 3.52 23.22 21.30 23.96
OG0003899 1.36 2.39 3.44 27.65 29.28 28.79
OG0003900 2.43 0.91 2.86 22.61 22.39 21.72
OG0003903 18.75 3.35 19.33 24.29 33.98 24.51
OG0003904 3.25 1.23 2.94 16.58 16.65 16.45
OG0003905 0.72 0.50 0.93 14.89 15.17 15.08
OG0003906 5.15 1.27 5.61 11.89 14.52 11.49
OG0003907 19.75 7.34 1.72 24.85 17.53 31.44
OG0003908 6.18 5.55 8.26 30.02 34.52 29.09
OG0003909 2.11 4.02 4.71 68.79 73.32 71.02
OG0003910 8.70 1.27 7.94 22.54 34.70 22.54
OG0003911 2.61 0.78 3.63 26.94 27.26 26.14
OG0003912 4.77 1.67 3.72 17.80 19.06 16.96
OG0003913 0.86 0.62 1.01 35.37 36.25 35.89
OG0003914 1.62 1.29 2.44 20.05 20.86 19.65
OG0003915 2.21 1.51 2.07 20.14 20.39 21.06
OG0003916 4.20 0.96 4.54 24.76 25.58 24.63
OG0003917 5.06 4.17 7.12 34.07 31.84 30.67
OG0003918 1.92 1.15 1.92 38.61 37.62 37.95
OG0003921 5.17 3.70 5.03 48.59 48.87 48.05
OG0003922 2.85 0.94 3.34 31.02 32.09 31.02
OG0003923 3.05 1.11 3.05 23.73 22.29 23.23
OG0003924 3.03 1.50 3.55 25.32 23.91 25.80
OG0003925 9.39 3.71 15.65 101.24 93.74 33.83
OG0003928 3.79 2.33 3.68 26.07 25.79 26.64
OG0003932 1.48 1.68 1.88 17.76 17.76 17.55
OG0003933 7.19 1.67 7.68 32.23 33.50 31.33
OG0003934 2.72 1.24 3.15 13.49 13.98 13.49
OG0003935 2.13 1.86 2.67 24.63 26.11 25.00
OG0003936 0.91 0.47 0.82 23.83 23.83 23.57
OG0003938 5.93 3.22 5.65 36.61 36.02 37.06
OG0003940 2.45 1.28 2.29 26.93 25.70 31.28
OG0003942 11.21 10.36 3.62 25.22 24.31 33.51
OG0003943 2.45 1.15 2.18 25.77 25.38 26.86
OG0003944 36.02 1.59 37.42 31.61 65.76 30.71
OG0003946 4.08 26.08 30.30 51.54 38.09 37.21
OG0003947 2.24 1.35 1.59 75.35 75.35 75.35
OG0003948 6.08 4.11 4.92 22.40 21.73 18.85
OG0003949 3.38 0.82 3.69 24.80 -nan 24.42
OG0003950 3.65 17.03 18.71 40.97 26.06 25.76
OG0003951 0.74 0.50 1.07 13.54 -nan 13.81
OG0003952 9.77 8.32 2.58 40.93 40.93 55.14
OG0003953 2.62 0.84 2.63 16.07 16.70 15.91
OG0003954 5.89 8.57 6.65 19.38 21.13 17.77
OG0003955 4.57 2.57 4.70 22.46 36.36 25.91
OG0003956 4.22 1.06 4.11 37.57 36.92 37.55
OG0003957 1.64 1.22 2.17 19.90 19.39 20.00
OG0003960 4.41 1.96 4.88 40.29 42.08 41.48
OG0003961 2.99 2.93 2.73 20.67 21.52 20.38
OG0003964 0.98 0.88 1.25 21.78 21.65 21.59
OG0003965 5.63 3.27 5.57 30.18 31.55 29.84
OG0003966 6.25 2.06 5.35 31.18 31.95 30.26
OG0003967 1.89 0.73 2.44 21.51 26.23 21.78
OG0003968 8.71 3.63 8.52 66.60 65.87 65.98
OG0003970 5.00 1.84 5.41 44.50 42.69 44.08
OG0003973 3.14 2.16 2.16 18.45 18.36 19.62
OG0003975 1.59 0.47 1.43 13.39 13.39 13.39
OG0003976 3.46 1.79 4.31 33.12 31.10 30.71
OG0003978 3.54 1.50 3.59 33.88 30.36 31.79
OG0003979 1.87 0.72 1.72 40.64 40.64 40.64
OG0003980 1.38 0.60 1.29 20.74 20.17 21.19
OG0003983 1.21 0.94 1.70 16.98 21.84 16.83
OG0003984 5.27 0.66 5.27 19.81 22.45 19.81
OG0003985 1.87 1.11 1.99 70.97 70.97 70.42
OG0003986 1.67 0.83 1.73 24.68 24.18 24.55
OG0003987 1.15 0.55 1.48 34.08 34.27 34.08
OG0003988 2.40 3.08 2.60 18.67 19.62 17.84
OG0003990 3.91 1.00 3.77 26.29 25.29 26.49
OG0003991 6.40 1.59 6.23 34.18 37.93 33.34
OG0003992 5.04 0.76 4.93 11.05 14.70 10.85
OG0003993 5.67 2.62 5.03 32.54 39.51 33.58
OG0003994 6.53 5.46 1.76 14.79 15.08 35.22
OG0003995 2.61 2.80 2.76 22.29 21.19 21.55
OG0003996 0.81 1.31 4.09 22.18 23.78 17.61
OG0003997 10.70 11.67 7.31 37.45 35.97 30.41
OG0003998 62.54 10.51 4.53 47.83 32.44 94.42
OG0003999 2.28 1.13 2.46 28.66 28.92 28.92
OG0004000 1.50 0.89 1.81 8.09 13.00 9.08
OG0004001 5.77 2.26 5.77 104.49 102.85 106.16
OG0004002 1.78 17.88 17.88 38.66 23.81 23.65
OG0004004 2.43 0.91 2.37 27.88 30.58 27.88
OG0004005 0.92 0.31 1.23 17.67 17.67 18.06
OG0004006 2.35 1.58 2.70 28.45 27.00 27.72
OG0004007 2.98 1.54 2.86 23.49 23.55 24.30
OG0004009 2.81 5.93 3.38 25.74 22.66 31.79
OG0004010 4.24 2.50 5.80 37.56 37.22 37.04
OG0004011 4.01 1.16 3.77 12.21 12.21 12.48
OG0004013 1.07 0.67 1.48 13.39 14.13 13.24
OG0004014 0.81 1.16 1.05 8.77 8.77 9.04
OG0004015 2.05 0.51 1.88 26.98 27.08 27.32
OG0004016 1.62 1.02 2.52 21.57 20.08 22.20
OG0004017 2.01 1.00 2.24 17.69 18.35 17.69
OG0004019 4.18 1.98 4.08 26.84 31.33 28.31
OG0004020 4.48 1.07 4.21 19.59 22.60 19.59
OG0004021 1.40 4.41 4.66 24.11 27.35 27.52
OG0004022 1.53 1.28 1.54 25.20 24.65 25.02
OG0004023 3.08 1.95 2.43 11.86 12.37 12.19
OG0004024 4.94 2.79 4.82 26.16 26.45 26.35
OG0004025 2.84 1.10 2.84 33.07 33.07 33.45
OG0004026 2.53 1.22 6.10 30.02 29.71 29.87
OG0004029 1.63 0.94 2.86 34.43 25.12 25.12
OG0004030 1.97 1.57 1.97 26.44 28.70 25.46
OG0004032 5.03 5.03 5.17 53.60 52.75 51.88
OG0004033 63.10 63.10 5.68 45.83 38.37 66.12
OG0004034 1.97 1.03 2.40 15.79 15.05 14.68
OG0004035 4.31 4.10 1.39 22.61 22.14 28.97
OG0004036 4.81 1.38 5.05 18.14 19.94 18.00
OG0004037 3.87 1.48 3.29 9.37 19.39 6.98
OG0004038 5.98 37.59 28.95 108.57 21.71 22.24
OG0004039 2.33 1.99 3.17 27.30 18.33 27.38
OG0004043 1.68 1.68 1.92 24.73 24.59 24.59
OG0004044 3.66 2.21 5.08 32.78 31.72 34.38
OG0004046 2.42 1.52 2.42 13.11 13.26 13.41
OG0004047 2.72 2.44 2.31 26.61 25.54 20.76
OG0004048 4.67 1.08 4.67 20.24 19.51 19.78
OG0004049 4.29 2.48 4.04 33.52 32.91 32.38
OG0004050 20.17 0.93 19.37 42.34 40.61 43.04
OG0004051 3.05 1.75 3.42 29.04 29.70 29.90
