OG BAT_3_utr_gc BAT_5_utr_gc BRO_3_utr_gc BRO_5_utr_gc BGM_3_utr_gc BGM_5_utr_gc
OG0003466 35.89 33.62 37.46 32.47 36.18 33.26
OG0003467 43.10 28.73 52.75 37.69 37.30 30.56
OG0003468 32.22 33.44 31.15 34.00 32.05 28.93
OG0003469 69.90 40.39 42.17 44.85 40.22 47.66
OG0003470 34.60 35.12 36.85 30.67 45.60 26.54
OG0003471 29.72 46.45 31.43 48.38 31.37 57.61
OG0003472 33.81 37.74 33.96 30.69 33.55 36.53
OG0003473 33.73 35.38 30.77 50.00 34.20 48.49
OG0003474 33.75 70.00 34.08 64.60 32.80 70.20
OG0003475 25.00 31.65 44.81 28.57 41.17 31.20
OG0003476 38.16 34.38 37.42 35.23 37.67 35.71
OG0003478 27.34 25.24 28.12 31.45 27.25 32.64
OG0003479 34.79 38.76 32.76 39.26 33.75 33.94
OG0003480 34.19 36.56 34.13 35.96 39.49 37.87
OG0003481 30.34 76.35 43.79 67.52 31.41 79.82
OG0003482 41.08 46.18 40.07 38.24 40.39 NA
OG0003483 36.48 29.96 37.96 31.62 45.13 29.48
OG0003484 NA 36.42 32.12 NA 32.07 NA
OG0003485 28.80 NA 31.62 37.59 31.24 29.78
OG0003486 34.44 45.86 31.64 40.77 31.73 38.09
OG0003487 40.42 48.18 50.63 30.20 40.24 27.82
OG0003488 30.88 32.41 30.65 32.93 26.19 32.75
OG0003489 27.45 30.64 32.42 34.53 27.71 34.13
OG0003492 33.89 32.16 32.32 32.77 36.80 30.67
OG0003493 29.22 41.96 25.76 40.40 27.21 32.88
OG0003495 30.31 29.31 33.04 29.74 32.25 33.84
OG0003496 31.16 40.64 31.54 32.27 32.33 41.58
OG0003499 31.44 25.81 37.88 35.94 29.12 41.90
OG0003500 27.02 34.71 26.42 30.68 25.54 36.94
OG0003501 27.95 41.46 37.20 52.94 39.18 32.18
OG0003502 33.62 53.04 28.97 NA 33.93 54.84
OG0003503 32.13 63.30 34.43 49.36 31.67 37.52
OG0003505 30.14 29.13 32.19 29.55 33.15 28.20
OG0003507 34.07 33.51 33.78 31.77 32.77 33.27
OG0003508 32.77 32.14 33.46 32.62 31.99 32.16
OG0003510 32.40 34.14 31.88 34.63 31.37 34.90
OG0003511 28.89 29.54 29.38 34.12 29.06 32.93
OG0003514 37.33 32.66 39.24 32.26 35.21 32.96
OG0003516 31.06 32.74 30.81 33.07 30.62 32.52
OG0003517 44.44 42.62 45.31 41.86 34.26 41.58
OG0003518 30.82 40.08 30.14 38.49 35.83 33.05
OG0003519 35.61 37.31 31.09 35.55 28.99 32.89
OG0003520 30.30 34.39 39.34 39.20 38.43 31.85
OG0003521 NA 39.44 34.75 62.86 42.58 40.46
OG0003524 45.74 54.33 39.23 33.33 44.17 38.15
OG0003525 36.54 47.55 39.71 43.90 40.26 35.76
OG0003526 33.92 32.14 32.13 32.74 33.59 37.63
OG0003527 NA 51.72 NA 65.73 40.95 52.66
OG0003528 35.14 46.17 34.59 41.70 35.90 41.87
OG0003529 30.32 44.14 30.39 44.83 32.35 43.00
OG0003530 34.42 32.88 34.15 34.59 34.30 34.27
OG0003531 31.91 32.52 40.97 38.25 35.79 35.88
OG0003532 31.64 28.65 34.44 24.02 58.91 32.62
OG0003534 NA 49.40 NA 49.83 NA 45.32
OG0003535 35.65 33.00 37.32 35.06 34.03 35.63
OG0003536 37.00 35.94 40.32 30.79 37.52 27.87
OG0003538 35.09 38.46 31.36 33.42 36.08 33.70
OG0003539 NA 71.50 33.31 67.81 32.49 44.65
OG0003540 34.91 33.69 30.70 33.57 35.43 31.95
OG0003541 28.96 34.04 29.68 35.51 29.13 34.10
OG0003542 29.36 63.43 27.79 65.38 29.61 63.55
OG0003544 34.23 NA 36.37 NA 36.52 NA
OG0003545 36.42 33.82 36.23 72.93 35.04 36.15
OG0003547 26.43 34.84 31.13 33.19 31.07 34.08
OG0003548 39.46 40.40 44.36 28.00 39.24 33.09
OG0003550 26.05 65.65 24.12 NA 34.66 68.00
OG0003551 29.34 38.60 27.31 40.46 27.83 39.91
OG0003552 37.84 49.18 NA 33.33 38.29 40.16
OG0003553 28.37 39.09 28.55 35.03 28.50 38.21
OG0003554 33.84 30.70 33.33 30.03 31.76 28.70
OG0003555 28.64 38.66 33.36 33.65 28.88 38.90
OG0003557 26.25 27.24 27.19 32.42 27.52 37.68
OG0003558 30.07 33.29 19.63 30.94 28.36 28.42
OG0003559 34.49 30.41 33.51 32.61 32.95 32.62
OG0003561 30.13 28.39 31.49 31.75 29.60 34.44
OG0003562 NA 40.80 NA 40.90 32.46 39.34
OG0003563 27.21 38.83 33.35 42.01 31.66 41.07
OG0003564 45.72 30.19 38.86 26.96 38.57 30.00
OG0003565 NA 32.83 29.50 31.36 37.82 41.50
OG0003567 41.23 62.18 36.66 79.69 37.36 35.39
OG0003571 31.91 30.79 36.53 34.84 31.49 33.02
OG0003572 34.25 37.99 37.80 40.15 39.58 45.39
OG0003573 38.40 21.89 37.97 37.90 25.39 25.37
OG0003576 31.25 65.37 30.53 75.25 31.56 67.33
OG0003577 25.43 28.86 37.31 29.32 32.78 32.19
OG0003578 31.97 42.89 34.26 75.89 38.60 NA
OG0003579 34.43 40.09 34.31 39.22 35.67 36.16
OG0003580 41.38 36.20 32.98 57.67 44.93 39.90
OG0003581 29.19 65.61 29.27 64.55 30.36 64.08
OG0003583 68.62 68.42 47.22 74.49 36.47 67.00
OG0003585 31.19 NA 27.45 59.22 28.36 NA
OG0003586 30.45 33.99 30.25 34.66 33.23 30.63
OG0003587 34.88 38.24 38.18 44.32 29.26 38.86
OG0003589 36.47 77.63 36.64 78.74 35.33 76.71
OG0003590 32.21 28.43 32.99 29.54 31.71 39.57
OG0003591 NA 31.58 32.07 33.90 30.92 31.10
OG0003592 27.13 30.86 30.83 32.09 26.90 30.23
OG0003593 29.86 36.62 36.78 26.68 31.45 33.82
OG0003594 33.69 47.97 33.39 34.01 31.57 48.96
OG0003595 30.28 35.29 30.97 43.71 30.79 38.07
OG0003596 40.07 36.78 32.56 42.42 40.93 38.78
OG0003597 38.04 34.71 33.66 44.22 47.67 41.62
OG0003598 36.29 32.92 33.33 38.62 33.47 28.52
OG0003599 36.62 36.71 35.54 36.91 34.09 33.58
OG0003600 36.73 33.33 29.63 32.94 38.26 29.60
OG0003601 30.67 34.62 28.89 32.39 29.51 33.63
OG0003602 32.60 33.13 31.04 41.35 30.26 36.23
OG0003603 38.89 34.42 38.42 35.94 35.49 37.53
OG0003604 41.92 57.14 41.21 70.29 41.19 62.79
OG0003605 28.06 28.85 29.10 37.37 31.76 31.21
OG0003606 53.99 33.71 43.48 36.34 63.32 57.14
OG0003608 30.79 74.34 29.87 NA 30.01 40.00
OG0003609 38.22 30.58 43.70 36.35 40.89 33.72
OG0003611 33.24 42.52 32.86 40.52 33.14 52.84
OG0003612 28.69 35.92 29.51 40.81 31.27 36.87
OG0003613 32.56 36.07 31.29 34.26 31.77 30.09
OG0003615 31.14 33.61 29.43 36.92 30.48 33.86
OG0003618 NA 68.18 NA NA 66.22 73.28
OG0003620 35.06 48.60 NA 47.06 NA 38.95
OG0003621 34.39 33.04 49.87 32.20 33.68 36.30
OG0003622 29.50 32.37 18.06 30.73 NA 38.91
OG0003623 25.00 66.67 18.32 NA 28.34 70.08
OG0003624 30.54 36.93 33.15 30.66 33.69 40.45
OG0003625 34.55 33.58 34.30 66.72 32.96 63.51
OG0003626 34.19 37.85 34.38 27.01 37.67 39.94
OG0003627 36.69 NA 34.52 NA 28.35 51.28
OG0003629 35.96 31.34 38.07 28.98 31.67 45.42
OG0003630 38.40 27.87 37.59 46.70 33.25 28.36
OG0003631 37.04 47.49 32.42 58.11 34.11 57.38
OG0003633 29.30 44.01 38.71 44.40 45.54 43.94
OG0003635 34.57 67.90 35.93 37.10 36.71 68.15
OG0003636 33.03 33.95 31.49 37.92 33.00 32.02
OG0003637 24.79 41.82 31.10 28.25 32.71 27.84
OG0003638 36.52 39.17 32.35 41.38 31.68 34.73
OG0003639 32.76 73.91 30.42 69.70 29.77 63.29
OG0003640 25.53 NA 25.19 NA 41.73 45.61
OG0003641 36.71 33.33 33.17 30.32 48.51 30.77
OG0003644 40.60 NA 62.29 29.17 56.44 35.69
OG0003645 31.55 36.70 33.79 34.53 37.57 NA
OG0003646 33.40 27.63 31.50 27.12 34.44 38.55
OG0003647 30.76 53.85 30.56 54.37 31.34 52.22
OG0003648 35.61 25.53 32.41 32.52 31.35 30.61
OG0003649 29.67 47.04 31.22 47.23 33.88 38.11
OG0003650 30.71 41.77 32.56 30.59 28.40 43.95
OG0003651 32.30 27.05 29.36 34.64 32.16 32.32
OG0003652 33.93 32.78 34.31 39.25 33.86 48.40
OG0003655 30.28 37.11 29.64 35.55 29.65 35.17
OG0003656 33.45 NA 34.35 30.05 33.56 34.32
OG0003657 32.50 48.51 31.39 44.57 30.14 42.11
OG0003658 28.36 29.09 28.70 28.25 28.52 28.19
OG0003659 31.65 35.46 30.41 27.46 49.68 35.40
OG0003660 37.76 34.83 36.32 33.87 38.17 33.51
OG0003661 29.23 NA 32.00 67.57 29.48 NA
OG0003662 27.36 34.72 26.99 40.65 28.57 35.87
OG0003663 36.98 37.72 37.73 38.16 39.48 39.49
OG0003664 40.10 36.75 38.51 32.04 39.01 36.52
OG0003666 31.83 66.67 35.92 71.96 32.23 34.28
OG0003667 41.68 34.32 44.27 31.32 39.47 39.86
OG0003669 30.97 26.22 34.90 23.89 30.26 27.93
OG0003670 24.95 48.56 34.53 48.08 34.75 48.75
OG0003672 33.27 37.41 33.36 38.32 32.69 33.23
OG0003675 35.76 37.22 35.36 41.24 34.82 44.35
OG0003676 25.81 NA 30.74 47.37 31.90 32.20
OG0003677 28.82 NA NA 64.00 28.55 34.06
OG0003679 35.42 35.87 37.16 37.45 36.26 38.16
OG0003680 36.13 30.93 36.36 30.40 35.65 33.98
OG0003681 30.71 40.00 30.19 29.73 30.48 26.58
OG0003682 31.18 28.02 28.95 34.66 30.63 28.01
OG0003684 33.33 44.47 27.10 30.70 30.06 30.90
OG0003685 36.24 32.24 32.30 29.95 31.83 36.21
OG0003689 29.11 28.41 35.41 31.71 32.13 29.89
OG0003690 42.17 35.76 41.23 32.62 36.50 36.59
OG0003691 36.50 48.62 36.28 49.32 33.92 45.69
OG0003692 32.86 45.03 32.59 42.56 32.89 42.17
OG0003693 38.06 36.55 39.35 38.98 38.57 31.53
OG0003694 32.34 37.06 34.17 38.76 34.35 36.82
OG0003695 45.59 29.14 43.37 31.00 39.52 31.63
OG0003697 19.35 29.97 29.88 25.84 20.81 26.32
OG0003698 25.97 29.90 36.32 29.49 42.10 27.23
OG0003699 30.31 41.75 31.85 43.60 30.56 35.84
OG0003701 32.71 41.88 29.76 39.10 31.19 38.12
OG0003702 31.80 34.43 31.97 34.66 31.59 37.25
OG0003703 29.38 32.13 33.42 53.35 31.57 42.54
OG0003707 28.39 48.57 29.01 NA 29.87 52.99
OG0003708 29.31 33.75 28.96 32.76 30.85 32.98
OG0003710 31.99 41.47 36.41 28.51 34.55 32.38
OG0003711 29.78 46.65 30.58 49.46 30.09 47.82
OG0003712 35.53 NA 33.00 NA 39.38 55.44
OG0003713 34.17 55.26 35.80 56.46 33.77 25.00
OG0003716 33.73 35.68 32.15 34.12 30.81 44.84
OG0003717 33.99 35.04 33.51 37.58 36.02 26.77
OG0003718 32.10 33.06 32.37 23.87 33.39 24.00
OG0003720 53.33 66.10 33.82 64.63 34.75 66.39
OG0003721 32.15 31.72 31.43 31.80 31.63 27.32
OG0003722 39.23 25.69 36.35 40.03 34.55 48.77
OG0003723 32.18 34.44 34.71 23.86 33.34 33.89
OG0003724 33.41 45.73 32.90 59.49 33.44 NA
OG0003726 43.21 36.03 33.68 30.23 43.16 36.84
OG0003727 33.17 NA 33.43 NA 32.69 41.53
OG0003728 31.37 39.72 31.66 39.06 32.35 39.55
OG0003729 32.48 26.43 33.04 24.71 32.49 29.47
OG0003730 34.35 42.90 47.79 24.29 36.23 25.23
OG0003731 34.52 49.58 34.06 49.58 35.67 47.79
OG0003732 36.57 35.45 37.32 35.88 37.29 45.09
OG0003733 50.52 33.79 44.40 25.00 37.95 29.03
OG0003734 30.92 32.20 30.88 32.26 31.97 NA
OG0003735 34.94 33.33 35.92 46.01 33.27 42.92
OG0003736 36.21 28.15 32.66 26.27 35.43 29.46
OG0003737 34.07 39.60 32.04 44.76 31.68 34.29
OG0003740 32.36 59.47 33.27 NA 31.80 33.07
OG0003741 30.46 31.83 28.45 35.88 28.47 31.23
OG0003742 27.20 NA 28.07 61.90 26.84 31.32
OG0003743 33.03 35.10 42.32 33.48 38.13 34.60
OG0003744 30.16 31.79 30.32 45.88 32.24 31.90
OG0003745 28.84 53.42 31.26 NA 40.20 30.06
OG0003747 35.08 31.70 36.79 49.40 42.70 33.18
OG0003748 32.22 40.51 33.87 42.59 32.58 42.86
OG0003749 33.40 38.55 37.71 39.00 35.76 34.13
OG0003750 38.24 34.44 38.85 45.21 27.52 33.46
OG0003751 37.85 32.72 36.26 32.95 31.73 31.72
OG0003752 NA 65.02 28.45 71.43 31.23 70.25
OG0003753 35.14 NA 56.72 NA 42.55 NA
OG0003755 32.91 47.96 33.66 36.14 34.76 49.11
OG0003756 39.12 32.63 30.48 32.63 30.52 32.89
OG0003757 43.56 54.39 37.05 31.75 39.50 34.27
OG0003758 31.01 30.14 30.37 20.29 29.72 32.18
OG0003759 43.39 28.57 41.06 36.98 48.72 31.23
OG0003763 34.96 39.47 26.47 34.40 27.44 36.22
OG0003765 35.65 29.06 38.30 29.63 29.10 29.38
OG0003766 45.27 69.23 42.60 37.39 39.83 67.11
OG0003768 34.64 29.45 34.52 28.25 33.87 30.17
OG0003769 32.98 29.34 NA 26.97 30.19 26.55
OG0003771 33.16 47.33 33.67 45.34 34.38 31.49
OG0003774 42.69 46.14 30.59 NA 44.17 NA
OG0003777 37.22 79.28 38.77 34.01 35.21 66.67
OG0003778 32.56 41.09 NA 36.49 32.96 43.48
OG0003780 33.56 39.33 31.11 31.56 30.48 34.20
OG0003781 NA 50.76 38.78 50.58 28.44 51.15
OG0003782 NA NA 32.66 NA 32.96 NA
OG0003783 32.16 25.71 30.15 NA 46.47 37.90
OG0003785 28.41 34.70 37.30 29.98 27.73 35.16
OG0003786 32.19 29.70 36.19 33.98 33.65 33.18
OG0003787 30.00 27.81 29.77 30.75 30.47 27.35
OG0003788 30.93 39.73 29.11 43.61 29.51 35.15
OG0003789 33.83 60.69 33.99 46.74 33.57 46.48
OG0003790 28.18 32.76 35.33 36.89 28.14 37.33
OG0003792 41.83 NA 42.98 NA 35.49 49.54
OG0003794 31.56 30.03 31.99 31.51 29.89 35.22
OG0003795 31.88 31.28 31.82 30.99 31.70 31.22
OG0003796 38.35 72.73 33.94 57.68 36.82 75.61
OG0003797 42.48 47.91 45.43 32.37 33.05 34.21
OG0003798 25.24 32.50 38.09 51.88 34.19 45.15
OG0003800 25.49 40.28 28.22 25.85 30.90 31.79
OG0003801 35.35 33.53 33.98 33.13 34.16 36.52
OG0003802 50.22 62.61 NA 60.84 55.83 61.76
OG0003803 35.88 30.88 34.32 34.01 36.02 33.54
OG0003804 37.62 38.36 37.40 37.93 41.69 44.42
OG0003805 31.81 28.41 31.46 36.47 31.86 28.10
OG0003806 34.82 40.25 25.55 NA 34.22 31.09
OG0003807 27.27 NA 27.31 NA 31.04 NA
OG0003808 32.45 36.35 33.86 34.09 32.09 38.46
OG0003809 26.88 31.65 32.59 31.51 33.31 33.56
OG0003811 38.91 34.92 45.48 68.39 35.06 35.20
OG0003813 33.72 54.63 33.51 54.12 33.67 58.18
OG0003815 24.65 31.23 26.23 34.80 29.65 29.32
OG0003816 33.46 27.72 32.44 28.57 35.70 39.53
OG0003817 26.48 39.13 31.85 34.88 26.62 33.18
OG0003819 30.99 35.21 30.81 30.98 30.71 30.96
OG0003820 27.57 36.24 27.61 34.72 28.14 34.59
OG0003821 26.25 32.51 24.23 32.71 27.71 33.82
OG0003822 31.14 41.67 36.64 42.05 28.71 42.01
OG0003823 32.42 38.81 42.79 39.13 NA NA
OG0003824 27.37 35.22 30.02 35.31 28.22 34.55
OG0003825 30.19 41.06 31.71 NA 31.46 23.94
OG0003828 37.43 35.78 32.99 37.62 38.41 32.82
OG0003829 31.55 29.28 30.70 34.92 39.90 NA
OG0003830 36.17 28.72 29.73 32.40 35.40 28.78
OG0003831 35.20 32.46 31.24 33.17 32.93 32.64
OG0003832 NA 52.85 43.84 61.50 35.46 43.24
OG0003833 30.02 42.69 36.75 36.56 31.69 36.08
OG0003834 32.75 30.36 32.59 34.30 33.82 44.87
OG0003835 32.69 30.74 32.42 34.62 33.00 32.35
OG0003836 32.92 61.15 33.89 49.59 32.78 43.78
OG0003837 36.02 39.67 37.66 42.09 43.54 36.70
OG0003840 35.80 NA 33.50 NA NA 44.44
OG0003841 24.78 29.80 23.96 35.02 24.80 37.31
OG0003842 37.90 30.91 51.63 38.36 39.56 27.71
OG0003843 31.81 30.34 32.49 36.95 NA 44.47
OG0003844 34.30 35.92 34.12 34.53 35.25 32.45
OG0003846 33.43 37.05 32.70 38.52 33.71 34.55
OG0003847 29.02 21.49 32.26 20.60 34.66 31.89
OG0003848 34.75 NA 52.29 NA 36.07 63.60
OG0003850 31.71 68.27 26.50 68.72 34.68 41.80
OG0003851 32.28 69.31 35.50 NA 35.27 66.93
OG0003852 31.38 31.30 30.08 35.12 31.04 35.89
OG0003857 31.32 20.69 29.31 33.85 32.25 20.69
OG0003858 34.50 38.95 34.93 42.11 34.35 30.31
OG0003859 33.66 27.78 36.40 28.03 33.81 32.40
OG0003860 32.11 28.53 30.07 32.41 33.09 27.65
OG0003861 30.00 27.82 22.04 31.30 31.58 22.92
OG0003864 32.95 37.59 30.15 32.44 29.67 31.85
OG0003865 27.68 45.71 30.17 NA 28.11 33.67
OG0003868 33.76 32.21 33.74 32.91 33.90 33.26
OG0003869 26.27 NA 27.59 34.38 28.38 34.53
OG0003872 25.90 24.20 24.64 24.70 26.77 33.96
OG0003873 30.18 36.88 32.60 35.26 32.01 37.21
OG0003874 33.33 69.51 51.51 69.55 44.25 68.72
OG0003876 31.08 62.36 30.55 37.92 30.60 37.57
OG0003879 36.17 35.96 43.51 23.33 43.89 31.41
OG0003880 32.55 39.46 32.02 40.27 32.60 38.11
OG0003881 38.36 43.00 37.59 39.29 44.22 36.90
OG0003882 31.73 29.72 35.88 28.99 34.37 28.96
OG0003883 29.61 29.50 32.39 27.03 30.10 41.55
OG0003885 31.26 55.34 34.13 52.50 40.18 35.96
OG0003886 64.00 NA 67.00 NA 57.69 66.43
OG0003887 27.84 21.74 28.73 24.88 46.42 26.05
OG0003888 38.98 37.39 37.51 38.65 39.99 34.37
OG0003890 31.35 33.72 29.94 33.95 31.59 38.76
OG0003891 38.66 29.66 31.15 49.63 55.59 35.35
OG0003893 71.43 59.93 70.07 59.56 44.36 50.19
OG0003894 33.85 27.74 45.85 25.71 36.23 51.64
OG0003895 33.76 34.72 33.47 51.58 33.71 33.17
OG0003896 25.00 42.23 45.15 NA 30.72 38.27
OG0003897 61.11 NA 57.14 65.03 66.48 35.01
OG0003898 31.47 26.45 27.74 26.27 27.46 37.66
OG0003899 29.89 34.03 29.23 32.90 32.03 34.97
OG0003900 33.42 57.21 33.89 66.33 33.00 41.78
OG0003903 31.70 30.17 53.30 26.92 31.90 31.19
OG0003904 28.83 74.47 31.19 73.68 31.30 73.24
OG0003905 31.58 28.95 31.69 29.79 41.15 29.48
OG0003906 33.08 58.48 36.09 41.59 34.53 58.17
OG0003907 29.58 31.71 29.74 36.65 39.53 35.09
OG0003908 39.89 NA 39.97 34.50 38.25 NA
OG0003909 27.90 60.61 30.68 53.65 30.94 35.73
OG0003910 32.41 36.48 50.00 33.83 33.38 33.40
OG0003911 37.65 30.46 34.97 54.62 35.49 29.90
OG0003912 36.98 30.58 37.82 31.15 33.82 28.05
OG0003913 26.39 30.82 26.07 30.58 26.74 29.79
OG0003914 32.91 50.00 39.14 82.76 32.55 40.31
OG0003915 31.37 54.61 33.16 55.65 25.79 55.94
OG0003916 32.33 49.68 32.91 39.07 31.28 48.02
OG0003917 41.72 41.01 33.50 NA 33.98 40.44
OG0003918 28.52 33.12 25.69 36.77 30.40 37.22
OG0003921 14.29 35.22 32.90 35.48 31.53 31.87
OG0003922 30.12 31.29 30.19 30.83 29.41 32.48
OG0003923 33.20 30.71 33.55 28.79 32.13 30.45
OG0003924 37.87 26.67 40.00 33.56 34.94 30.33
OG0003925 32.24 34.80 29.92 29.37 33.09 25.86
OG0003928 32.54 31.97 30.20 32.67 29.64 32.77
OG0003932 25.64 36.00 31.52 41.67 26.19 38.46
OG0003933 28.57 64.74 32.09 29.61 29.68 63.35
OG0003934 32.19 34.14 31.32 34.38 31.26 37.20
OG0003935 29.46 31.65 29.25 33.33 30.19 25.81
OG0003936 26.13 32.45 23.71 31.66 26.64 35.11
OG0003938 30.50 25.86 32.20 NA 33.84 NA
OG0003940 34.00 54.86 32.66 64.69 38.89 35.69
OG0003942 30.02 23.29 33.88 27.71 42.99 28.00
OG0003943 30.98 27.17 23.32 23.16 34.27 25.28
OG0003944 36.47 27.57 37.18 30.88 36.74 29.59
OG0003946 31.65 36.32 39.36 39.07 39.11 34.53
OG0003947 57.81 74.19 53.24 NA 60.35 74.41
OG0003948 24.51 34.06 29.48 31.48 34.24 43.83
OG0003949 28.04 36.30 35.48 36.07 28.21 36.48
OG0003950 39.81 21.35 50.00 20.24 37.13 25.37
OG0003951 31.92 37.07 34.58 34.49 32.64 37.17
OG0003952 39.44 32.00 39.06 37.61 36.84 34.62
OG0003953 34.85 49.26 31.54 54.71 34.33 49.02
OG0003954 29.64 66.67 40.05 67.24 84.38 70.70
OG0003955 45.24 28.90 51.20 30.21 50.32 47.92
OG0003956 30.82 33.98 36.99 36.87 34.07 34.69
OG0003957 32.85 NA 33.05 35.12 32.44 31.45
OG0003960 33.28 36.21 33.62 55.60 32.93 27.07
OG0003961 34.04 23.76 41.16 33.09 34.40 29.89
OG0003964 29.60 35.05 29.65 32.46 29.50 38.71
OG0003965 33.79 71.26 37.58 68.35 27.32 74.52
OG0003966 33.75 52.43 35.47 52.16 38.49 50.39
OG0003967 39.57 27.72 34.36 33.27 37.87 39.20
OG0003968 21.94 74.51 23.84 NA 39.67 45.26
OG0003970 42.18 32.43 45.45 33.51 44.71 35.00
OG0003973 33.93 23.03 32.84 38.08 34.19 37.01
OG0003975 34.01 38.26 33.46 39.07 34.11 40.30
OG0003976 30.05 NA 34.79 27.33 35.00 27.69
OG0003978 NA NA NA 44.13 31.50 36.56
OG0003979 30.43 40.91 29.19 35.11 30.57 41.51
OG0003980 29.56 32.69 29.26 34.90 29.32 30.00
OG0003983 31.03 65.00 28.53 34.89 29.29 66.67
OG0003984 40.13 33.43 40.87 30.19 39.90 29.98
OG0003985 37.25 NA 30.42 NA 31.51 NA
OG0003986 32.61 NA 31.68 66.55 30.01 68.67
OG0003987 31.06 34.53 28.11 34.74 31.70 29.98
OG0003988 49.66 36.27 52.75 34.12 53.25 40.90
OG0003990 27.84 NA 30.13 32.88 27.32 62.93
OG0003991 36.35 32.73 33.82 31.66 35.40 39.29
OG0003992 29.99 31.77 31.01 30.65 31.24 31.02
OG0003993 35.65 26.69 41.11 34.63 37.03 28.25
OG0003994 38.34 37.57 33.43 36.69 33.41 31.69
OG0003995 33.31 33.75 30.90 31.50 33.79 29.30
OG0003996 30.86 30.50 32.04 30.19 31.96 39.41
OG0003997 39.69 NA 39.47 NA 35.61 NA
OG0003998 30.21 28.93 36.86 27.52 30.11 33.89
OG0003999 36.39 40.76 36.82 31.37 35.24 37.36
OG0004000 46.67 44.53 48.44 NA 46.54 34.83
OG0004001 36.08 40.83 35.27 38.32 34.40 40.45
OG0004002 31.61 45.45 41.30 36.10 33.04 37.73
OG0004004 37.48 64.50 31.35 54.41 31.96 55.10
OG0004005 20.77 22.94 27.52 32.76 28.48 32.14
OG0004006 30.00 34.99 28.70 28.48 30.06 27.74
OG0004007 33.90 NA 34.34 34.27 31.73 39.46
OG0004009 9.62 28.02 28.38 35.23 43.71 27.70
OG0004010 45.83 62.05 44.52 59.05 37.53 NA
OG0004011 34.86 42.91 38.67 42.73 31.06 43.70
OG0004013 33.76 36.73 34.32 38.14 34.12 43.33
OG0004014 38.22 85.00 37.29 49.48 37.39 43.88
OG0004015 26.35 NA 32.30 48.66 25.73 38.56
OG0004016 31.65 41.61 43.03 41.79 29.65 37.32
OG0004017 32.34 34.21 32.18 32.25 32.20 45.42
OG0004019 34.69 29.31 35.49 28.57 32.17 34.39
OG0004020 35.27 30.69 34.45 21.57 34.03 27.15
OG0004021 33.52 29.71 29.84 34.11 32.13 32.78
OG0004022 33.47 47.83 33.20 33.65 34.75 43.64
OG0004023 34.33 33.49 35.10 33.18 34.60 37.81
OG0004024 30.07 74.81 30.06 78.57 37.27 36.82
OG0004025 36.28 26.81 25.41 32.20 36.92 32.64
OG0004026 28.21 37.01 32.63 40.83 30.33 41.47
OG0004029 31.66 34.23 27.49 30.88 30.41 31.63
OG0004030 31.10 26.94 32.01 36.70 32.80 26.64
OG0004032 40.00 NA 41.03 63.11 38.96 63.41
OG0004033 32.36 44.89 38.14 35.11 31.68 33.67
OG0004034 46.84 NA 38.18 NA 38.29 38.94
OG0004035 28.35 31.73 30.90 33.03 27.82 35.36
OG0004036 37.01 34.38 39.25 31.73 38.59 27.61
OG0004037 34.01 72.53 40.11 59.62 34.00 36.66
OG0004038 32.57 28.57 42.74 32.61 33.38 30.90
OG0004039 33.33 31.28 35.00 46.42 32.93 26.59
OG0004043 32.28 31.33 33.58 32.90 30.66 31.85
OG0004044 30.37 70.58 34.55 65.46 38.81 35.50
OG0004046 33.57 48.55 32.96 51.19 34.91 44.48
OG0004047 29.90 29.35 28.37 29.65 29.37 32.66
OG0004048 26.72 40.80 27.13 60.23 28.57 54.14
OG0004049 35.53 30.69 39.91 30.80 37.11 30.78
OG0004050 29.79 35.67 39.93 43.45 27.07 35.74
OG0004051 35.33 28.47 34.66 27.86 35.99 29.56
OG0004054 40.83 25.35 34.44 37.82 24.58 28.11
OG0004057 31.95 36.33 32.20 31.28 37.16 36.05
OG0004058 30.51 33.16 32.81 35.85 33.69 41.42
OG0004059 27.54 31.15 29.76 31.65 33.38 30.89
OG0004061 33.48 44.64 36.57 45.65 32.86 46.60
OG0004062 NA NA NA NA 37.74 36.94
OG0004063 35.82 34.88 56.92 35.37 35.21 37.31
OG0004065 33.26 25.93 33.03 35.66 33.73 33.22
OG0004067 31.60 35.69 29.30 38.41 33.64 33.92
OG0004068 31.48 54.88 36.97 65.38 33.62 NA
OG0004069 26.81 43.52 26.12 64.38 32.74 38.87
OG0004070 31.56 45.45 30.30 41.52 34.73 42.19
OG0004071 35.49 24.37 37.52 35.89 36.63 25.13
OG0004072 31.15 NA 28.49 27.03 30.26 33.32
OG0004074 24.09 NA 39.63 25.97 40.27 36.36
OG0004076 32.42 32.12 32.79 64.67 32.52 NA
OG0004077 28.35 67.79 29.83 38.64 37.86 67.11
OG0004078 29.49 35.16 34.01 38.77 29.14 39.06
OG0004079 37.95 25.64 40.82 27.16 40.33 43.74
OG0004080 41.96 39.13 36.48 NA 38.77 36.59
OG0004081 32.41 34.88 31.50 35.87 31.95 34.51
OG0004082 29.66 23.96 29.67 36.18 29.64 38.31
OG0004083 31.49 41.37 47.77 31.07 31.50 40.43
OG0004084 38.84 29.43 38.74 31.94 32.37 36.89
OG0004085 36.65 NA 38.41 29.03 37.97 35.06
OG0004087 32.52 NA 26.14 44.85 31.70 37.89
OG0004088 31.09 27.06 31.90 26.32 29.96 28.57
