sp transcript logFC pval sp transcript logFC pval sp transcript logFC pval sp transcript logFC pval OG branch transcript dNdS t dN dS branch transcript dNdS t dN dS branch transcript dNdS t dN dS branch transcript OTUs dNdS t dN dS contig_BGM 1+2GC% 3rdGC% totGC% contig_BRO 1+2GC% 3rdGC% totGC% contig_BGM 1+2GC% 3rdGC% totGC% OG BAT_W-S BAT_S-W BRO_W-S BRO_S-W BGM_W-S BGM_S-W BGC_BAT BGC_BRO BGC_BGM ENC_BAT ENC_BRO ENC_BGM SCUO_BAT SCUO_BRO SCUO_BGM MILC_BAT MILC_BRO MILC_BGM BAT_4FDS BRO_4FDS BGM_4FDS
BGM_M TRINITY_DN18747_c0_g2 70.0403012524801 1.0368794679462e-05 BAT TRINITY_DN343_c2_g1 29.6176791706473 0.000607180586842351 BRO TRINITY_DN1700_c0_g2 23.1115762277093 0.0398610626495006 BGM TRINITY_DN18747_c0_g2 42.9336197367921 0.0108891294022391 OG0004034 BAT OG0004034.ref.mafft.n 0.0715 0.009 0.0008 0.0110 BRO OG0004034.ref.mafft.n 0.0715 0.022 0.0019 0.0262 BGM OG0004034.ref.mafft.n 0.0715 0.003 0.0002 0.0032 BGM_BAT OG0004034.ref.mafft.n 2 0.0715 0.003 0.0003 0.0038 TRINITY_DN343_c2_g1_i1.p1 44.20 68.15 52.18 TRINITY_DN1700_c0_g2_i2.p1 48.96 85.89 61.27 TRINITY_DN18747_c0_g2_i7.p1 44.53 69.72 52.93 OG0004034 1.947833 5.947245 14.01938 4.607562 0.3043916 2.167879 NA NA NA 52.85962 40.97608 52.56235 0.1305869 0.3981206 0.1305869 0.4131348 0.5438148 0.4131348 0.6216216 0.6756757 0.6216216
BGM_M TRINITY_DN80873_c0_g1 144.080584474323 0.200727050924684 BAT TRINITY_DN3498_c0_g1 67.0655126799035 0.722473124162577 BRO TRINITY_DN92450_c0_g1 89.600539437738 0.983199580688733 BGM TRINITY_DN80873_c0_g1 76.845030768534 0.563796903174182 OG0004035 BAT OG0004035.ref.mafft.n 0.0001 0.009 0.0000 0.0127 BRO OG0004035.ref.mafft.n 0.0001 0.004 0.0000 0.0055 BGM OG0004035.ref.mafft.n 0.5891 0.058 0.0164 0.0279 BGM_BAT OG0004035.ref.mafft.n 2 0.3614 0.004 0.0010 0.0028 TRINITY_DN3498_c0_g1_i3.p1 44.59 66.49 51.89 TRINITY_DN92450_c0_g1_i1.p1 44.85 67.53 52.41 TRINITY_DN80873_c0_g1_i8.p1 45.09 63.58 51.25 OG0004035 0.1260968 2.196407 1.172679 1.004304 8.773918 9.965585 NA NA NA 53.85301 57.4209 56.33357 0.1514988 0.1554646 0.1514988 0.3664851 0.3220646 0.3664851 0.5576923 0.5769231 0.5961538
BGM_M TRINITY_DN477_c0_g1 1087.63469026215 0.0310705238604159 BAT TRINITY_DN36_c1_g1 1273.70926654775 1.72815255910635e-10 BRO TRINITY_DN81788_c0_g1 623.763678433247 0.00365134021069998 BGM TRINITY_DN477_c0_g1 1115.84890435953 1.66416007645508e-09 OG0004036 BAT OG0004036.ref.mafft.n 0.0294 0.013 0.0006 0.0195 BRO OG0004036.ref.mafft.n 0.1274 0.095 0.0136 0.1070 BGM OG0004036.ref.mafft.n 0.0301 0.009 0.0004 0.0137 BGM_BAT OG0004036.ref.mafft.n 2 24.3754 0.005 0.0020 0.0001 TRINITY_DN36_c1_g1_i1.p1 47.32 78.86 57.83 TRINITY_DN81788_c0_g1_i1.p1 46.60 86.18 59.80 TRINITY_DN477_c0_g1_i4.p1 47.48 79.97 58.31 OG0004036 3.760066 11.69851 43.8536 33.562 5.073715 7.350878 NA NA NA 44.72259 38.36323 43.79634 0.2441352 0.3507001 0.2441352 0.4626693 0.5421494 0.4626693 0.8117155 0.8577406 0.8410042
BGM_M TRINITY_DN59622_c0_g2 40.0560523849166 5.97512109884847e-14 BAT TRINITY_DN379_c0_g1 46.8284733244207 0.0215566273278833 BRO TRINITY_DN1647_c1_g3 31.4907573987746 0.436857709045059 BGM TRINITY_DN59622_c0_g2 27.611046883929 3.91615065871444e-05 OG0004037 BAT OG0004037.ref.mafft.n 0.0984 0.009 0.0013 0.0133 BRO OG0004037.ref.mafft.n 0.0984 0.037 0.0054 0.0552 BGM OG0004037.ref.mafft.n 0.0984 0.007 0.0011 0.0111 BGM_BAT OG0004037.ref.mafft.n 2 0.0984 0.000 0.0000 0.0000 TRINITY_DN379_c0_g1_i1.p1 52.64 89.90 65.06 TRINITY_DN1647_c1_g3_i1.p1 54.68 90.21 66.52 TRINITY_DN59622_c0_g2_i5.p3 57.81 91.25 68.96 OG0004037 3.760066 11.69851 43.8536 33.562 5.073715 7.350878 NA NA NA 44.72259 38.36323 43.79634 0.2441352 0.3507001 0.2441352 0.4626693 0.5421494 0.4626693 0.8117155 0.8577406 0.8410042
BGM_M TRINITY_DN3055_c0_g1 57.653070581316 0.580630205756079 BAT TRINITY_DN38877_c0_g1 2.30681171050136 0.480599211637038 BRO TRINITY_DN35054_c0_g1 14.9832517162538 0.0957226300128111 BGM TRINITY_DN3055_c0_g1 36.5822561476836 0.0504712703774518 OG0004038 BAT OG0004038.ref.mafft.n 0.3861 1.077 0.2647 0.6857 BRO OG0004038.ref.mafft.n 0.1980 0.047 0.0082 0.0412 BGM OG0004038.ref.mafft.n 0.0971 0.042 0.0045 0.0464 BGM_BAT OG0004038.ref.mafft.n 2 1.9828 0.000 0.0000 0.0000 TRINITY_DN38877_c0_g1_i9.p1 38.36 35.34 37.36 TRINITY_DN35054_c0_g1_i3.p1 52.12 75.53 60.06 TRINITY_DN3055_c0_g1_i11.p1 51.97 79.82 61.26 OG0004038 106.2651 187.9066 14.04533 17.91062 15.55703 16.31301 NA NA NA 51.55492 48.7779 45.81135 0.2405767 0.2205563 0.2405767 0.4713979 0.4379996 0.4713979 0 0.75 0.75
BGM_M TRINITY_DN66006_c0_g1 203.310520267543 0.00480226019007565 BAT TRINITY_DN4018_c1_g1 116.937325083471 0.476204584711255 BRO TRINITY_DN2522_c1_g1 37.5713538147385 0.264843006819772 BGM TRINITY_DN66006_c0_g1 110.556893863736 0.000684919135494475 OG0004039 BAT OG0004039.ref.mafft.n 0.1318 0.017 0.0027 0.0203 BRO OG0004039.ref.mafft.n 0.1318 0.002 0.0004 0.0029 BGM OG0004039.ref.mafft.n 0.1318 0.006 0.0010 0.0073 BGM_BAT OG0004039.ref.mafft.n 2 0.1318 0.028 0.0046 0.0346 TRINITY_DN4018_c1_g1_i3.p1 53.82 85.21 64.28 TRINITY_DN2522_c1_g1_i4.p2 54.47 94.50 67.81 TRINITY_DN66006_c0_g1_i3.p1 53.66 85.37 64.23 OG0004039 5.206625 8.68442 13.20421 10.69785 1.876746 7.374898 NA NA NA 39.24326 29.51639 39.26781 0.3597553 0.6415513 0.3597553 0.4676606 0.628433 0.4676606 0.9274194 0.9516129 0.9354839
BGM_M TRINITY_DN3279_c1_g1 272.896476467367 1.01079325016055e-88 BAT TRINITY_DN44221_c1_g1 53.8412014350012 2.23334322967189e-08 BRO TRINITY_DN7782_c2_g1 91.4137533713341 0.00793360441861492 BGM TRINITY_DN3279_c1_g1 50.8522017787243 0.202554501614098 OG0004043 BAT OG0004043.ref.mafft.n 0.1792 0.011 0.0017 0.0093 BRO OG0004043.ref.mafft.n 0.1792 0.008 0.0012 0.0068 BGM OG0004043.ref.mafft.n 0.1792 0.008 0.0012 0.0069 BGM_BAT OG0004043.ref.mafft.n 2 0.1792 0.003 0.0005 0.0026 TRINITY_DN44221_c1_g1_i1.p1 43.38 49.41 45.39 TRINITY_DN7782_c2_g1_i1.p1 44.33 49.41 46.02 TRINITY_DN3279_c1_g1_i2.p1 44.09 48.70 45.63 OG0004043 2.64849 6.022705 6.037016 3.017177 3.017836 4.997997 NA NA NA 60.3329 61 61 0.04061929 0.04040339 0.04061929 0.4147654 0.4092825 0.4147654 0.5142857 0.5142857 0.5333333
BGM_M TRINITY_DN703_c0_g1 203.926886756276 7.3581357668816e-52 BAT TRINITY_DN46_c0_g2 179.962553822754 2.12622685196484e-13 BRO TRINITY_DN315_c0_g1 189.71808201754 0.908540500462948 BGM TRINITY_DN703_c0_g1 41.3343387110147 0.00068221705183958 OG0004044 BAT OG0004044.ref.mafft.n 0.0392 0.026 0.0020 0.0522 BRO OG0004044.ref.mafft.n 0.1135 0.046 0.0076 0.0670 BGM OG0004044.ref.mafft.n 999.0000 0.007 0.0029 0.0000 BGM_BAT OG0004044.ref.mafft.n 2 22.6881 0.000 0.0000 0.0000 TRINITY_DN46_c0_g2_i1.p1 55.51 94.90 68.64 TRINITY_DN315_c0_g1_i6.p1 55.08 93.23 67.80 TRINITY_DN703_c0_g1_i3.p1 53.85 96.45 68.05 OG0004044 13.94185 9.775581 13.35213 20.53857 7.033063 5.261181 NA NA NA 30.66043 31.50157 29.89766 0.6510418 0.5081549 0.6510418 0.4709062 0.5046946 0.4709062 0.9807692 0.9615385 0.9807692
BGM_M TRINITY_DN2472_c1_g2 411.615966491838 2.11754179174974e-05 BAT TRINITY_DN4802_c0_g3 221.895399773181 0.187367778253885 BRO TRINITY_DN915_c0_g1 241.991132695318 0.225838950648766 BGM TRINITY_DN2472_c1_g2 223.474044808278 0.536274428811779 OG0004046 BAT OG0004046.ref.mafft.n 0.0059 0.014 0.0002 0.0373 BRO OG0004046.ref.mafft.n 0.0059 0.025 0.0004 0.0673 BGM OG0004046.ref.mafft.n 0.0059 0.017 0.0003 0.0463 BGM_BAT OG0004046.ref.mafft.n 2 0.0059 0.021 0.0003 0.0557 TRINITY_DN4802_c0_g3_i1.p2 47.94 94.76 63.55 TRINITY_DN915_c0_g1_i2.p1 48.31 97.38 64.67 TRINITY_DN2472_c1_g2_i1.p1 47.76 94.80 63.64 OG0004046 1.824991 2.818361 10.4478 5.51382 2.064011 4.664806 NA NA NA 30.83527 29.81216 29.11087 0.6195662 0.6838792 0.6195662 0.5122499 0.5756768 0.5122499 0.9491525 0.9915254 0.9661017
BGM_M TRINITY_DN6740_c1_g1 50.1364192074446 4.44444705865852e-08 BAT TRINITY_DN56817_c0_g2 148.644074825527 0.139821239483302 BRO TRINITY_DN10825_c0_g1 178.898801111927 0.000120245716828562 BGM TRINITY_DN6740_c1_g1 13.2882510546863 0.174928861128449 OG0004047 BAT OG0004047.ref.mafft.n 0.1983 0.013 0.0020 0.0102 BRO OG0004047.ref.mafft.n 0.1983 0.007 0.0011 0.0053 BGM OG0004047.ref.mafft.n 0.1983 0.011 0.0017 0.0086 BGM_BAT OG0004047.ref.mafft.n 2 0.1983 0.007 0.0011 0.0055 TRINITY_DN56817_c0_g2_i2.p1 46.76 48.87 47.46 TRINITY_DN10825_c0_g1_i3.p1 47.09 50.16 48.11 TRINITY_DN6740_c1_g1_i1.p1 49.60 57.94 52.38 OG0004047 2.785922 6.714136 5.470017 3.398231 4.873652 1.873921 NA NA NA 58.6538 60.21744 61 0.1671672 0.06089726 0.1671672 0.4011814 0.3881189 0.4011814 0.5555556 0.5777778 0.6
BGM_M TRINITY_DN1992_c4_g1 399.417010330062 1.65617740045554e-10 BAT TRINITY_DN587_c1_g1 348.559885768749 0.000712159822877286 BRO TRINITY_DN12991_c0_g3 127.974492632366 4.96689764636423e-13 BGM TRINITY_DN1992_c4_g1 169.814784223736 0.00652974627993484 OG0004048 BAT OG0004048.ref.mafft.n 0.0666 0.005 0.0005 0.0077 BRO OG0004048.ref.mafft.n 0.0666 0.050 0.0048 0.0722 BGM OG0004048.ref.mafft.n 0.0666 0.009 0.0009 0.0129 BGM_BAT OG0004048.ref.mafft.n 2 0.0666 0.025 0.0024 0.0355 TRINITY_DN587_c1_g1_i3.p1 49.20 86.67 61.69 TRINITY_DN12991_c0_g3_i1.p1 51.48 91.47 64.81 TRINITY_DN1992_c4_g1_i1.p1 50.65 88.68 63.33 OG0004048 0.5989059 4.907232 36.40798 12.77948 4.904935 5.30285 NA 1.282844 NA 35.88692 33.31859 34.3703 0.4290499 0.4602615 0.4290499 0.4697945 0.506873 0.4697945 0.8207547 0.8679245 0.8160377
BGM_M TRINITY_DN115_c5_g1 100.933894931599 0.00151785409349199 BAT TRINITY_DN5967_c0_g1 36.9167411442834 0.0687236379233817 BRO TRINITY_DN2448_c1_g1 61.5975532200213 0.00274267776159694 BGM TRINITY_DN115_c5_g1 36.1839169564707 0.0100588625055314 OG0004049 BAT OG0004049.ref.mafft.n 0.3316 0.013 0.0027 0.0082 BRO OG0004049.ref.mafft.n 0.3316 0.024 0.0051 0.0154 BGM OG0004049.ref.mafft.n 0.3316 0.013 0.0027 0.0082 BGM_BAT OG0004049.ref.mafft.n 2 0.3316 0.009 0.0018 0.0054 TRINITY_DN5967_c0_g1_i1.p1 45.10 62.75 50.98 TRINITY_DN2448_c1_g1_i1.p1 45.29 66.67 52.42 TRINITY_DN115_c5_g1_i7.p1 45.28 62.23 50.93 OG0004049 3.422064 4.497099 15.23945 5.003571 1.475554 7.14701 NA NA NA 56.36199 54.18661 54.48699 0.1412042 0.1576246 0.1412042 0.3842271 0.4173654 0.3842271 0.6056338 0.6901408 0.6478873
BGM_M TRINITY_DN3146_c1_g1 40.42288634776 9.83693979035968e-06 BAT TRINITY_DN639_c1_g1 20.5182876430822 0.368733457905135 BRO TRINITY_DN420_c6_g1 26.0478118985294 0.81516328684161 BGM TRINITY_DN3146_c1_g1 19.2530609677134 0.956112346501673 OG0004050 BAT OG0004050.ref.mafft.n 0.0001 0.000 0.0000 0.0000 BRO OG0004050.ref.mafft.n 0.1772 0.231 0.0436 0.2461 BGM OG0004050.ref.mafft.n 0.0001 0.011 0.0000 0.0215 BGM_BAT OG0004050.ref.mafft.n 2 3.1718 0.124 0.0465 0.0147 TRINITY_DN639_c1_g1_i1.p1 53.79 94.44 67.34 TRINITY_DN420_c6_g1_i3.p1 60.70 86.47 69.40 TRINITY_DN3146_c1_g1_i1.p1 53.79 94.95 67.51 OG0004050 6.565986e-14 1.745481e-13 118.0774 87.47299 6.815901 4.786791 NA 0.5384117 NA 30.98826 33.76891 30.62344 0.5856129 0.4426451 0.5856129 0.5940723 0.5302303 0.5940723 0.9528302 0.9433962 0.9528302
BGM_M TRINITY_DN221_c3_g1 419.201678521491 1.65298802803858e-17 BAT TRINITY_DN6617_c0_g1 190.194296647327 0.0126788154160744 BRO TRINITY_DN3965_c0_g4 321.737414752233 1.42375589644308e-22 BGM TRINITY_DN221_c3_g1 200.515952822584 1.46846998365148e-09 OG0004051 BAT OG0004051.ref.mafft.n 0.0001 0.016 0.0000 0.0335 BRO OG0004051.ref.mafft.n 0.0001 0.003 0.0000 0.0068 BGM OG0004051.ref.mafft.n 0.0001 0.009 0.0000 0.0181 BGM_BAT OG0004051.ref.mafft.n 2 0.0310 0.038 0.0021 0.0692 TRINITY_DN6617_c0_g1_i1.p1 56.03 86.21 66.09 TRINITY_DN3965_c0_g4_i2.p1 56.63 87.07 66.78 TRINITY_DN221_c3_g1_i2.p1 55.82 87.03 66.40 OG0004051 0.42934 4.003763 4.875712 6.385184 1.385211 2.983827 NA NA NA 38.33075 36.79113 36.1964 0.3999077 0.3710994 0.3999077 0.4381532 0.4278406 0.4381532 0.8555556 0.8777778 0.8777778
BGM_M TRINITY_DN1226_c13_g1 162.443919532094 2.04853627126006e-08 BAT TRINITY_DN75616_c0_g1 3.52959693116589 0.337593672256486 BRO TRINITY_DN6918_c0_g1 4.72529751742915 0.525335670656753 BGM TRINITY_DN1226_c13_g1 59.7156019275654 0.925357485191714 OG0004054 BAT OG0004054.ref.mafft.n 0.0541 34.539 2.1324 39.4088 BRO OG0004054.ref.mafft.n 0.0541 28.036 1.7309 31.9896 BGM OG0004054.ref.mafft.n 0.0541 0.129 0.0080 0.1477 BGM_BAT OG0004054.ref.mafft.n 2 0.0541 0.177 0.0109 0.2015 TRINITY_DN75616_c0_g1_i2.p1 35.65 37.04 36.11 TRINITY_DN6918_c0_g1_i8.p2 39.79 34.97 38.35 TRINITY_DN1226_c13_g1_i1.p1 47.65 61.01 52.11 OG0004054 0.42934 4.003763 4.875712 6.385184 1.385211 2.983827 NA NA NA 38.33075 36.79113 36.1964 0.3999077 0.3710994 0.3999077 0.4381532 0.4278406 0.4381532 0.8555556 0.8777778 0.8777778
BGM_M TRINITY_DN95_c1_g1 91.6954615533306 0.854052292446478 BAT TRINITY_DN8755_c0_g1 263.444723271238 1.24073257180786e-24 BRO TRINITY_DN110_c0_g1 320.904408944162 3.0752535821925e-23 BGM TRINITY_DN95_c1_g1 86.8200086621812 3.64806916551654e-05 OG0004057 BAT OG0004057.ref.mafft.n 0.2580 0.008 0.0014 0.0056 BRO OG0004057.ref.mafft.n 0.2580 0.013 0.0024 0.0093 BGM OG0004057.ref.mafft.n 0.2580 0.082 0.0149 0.0577 BGM_BAT OG0004057.ref.mafft.n 2 0.2580 0.006 0.0010 0.0039 TRINITY_DN8755_c0_g1_i6.p1 48.83 72.30 56.66 TRINITY_DN110_c0_g1_i5.p1 51.28 72.63 58.39 TRINITY_DN95_c1_g1_i4.p3 48.01 73.51 56.51 OG0004057 5.136676 6.348121 7.264266 3.401185 15.58881 27.58565 NA NA NA 50.3718 49.4866 52.43054 0.2531147 0.2011491 0.2531147 0.4416888 0.4234387 0.4416888 0.85 0.875 0.875
BGM_M TRINITY_DN2904_c1_g1 145.076594660811 0.00412433450575356 BAT TRINITY_DN988_c0_g1 99.5627552490332 0.0121313957592447 BRO TRINITY_DN584_c1_g1 148.128912400874 9.79402878620627e-08 BGM TRINITY_DN2904_c1_g1 167.496263485366 0.0209692632133721 OG0004058 BAT OG0004058.ref.mafft.n 0.0852 0.021 0.0019 0.0228 BRO OG0004058.ref.mafft.n 0.0852 0.062 0.0056 0.0659 BGM OG0004058.ref.mafft.n 0.0852 0.018 0.0016 0.0188 BGM_BAT OG0004058.ref.mafft.n 2 0.0852 0.000 0.0000 0.0000 TRINITY_DN988_c0_g1_i10.p1 54.04 75.44 61.17 TRINITY_DN584_c1_g1_i2.p1 54.09 79.87 62.68 TRINITY_DN2904_c1_g1_i5.p1 53.30 78.30 61.64 OG0004058 4.597753 4.356413 17.88427 8.206106 3.321852 3.64369 NA NA NA 48.03108 44.48383 44.41849 0.2579475 0.2627957 0.2579475 0.449689 0.4654241 0.449689 0.7230769 0.7769231 0.7538462
BGM_M TRINITY_DN3340_c4_g1 238.423960000592 2.23496410429279e-48 BAT TRINITY_DN11475_c0_g1 514.446995384864 0.00119219719988041 BRO TRINITY_DN204_c2_g1 500.787000619893 0.752019177808095 BGM TRINITY_DN3340_c4_g1 256.590969598095 0.188507048116552 OG0004059 BAT OG0004059.ref.mafft.n 0.1357 0.005 0.0007 0.0050 BRO OG0004059.ref.mafft.n 0.1357 0.005 0.0007 0.0053 BGM OG0004059.ref.mafft.n 0.1357 0.011 0.0014 0.0103 BGM_BAT OG0004059.ref.mafft.n 2 0.1357 0.011 0.0014 0.0106 TRINITY_DN11475_c0_g1_i2.p1 46.72 45.08 46.17 TRINITY_DN204_c2_g1_i3.p1 47.00 47.24 47.08 TRINITY_DN3340_c4_g1_i4.p1 48.11 46.96 47.77 OG0004059 3.03571 9.185847 26.03695 6.711415 8.40108 12.53794 NA 1.494242 NA 56.36307 57.41269 59.14316 0.0328444 0.03311528 0.0328444 0.4618873 0.4735822 0.4618873 0.4835165 0.5384615 0.4945055
BGM_M TRINITY_DN1439_c0_g1 313.122301292584 3.09948754781827e-12 BAT TRINITY_DN11571_c0_g1 171.283506399725 0.0463150475569033 BRO TRINITY_DN11349_c0_g1 156.87832169731 0.498432549743427 BGM TRINITY_DN1439_c0_g1 130.751611404346 0.953282877728585 OG0004061 BAT OG0004061.ref.mafft.n 3.2584 0.000 0.0000 0.0000 BRO OG0004061.ref.mafft.n 0.4008 0.154 0.0405 0.1011 BGM OG0004061.ref.mafft.n 0.0676 0.038 0.0037 0.0540 BGM_BAT OG0004061.ref.mafft.n 2 5.2162 0.000 0.0000 0.0000 TRINITY_DN11571_c0_g1_i2.p1 44.24 78.79 55.76 TRINITY_DN11349_c0_g1_i3.p1 45.86 75.19 55.64 TRINITY_DN1439_c0_g1_i2.p2 44.28 78.44 55.94 OG0004061 0.376042 1.852555 11.16038 6.541483 4.159106 3.640377 NA NA NA 44.0714 45.54823 43.09883 0.3128577 0.3261894 0.3128577 0.427787 0.3948516 0.427787 0.7727273 0.75 0.7727273
BGM_M TRINITY_DN9348_c0_g1 23.3369699800466 5.49812457555129e-10 BAT TRINITY_DN117516_c0_g1 1.13630984882938 0.220536310932707 BRO TRINITY_DN120954_c0_g1 2.09107960913986 0.00146356527610449 BGM TRINITY_DN9348_c0_g1 1.10401647662284 0.100554490628852 OG0004062 BAT OG0004062.ref.mafft.n 0.3755 0.012 0.0029 0.0076 BRO OG0004062.ref.mafft.n 0.3755 0.019 0.0044 0.0118 BGM OG0004062.ref.mafft.n 0.3755 0.035 0.0083 0.0220 BGM_BAT OG0004062.ref.mafft.n 2 0.3755 0.037 0.0088 0.0233 TRINITY_DN117516_c0_g1_i1.p1 48.42 72.73 56.52 TRINITY_DN120954_c0_g1_i2.p1 46.19 68.30 53.74 TRINITY_DN9348_c0_g1_i10.p1 53.14 76.25 61.03 OG0004062 5.874093 6.972365 28.8655 29.04406 19.48792 12.67406 NA NA NA 49.43756 53.67715 46.51203 0.2219771 0.1416177 0.2219771 0.4819037 0.4676887 0.4819037 0.75 0.9583333 0.75
BGM_M TRINITY_DN4476_c0_g1 143.362755351173 4.18227557281317e-09 BAT TRINITY_DN12639_c0_g1 75.1140941256402 0.0784155317294908 BRO TRINITY_DN39152_c0_g1 91.1645753529122 0.690045686586618 BGM TRINITY_DN4476_c0_g1 69.8980023494772 0.00028426849232903 OG0004063 BAT OG0004063.ref.mafft.n 0.1573 0.016 0.0027 0.0174 BRO OG0004063.ref.mafft.n 0.1573 0.016 0.0026 0.0166 BGM OG0004063.ref.mafft.n 0.1573 0.012 0.0020 0.0129 BGM_BAT OG0004063.ref.mafft.n 2 0.1573 0.004 0.0006 0.0040 TRINITY_DN12639_c0_g1_i3.p1 51.87 87.00 63.58 TRINITY_DN39152_c0_g1_i2.p1 51.43 88.74 63.87 TRINITY_DN4476_c0_g1_i3.p1 51.76 87.67 63.73 OG0004063 3.321607 7.949815 7.693647 10.00453 3.19521 7.509729 NA NA NA 37.12273 36.29519 36.97251 0.3788193 0.3998524 0.3788193 0.5197529 0.5272046 0.5197529 0.8688525 0.9016393 0.8770492
BGM_M TRINITY_DN19504_c0_g1 118.425393050601 0.481833309230715 BAT TRINITY_DN1281_c3_g1 130.219274361325 0.0607652615790969 BRO TRINITY_DN1160_c0_g2 110.692131655179 6.15440858806779e-08 BGM TRINITY_DN19504_c0_g1 102.049771583878 0.00172880035545246 OG0004065 BAT OG0004065.ref.mafft.n 0.3548 0.004 0.0010 0.0028 BRO OG0004065.ref.mafft.n 1.1328 0.018 0.0061 0.0054 BGM OG0004065.ref.mafft.n 0.0741 0.009 0.0007 0.0099 BGM_BAT OG0004065.ref.mafft.n 2 0.0001 0.008 0.0000 0.0097 TRINITY_DN1281_c3_g1_i1.p1 43.67 60.82 49.38 TRINITY_DN1160_c0_g2_i2.p1 44.03 68.90 52.32 TRINITY_DN19504_c0_g1_i4.p1 43.74 60.26 49.30 OG0004065 0.9345745 6.490295 18.80037 17.86494 5.182944 12.93734 NA NA NA 58.09784 54.18571 58.33898 0.05950521 0.1085156 0.05950521 0.4588182 0.4574539 0.4588182 0.6565657 0.6666667 0.6464646
BGM_M TRINITY_DN627_c0_g1 107.169444637372 3.74410122792197e-08 BAT TRINITY_DN1580_c0_g1 44.8301748719233 0.0722170655343086 BRO TRINITY_DN1036_c0_g1 61.7688464287752 6.13154583670078e-06 BGM TRINITY_DN627_c0_g1 56.2690743598491 2.07038614344975e-10 OG0004067 BAT OG0004067.ref.mafft.n 2.2663 0.000 0.0000 0.0000 BRO OG0004067.ref.mafft.n 1.6125 0.145 0.0536 0.0333 BGM OG0004067.ref.mafft.n 0.2024 0.117 0.0192 0.0947 BGM_BAT OG0004067.ref.mafft.n 2 1.9549 0.000 0.0000 0.0000 TRINITY_DN1580_c0_g1_i13.p1 45.03 53.42 47.83 TRINITY_DN1036_c0_g1_i12.p1 39.24 44.94 41.14 TRINITY_DN627_c0_g1_i9.p1 49.45 47.54 48.82 OG0004067 -6.099138e-15 -6.053007e-14 24.8704 40.86899 16.73015 18.33331 NA NA NA 55.06322 49.28077 61 0.09020494 0.1629043 0.09020494 0.357091 0.3722432 0.357091 0.4482759 0.4482759 0.3793103
BGM_M TRINITY_DN19_c0_g3 32.6134413085139 0.0430143483247752 BAT TRINITY_DN1693_c0_g1 30.9829513772503 1.24483491472278e-15 BRO TRINITY_DN26194_c0_g1 113.632018782799 8.04698702268039e-08 BGM TRINITY_DN19_c0_g3 105.384203574146 1.20770057671208e-28 OG0004068 BAT OG0004068.ref.mafft.n 0.1105 0.009 0.0013 0.0116 BRO OG0004068.ref.mafft.n 0.1105 0.028 0.0038 0.0343 BGM OG0004068.ref.mafft.n 0.1105 0.009 0.0012 0.0106 BGM_BAT OG0004068.ref.mafft.n 2 0.1105 0.002 0.0002 0.0022 TRINITY_DN1693_c0_g1_i8.p1 51.79 87.44 63.68 TRINITY_DN26194_c0_g1_i14.p2 53.18 86.35 64.40 TRINITY_DN19_c0_g3_i2.p2 56.45 83.11 65.47 OG0004068 0.9805797 3.701025 9.686104 6.743539 3.673194 2.985427 NA NA NA 40.06965 38.19022 41.36026 0.3191046 0.4001841 0.3191046 0.4284236 0.4492844 0.4284236 0.8522727 0.8636364 0.8636364
BGM_M TRINITY_DN2614_c1_g1 58.7008446092303 1.10971955148266e-15 BAT TRINITY_DN1927_c2_g1 74.9076926173212 6.70676336269662e-19 BRO TRINITY_DN25998_c0_g1 188.906852649014 2.08823983359709e-23 BGM TRINITY_DN2614_c1_g1 89.8196306831113 3.20525974738055e-21 OG0004069 BAT OG0004069.ref.mafft.n 0.2649 0.011 0.0023 0.0086 BRO OG0004069.ref.mafft.n 0.2649 0.036 0.0072 0.0274 BGM OG0004069.ref.mafft.n 0.2649 0.131 0.0265 0.1002 BGM_BAT OG0004069.ref.mafft.n 2 0.2649 0.002 0.0005 0.0019 TRINITY_DN1927_c2_g1_i2.p1 49.44 77.68 58.85 TRINITY_DN25998_c0_g1_i5.p1 52.69 79.42 61.60 TRINITY_DN2614_c1_g1_i4.p1 50.10 67.68 55.96 OG0004069 4.647599 7.512502 33.44951 8.877298 35.98131 73.99197 NA 2.243928 NA 46.9327 43.88775 52.50861 0.1415806 0.2507706 0.1415806 0.4768196 0.493349 0.4768196 0.7126437 0.7356322 0.7126437
BGM_M TRINITY_DN1357_c3_g1 74.6907096298816 7.50388074385816e-30 BAT TRINITY_DN19466_c0_g1 200.506858490892 9.22101917863921e-51 BRO TRINITY_DN20118_c0_g5 281.391570681301 1.24302410112543e-103 BGM TRINITY_DN1357_c3_g1 101.908790061124 8.72959612919437e-67 OG0004070 BAT OG0004070.ref.mafft.n 0.3628 0.009 0.0022 0.0060 BRO OG0004070.ref.mafft.n 0.3628 0.106 0.0245 0.0676 BGM OG0004070.ref.mafft.n 0.3628 0.049 0.0114 0.0313 BGM_BAT OG0004070.ref.mafft.n 2 0.3628 0.000 0.0000 0.0000 TRINITY_DN19466_c0_g1_i4.p1 52.66 76.44 60.59 TRINITY_DN20118_c0_g5_i4.p1 55.07 78.55 62.90 TRINITY_DN1357_c3_g1_i1.p1 49.88 71.75 57.17 OG0004070 4.403913 1.536914 47.24661 22.3765 5.7349 28.67432 NA 1.13071 NA 47.002 44.52031 49.56431 0.1510741 0.2372264 0.1510741 0.4316307 0.4955996 0.4316307 0.5217391 0.6304348 0.5217391
